          #Time  Core     P_PKG     P_PP0    P_DRAM
 1458806647.55     0     26.94     14.73     10.89
 1458806647.75     0     28.08     15.89     10.29
 1458806647.95     0     27.21     14.95     10.71
 1458806648.15     0     27.21     15.00     10.84
 1458806648.35     0     26.15     13.89     10.72
 1458806648.55     0     21.57      9.33     10.70
 1458806648.75     0     27.85     15.58     10.60
 1458806648.95     0     25.84     13.65     10.72
 1458806649.15     0     27.91     15.65     10.38
 1458806649.35     0     28.26     16.08     10.08
 1458806649.55     0     27.91     15.66     10.20
 1458806649.75     0     29.88     17.63     10.11
 1458806649.95     0     29.24     17.05     10.21
 1458806650.15     0     27.85     15.60     10.26
 1458806650.35     0     27.80     15.61     10.00
 1458806650.55     0     27.79     15.54     10.16
 1458806650.75     0     27.77     15.57     10.33
 1458806650.95     0     27.95     15.69     10.19
 1458806651.15     0     27.76     15.57     10.31
 1458806651.35     0     27.72     15.46     10.28
 1458806651.55     0     28.08     15.89     10.17
 1458806651.75     0     28.12     15.87     10.25
 1458806651.95     0     28.12     15.93     10.11
 1458806652.15     0     28.33     16.08     10.25
 1458806652.35     0     27.99     15.80     10.16
 1458806652.55     0     27.99     15.74     10.36
 1458806652.75     0     27.86     15.66     10.18
 1458806652.95     0     28.22     15.97     10.30
 1458806653.15     0     28.02     15.83     10.02
 1458806653.35     0     28.17     15.92     10.20
 1458806653.55     0     28.09     15.84     10.16
 1458806653.75     0     28.01     15.82     10.15
 1458806653.95     0     28.04     15.79     10.26
 1458806654.15     0     27.92     15.73     10.28
 1458806654.35     0     28.15     15.89     10.32
 1458806654.55     0     28.07     15.88     10.11
 1458806654.75     0     28.09     15.84     10.13
 1458806654.95     0     28.08     15.89     10.20
 1458806655.15     0     28.12     15.87     10.12
 1458806655.35     0     25.68     13.47     10.23
 1458806655.55     0     15.15      2.90     10.59
 1458806655.75     0     14.99      2.81     10.58
 1458806655.95     0     15.04      2.77     10.68
 1458806656.15     0     15.03      2.88     10.43
 1458806656.35     0     15.20      2.94     10.61
 1458806656.55     0     14.97      2.76     10.68
 1458806656.75     0     15.12      2.86     10.65
 1458806656.95     0     15.23      3.01     10.71
 1458806657.15     0     15.08      2.87     10.71
 1458806657.35     0     15.05      2.84     10.57
 1458806657.55     0     15.13      2.92     10.66
 1458806657.75     0     14.96      2.75     10.42
 1458806657.95     0     15.07      2.84     10.57
 1458806658.15     0     15.05      2.80     10.51
 1458806658.35     0     15.03      2.81     10.61
 1458806658.55     0     15.00      2.78     10.61
 1458806658.75     0     15.24      3.03     10.92
 1458806658.95     0     15.06      2.85     10.55
 1458806659.15     0     15.10      2.89     10.43
 1458806659.35     0     15.13      2.90     10.73
 1458806659.55     0     15.04      2.80     10.86
 1458806659.75     0     15.06      2.84     10.59
 1458806659.95     0     14.92      2.73     10.51
 1458806660.15     0     15.04      2.83     10.73
 1458806660.35     0     15.09      2.88     10.67
 1458806660.55     0     14.96      2.74     10.68
 1458806660.75     0     15.01      2.76     10.72
 1458806660.95     0     15.14      2.93     10.67
 1458806661.15     0     15.30      3.07     10.82
 1458806661.35     0     15.02      2.80     10.63
 1458806661.55     0     14.98      2.78     10.55
 1458806661.75     0     15.13      2.86     10.47
 1458806661.96     0     15.00      2.79     10.61
 1458806662.16     0     15.08      2.85     10.48
 1458806662.36     0     15.00      2.78     10.68
 1458806662.56     0     15.08      2.89     10.70
 1458806662.76     0     15.12      2.92     10.46
 1458806662.96     0     15.16      2.94     10.77
 1458806663.16     0     15.13      2.86     10.66
 1458806663.36     0     17.38      5.19     10.61
