         #Time  Core     P_PKG     P_PP0    P_DRAM
 1458806507.56     0     26.82     14.61     10.74
 1458806507.76     0     28.28     16.02     10.49
 1458806507.96     0     27.10     14.90     10.65
 1458806508.16     0     27.32     15.05     10.47
 1458806508.36     0     25.34     13.15     10.65
 1458806508.56     0     21.57      9.30     10.63
 1458806508.76     0     27.71     15.51     10.69
 1458806508.96     0     25.54     13.28     10.62
 1458806509.16     0     26.30     14.08     10.41
 1458806509.36     0     27.84     15.59     10.28
 1458806509.56     0     27.71     15.52     10.11
 1458806509.76     0     27.74     15.49     10.29
 1458806509.96     0     27.69     15.50     10.25
 1458806510.16     0     28.23     15.95     10.39
 1458806510.36     0     27.91     15.66     10.23
 1458806510.56     0     27.58     15.39     10.14
 1458806510.76     0     27.86     15.61     10.32
 1458806510.96     0     27.72     15.53     10.18
 1458806511.16     0     27.87     15.62     10.23
 1458806511.36     0     27.58     15.39     10.21
 1458806511.56     0     28.07     15.81     10.13
 1458806511.76     0     28.07     15.88     10.06
 1458806511.97     0     28.08     15.83     10.20
 1458806512.17     0     28.03     15.84     10.25
 1458806512.37     0     28.00     15.75     10.16
 1458806512.57     0     27.93     15.74     10.11
 1458806512.77     0     27.81     15.56     10.28
 1458806512.97     0     27.99     15.80     10.11
 1458806513.17     0     28.11     15.86     10.12
 1458806513.37     0     28.06     15.87     10.15
 1458806513.57     0     28.09     15.84     10.21
 1458806513.77     0     28.23     15.98     10.30
 1458806513.97     0     28.02     15.83     10.11
 1458806514.17     0     27.88     15.62     10.26
 1458806514.37     0     27.98     15.79     10.16
 1458806514.57     0     28.26     16.01     10.15
 1458806514.77     0     27.97     15.78     10.09
 1458806514.97     0     28.05     15.80     10.16
 1458806515.17     0     28.46     16.27     10.16
 1458806515.37     0     27.73     15.48     10.24
 1458806515.57     0     15.53      3.31     10.71
 1458806515.77     0     15.05      2.83     10.58
 1458806515.97     0     14.97      2.75     10.52
 1458806516.17     0     15.10      2.85     10.54
 1458806516.37     0     14.94      2.78     10.52
 1458806516.57     0     15.02      2.79     10.64
 1458806516.77     0     15.09      2.81     10.54
 1458806516.97     0     14.94      2.76     10.44
 1458806517.17     0     15.19      2.95     10.64
 1458806517.37     0     15.05      2.87     10.55
 1458806517.57     0     15.20      2.93     10.67
 1458806517.77     0     14.95      2.74     10.52
 1458806517.97     0     14.99      2.78     10.67
 1458806518.17     0     15.09      2.88     10.72
 1458806518.37     0     15.00      2.76     10.59
 1458806518.57     0     14.99      2.80     10.55
 1458806518.77     0     15.20      2.95     10.51
 1458806518.97     0     15.00      2.78     10.58
 1458806519.17     0     15.15      2.92     10.64
 1458806519.37     0     14.91      2.73     10.55
 1458806519.57     0     14.99      2.77     10.62
 1458806519.77     0     15.09      2.83     10.41
 1458806519.97     0     14.99      2.81     10.78
 1458806520.17     0     15.28      3.06     10.58
 1458806520.37     0     15.15      2.88     10.72
 1458806520.57     0     14.96      2.77     10.49
 1458806520.77     0     14.98      2.77     10.52
 1458806520.97     0     15.03      2.77     10.71
 1458806521.17     0     15.03      2.87     10.62
 1458806521.37     0     15.05      2.83     10.58
 1458806521.57     0     15.01      2.76     10.84
 1458806521.77     0     15.04      2.84     10.61
 1458806521.97     0     15.06      2.82     10.66
 1458806522.17     0     15.00      2.82     10.55
 1458806522.37     0     21.35      9.11     10.37
 1458806522.57     0     21.13      8.93     10.45
 1458806522.77     0     15.15      2.90     10.55
 1458806522.97     0     15.05      2.84     10.57
 1458806523.17     0     15.19      2.98     10.52
 1458806523.37     0     15.05      2.84     10.47
