         #Time  Core     P_PKG     P_PP0    P_DRAM
 1458803131.86     0     44.13     31.76     11.29
 1458803132.06     0     54.14     41.63     13.22
 1458803132.26     0     51.99     38.43     21.94
 1458803132.46     0     48.51     35.99     12.58
 1458803132.66     0     43.73     31.41     11.47
 1458803132.86     0     29.70     17.41     10.81
 1458803133.06     0     24.88     12.67     10.56
 1458803133.26     0     25.80     13.52     10.94
 1458803133.46     0     27.97     15.76     10.51
 1458803133.66     0     28.06     15.81     10.29
 1458803133.86     0     31.04     18.82     10.73
 1458803134.06     0     30.43     18.15     10.67
 1458803134.26     0     30.69     18.45     10.88
 1458803134.46     0     31.37     19.05     11.02
 1458803134.66     0     33.03     20.71     10.91
 1458803134.86     0     31.19     18.99     10.55
 1458803135.06     0     31.24     18.99     10.47
 1458803135.26     0     31.13     18.94     10.53
 1458803135.46     0     31.24     18.99     10.52
 1458803135.66     0     31.04     18.85     10.43
 1458803135.86     0     33.11     20.80     11.07
 1458803136.06     0     26.26     14.03     10.80
 1458803136.27     0     25.40     13.13     10.92
 1458803136.47     0     25.76     13.53     11.34
 1458803136.67     0     30.75     18.44     10.97
 1458803136.87     0     31.35     19.13     10.63
 1458803137.07     0     31.14     18.88     10.64
 1458803137.27     0     30.94     18.75     10.50
 1458803137.47     0     31.04     18.78     10.48
 1458803137.67     0     30.99     18.73     10.54
 1458803137.87     0     31.08     18.86     10.79
 1458803138.07     0     19.98      7.73     10.75
 1458803138.27     0     15.09      2.87     10.54
 1458803138.47     0     15.13      2.94     10.45
 1458803138.67     0     15.13      2.90     10.78
 1458803138.87     0     15.28      3.08     10.75
 1458803139.07     0     15.11      2.84     10.38
 1458803139.27     0     15.08      2.87     10.62
 1458803139.47     0     15.01      2.79     10.52
 1458803139.67     0     14.97      2.76     10.62
 1458803139.87     0     25.47     13.20     10.71
