         #Time  Core     P_PKG     P_PP0    P_DRAM
 1458803918.00     0     28.33     16.07     10.37
 1458803918.20     0     28.06     15.86     10.48
 1458803918.40     0     28.27     16.00     10.75
 1458803918.60     0     21.88      9.65     10.61
 1458803918.80     0     23.96     11.73     10.88
 1458803919.00     0     26.72     14.51     10.83
 1458803919.20     0     28.05     15.80     10.37
 1458803919.40     0     27.85     15.66     10.22
 1458803919.60     0     27.99     15.74     10.21
 1458803919.80     0     28.05     15.79     10.27
 1458803920.00     0     27.82     15.63     10.29
 1458803920.20     0     27.79     15.53     10.30
 1458803920.40     0     15.03      2.82     10.52
 1458803920.60     0     14.95      2.73     10.39
 1458803920.80     0     15.00      2.79     10.73
 1458803921.00     0     14.98      2.77     10.66
 1458803921.20     0     15.04      2.83     10.56
 1458803921.40     0     15.10      2.86     10.74
 1458803921.60     0     15.04      2.79     10.74
 1458803921.80     0     15.02      2.80     10.64
 1458803922.00     0     15.01      2.81     10.37
 1458803922.20     0     15.38      3.17     10.72
