         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1459062518.16     0     47.34     35.06     11.07     1     47.34     35.06     11.07     2     47.34     35.06     11.07     3     47.35     35.06     11.07     4     47.35     35.06     11.07     5     47.35     35.07     11.08     6     47.35     35.07     11.08     7     47.35     35.07     11.08     8     47.36     35.07     11.08     9     47.36     35.08     11.08    10     23.78     11.55     10.52    11     23.78     11.55     10.52    12     23.78     11.55     10.52    13     23.78     11.54     10.52    14     23.78     11.60     10.57    15     23.90     11.61     10.57    16     23.90     11.60     10.57    17     23.89     11.60     10.56    18     23.88     11.60     10.56    19     23.89     11.60     10.57
 1459062518.36     0     55.07     42.77     11.10     1     55.00     42.71     11.08     2     55.22     42.87     11.14     3     55.19     42.85     11.14     4     55.15     42.82     11.13     5     55.12     42.80     11.12     6     55.11     42.79     11.12     7     55.10     42.78     11.12     8     55.08     42.76     11.11     9     55.05     42.74     11.11    10     24.12     11.81     10.62    11     24.08     11.79     10.60    12     24.03     11.82     10.63    13     24.11     11.80     10.61    14     24.06     11.78     10.59    15     24.02     11.76     10.57    16     23.99     11.74     10.56    17     24.08     11.79     10.60    18     24.04     11.77     10.58    19     24.10     11.80     10.61
 1459062518.57     0     47.67     35.33     11.26     1     47.70     35.35     11.27     2     47.47     35.19     11.21     3     47.50     35.21     11.21     4     47.53     35.22     11.22     5     47.54     35.24     11.22     6     47.55     35.24     11.22     7     47.55     35.24     11.22     8     47.57     35.26     11.23     9     47.59     35.27     11.23    10     24.18     11.93     10.62    11     24.20     11.94     10.63    12     24.24     11.90     10.59    13     24.14     11.97     10.66    14     24.31     11.93     10.62    15     24.22     11.95     10.64    16     24.24     11.96     10.65    17     24.14     11.91     10.60    18     24.28     11.98     10.66    19     24.21     11.95     10.64
 1459062518.77     0     47.19     34.92     11.25     1     47.14     34.88     11.24     2     47.14     34.88     11.24     3     47.14     34.88     11.24     4     47.15     34.88     11.24     5     47.15     34.88     11.24     6     47.14     34.88     11.24     7     47.14     34.88     11.24     8     47.13     34.87     11.24     9     47.13     34.87     11.24    10     24.01     11.84     10.60    11     24.13     11.83     10.60    12     24.12     11.83     10.60    13     24.12     11.77     10.54    14     24.01     11.77     10.60    15     24.12     11.83     10.59    16     24.11     11.82     10.59    17     24.12     11.83     10.60    18     24.01     11.77     10.55    19     24.01     11.77     10.60
 1459062518.98     0     47.25     34.96     11.33     1     47.31     35.00     11.35     2     47.32     35.01     11.35     3     47.32     35.01     11.35     4     47.32     35.01     11.35     5     47.32     35.01     11.35     6     47.32     35.01     11.35     7     47.32     35.01     11.35     8     47.34     35.02     11.36     9     47.34     35.02     11.36    10     24.08     11.72     10.57    11     23.98     11.73     10.58    12     24.00     11.74     10.59    13     24.01     11.80     10.64    14     24.13     11.80     10.59    15     24.02     11.75     10.59    16     24.03     11.75     10.60    17     24.02     11.75     10.60    18     24.02     11.75     10.59    19     24.02     11.75     10.60
 1459062519.18     0     47.38     35.07     11.26     1     47.38     35.08     11.26     2     47.38     35.08     11.26     3     47.38     35.07     11.26     4     47.38     35.07     11.26     5     47.38     35.07     11.26     6     47.38     35.07     11.26     7     47.38     35.07     11.26     8     47.37     35.07     11.26     9     47.37     35.06     11.26    10     23.96     11.67     10.56    11     23.94     11.67     10.56    12     23.94     11.66     10.61    13     24.05     11.66     10.55    14     23.92     11.66     10.55    15     23.92     11.66     10.55    16     23.92     11.66     10.55    17     23.91     11.71     10.60    18     24.02     11.70     10.59    19     23.97     11.68     10.52
 1459062519.38     0     47.32     35.00     11.21     1     47.32     35.01     11.22     2     47.32     35.01     11.22     3     47.32     35.01     11.22     4     47.32     35.00     11.21     5     47.32     35.01     11.22     6     47.33     35.01     11.22     7     47.33     35.01     11.22     8     47.33     35.01     11.22     9     47.34     35.02     11.22    10     24.13     11.84     10.54    11     24.12     11.83     10.54    12     24.11     11.83     10.48    13     24.10     11.82     10.53    14     24.08     11.81     10.52    15     24.06     11.81     10.51    16     24.06     11.80     10.56    17     24.18     11.81     10.51    18     24.06     11.81     10.51    19     24.09     11.82     10.52
 1459062519.59     0     47.51     35.20     11.30     1     47.50     35.20     11.30     2     47.48     35.19     11.29     3     47.48     35.19     11.29     4     47.47     35.18     11.29     5     47.47     35.18     11.29     6     47.47     35.17     11.29     7     47.47     35.17     11.29     8     47.45     35.16     11.29     9     47.44     35.16     11.28    10     24.24     11.99     10.41    11     24.34     12.04     10.46    12     24.31     12.02     10.45    13     24.29     12.01     10.43    14     24.29     12.01     10.43    15     24.28     12.01     10.48    16     24.36     12.05     10.41    17     24.22     11.97     10.45    18     24.32     12.03     10.45    19     24.31     12.02     10.44
 1459062519.79     0     47.47     35.17     11.35     1     47.43     35.15     11.34     2     47.45     35.16     11.34     3     47.44     35.15     11.34     4     47.45     35.16     11.34     5     47.43     35.15     11.34     6     47.66     35.31     11.34     7     47.65     35.31     11.39     8     47.66     35.31     11.39     9     47.66     35.31     11.39    10     24.24     12.05     10.49    11     24.23     11.99     10.44    12     24.34     12.04     10.48    13     24.26     12.00     10.45    14     24.24     11.99     10.44    15     24.36     12.05     10.44    16     24.29     12.01     10.46    17     24.29     12.02     10.46    18     24.29     12.02     10.46    19     24.30     12.02     10.47
 1459062520.00     0     47.59     35.26     11.42     1     47.62     35.29     11.42     2     47.61     35.28     11.42     3     47.62     35.29     11.42     4     47.62     35.29     11.42     5     47.64     35.30     11.43     6     47.41     35.13     11.43     7     47.41     35.13     11.37     8     47.42     35.14     11.37     9     47.42     35.14     11.38    10     24.33     11.97     10.60    11     24.23     11.98     10.60    12     24.26     11.99     10.62    13     24.25     11.99     10.61    14     24.27     12.00     10.62    15     24.28     12.00     10.63    16     24.28     12.00     10.63    17     24.27     12.00     10.57    18     24.15     11.99     10.62    19     24.25     11.98     10.61
 1459062520.20     0     47.56     35.26     11.26     1     47.55     35.26     11.25     2     47.55     35.25     11.25     3     47.54     35.25     11.25     4     47.54     35.25     11.25     5     47.53     35.24     11.25     6     47.53     35.24     11.25     7     47.53     35.24     11.25     8     47.52     35.24     11.25     9     47.52     35.24     11.25    10     24.26     12.07     10.68    11     24.38     12.07     10.68    12     24.25     12.00     10.62    13     24.36     12.06     10.67    14     24.36     12.06     10.67    15     24.24     12.00     10.62    16     24.33     12.05     10.66    17     24.33     12.05     10.66    18     24.34     11.99     10.61    19     24.38     12.07     10.68
 1459062520.41     0     47.50     35.15     11.43     1     47.48     35.14     11.42     2     47.49     35.15     11.43     3     47.49     35.15     11.43     4     47.50     35.15     11.43     5     47.50     35.16     11.43     6     47.50     35.16     11.43     7     47.50     35.16     11.43     8     47.51     35.17     11.43     9     47.51     35.16     11.43    10     24.35     11.98     10.55    11     24.23     11.98     10.60    12     24.32     12.02     10.59    13     24.21     11.97     10.54    14     24.21     11.97     10.54    15     24.34     12.04     10.60    16     24.20     11.97     10.54    17     24.33     12.03     10.59    18     24.35     12.04     10.60    19     24.21     11.97     10.54
