         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1459063303.41     0     48.06     35.76     11.05     1     48.05     35.76     11.05     2     48.05     35.76     11.05     3     48.06     35.76     11.05     4     48.06     35.76     11.05     5     48.06     35.76     11.05     6     48.06     35.76     11.05     7     48.06     35.76     11.05     8     48.06     35.76     11.05     9     48.07     35.77     11.05    10     23.72     11.47     10.57    11     23.71     11.47     10.56    12     23.71     11.46     10.56    13     23.70     11.46     10.56    14     23.81     11.51     10.61    15     23.80     11.51     10.60    16     23.80     11.51     10.60    17     23.80     11.51     10.60    18     23.80     11.51     10.60    19     23.79     11.51     10.60
 1459063303.61     0     54.64     42.33     11.08     1     54.84     42.48     11.13     2     54.82     42.47     11.12     3     54.80     42.45     11.12     4     54.76     42.42     11.11     5     54.73     42.39     11.11     6     54.71     42.37     11.10     7     54.68     42.35     11.10     8     54.65     42.33     11.09     9     54.63     42.32     11.09    10     24.10     11.82     10.53    11     24.06     11.86     10.56    12     24.12     11.83     10.54    13     24.08     11.88     10.58    14     24.04     11.79     10.50    15     24.12     11.84     10.54    16     24.09     11.82     10.52    17     24.15     11.85     10.55    18     24.11     11.83     10.53    19     24.09     11.82     10.52
 1459063303.82     0     47.50     35.18     11.33     1     47.30     35.03     11.28     2     47.31     35.04     11.29     3     47.32     35.05     11.29     4     47.35     35.07     11.30     5     47.38     35.09     11.30     6     47.39     35.10     11.31     7     47.41     35.11     11.31     8     47.43     35.13     11.31     9     47.44     35.14     11.32    10     24.28     12.00     10.65    11     24.31     11.96     10.62    12     24.35     12.04     10.69    13     24.35     11.98     10.64    14     24.25     12.04     10.70    15     24.25     11.98     10.64    16     24.28     12.00     10.66    17     24.20     11.96     10.62    18     24.22     11.97     10.63    19     24.36     12.04     10.69
 1459063304.02     0     47.05     34.74     11.33     1     47.04     34.73     11.33     2     47.04     34.73     11.33     3     47.03     34.72     11.33     4     46.99     34.69     11.32     5     46.99     34.69     11.32     6     46.99     34.69     11.32     7     46.99     34.69     11.32     8     46.98     34.69     11.32     9     46.98     34.68     11.32    10     24.17     11.89     10.59    11     24.16     11.94     10.64    12     24.15     11.88     10.58    13     24.17     11.89     10.59    14     24.19     11.84     10.55    15     24.19     11.90     10.60    16     24.17     11.89     10.59    17     24.18     11.89     10.60    18     24.18     11.89     10.60    19     24.16     11.88     10.59
 1459063304.22     0     47.06     34.74     11.24     1     47.07     34.74     11.30     2     47.07     34.74     11.30     3     47.07     34.75     11.30     4     47.11     34.78     11.31     5     47.12     34.78     11.31     6     47.12     34.78     11.31     7     47.12     34.78     11.31     8     47.13     34.79     11.32     9     47.13     34.79     11.32    10     24.12     11.86     10.66    11     24.13     11.80     10.67    12     24.15     11.87     10.68    13     24.16     11.88     10.68    14     24.16     11.88     10.68    15     24.08     11.84     10.64    16     24.10     11.85     10.65    17     24.21     11.90     10.70    18     24.22     11.91     10.71    19     24.12     11.86     10.66
 1459063304.43     0     46.83     34.58     11.29     1     46.83     34.58     11.23     2     46.83     34.58     11.23     3     46.82     34.57     11.23     4     47.05     34.74     11.28     5     47.04     34.74     11.28     6     47.04     34.73     11.28     7     47.04     34.73     11.28     8     47.04     34.73     11.28     9     47.04     34.73     11.28    10     24.02     11.78     10.76    11     24.07     11.75     10.68    12     23.93     11.68     10.67    13     24.04     11.74     10.72    14     24.04     11.74     10.72    15     24.03     11.73     10.71    16     23.99     11.71     10.69    17     23.99     11.71     10.70    18     23.94     11.69     10.68    19     24.04     11.73     10.72
 1459063304.63     0     46.87     34.56     11.28     1     46.87     34.56     11.28     2     46.87     34.56     11.28     3     46.87     34.57     11.28     4     46.64     34.39     11.22     5     46.64     34.40     11.22     6     46.64     34.40     11.22     7     46.64     34.57     11.22     8     46.87     34.57     11.28     9     46.87     34.56     11.28    10     24.06     11.73     10.60    11     24.10     11.80     10.67    12     24.12     11.81     10.68    13     23.96     11.73     10.66    14     24.05     11.78     10.65    15     24.02     11.77     10.63    16     24.15     11.83     10.69    17     24.02     11.77     10.63    18     24.05     11.78     10.69    19     24.03     11.78     10.63
 1459063304.83     0     46.98     34.69     11.31     1     47.19     34.86     11.36     2     47.19     34.85     11.36     3     47.19     34.85     11.36     4     47.19     34.85     11.36     5     47.18     34.85     11.36     6     47.18     34.84     11.36     7     47.18     34.67     11.36     8     46.94     34.67     11.30     9     46.94     34.67     11.30    10     24.27     11.97     10.49    11     24.15     11.91     10.43    12     24.22     11.95     10.46    13     24.25     11.96     10.42    14     24.13     11.96     10.48    15     24.27     11.97     10.48    16     24.12     11.96     10.47    17     24.23     11.95     10.47    18     24.22     11.95     10.41    19     24.25     11.96     10.47
 1459063305.04     0     47.30     34.97     11.35     1     47.06     34.80     11.29     2     47.07     34.80     11.29     3     47.08     34.81     11.30     4     47.06     34.79     11.29     5     47.06     34.97     11.29     6     47.29     34.97     11.35     7     47.29     34.97     11.35     8     47.30     34.97     11.35     9     47.29     34.97     11.35    10     24.10     11.86     10.33    11     24.24     11.93     10.39    12     24.10     11.92     10.38    13     24.21     11.92     10.37    14     24.20     11.86     10.37    15     24.18     11.91     10.36    16     24.19     11.91     10.37    17     24.18     11.90     10.36    18     24.18     11.90     10.36    19     24.16     11.89     10.35
 1459063305.25     0     47.22     34.94     11.32     1     47.24     34.95     11.33     2     47.47     35.12     11.38     3     47.46     35.11     11.38     4     47.48     35.12     11.38     5     47.47     34.95     11.38     6     47.25     34.95     11.33     7     47.25     34.95     11.33     8     47.25     34.95     11.33     9     47.25     34.95     11.33    10     24.14     11.87     10.16    11     24.13     11.86     10.11    12     24.15     11.82     10.12    13     24.15     11.87     10.12    14     24.16     11.88     10.07    15     24.09     11.84     10.09    16     24.23     11.85     10.10    17     24.12     11.86     10.11    18     24.12     11.86     10.11    19     24.14     11.87     10.12
