         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1459063354.23     0     57.77     45.39     11.35     1     57.77     45.39     11.35     2     57.77     45.39     11.35     3     57.77     45.39     11.35     4     57.77     45.39     11.35     5     57.78     45.40     11.35     6     57.77     45.40     11.35     7     57.78     45.40     11.35     8     57.78     45.40     11.35     9     57.78     45.40     11.35    10     23.87     11.63     10.57    11     23.99     11.69     10.63    12     24.01     11.70     10.63    13     24.01     11.69     10.63    14     24.01     11.70     10.63    15     24.00     11.69     10.63    16     24.00     11.69     10.63    17     24.01     11.70     10.58    18     23.90     11.64     10.58    19     23.90     11.65     10.58
 1459063354.43     0     50.30     37.95     11.25     1     50.27     37.92     11.24     2     50.26     37.92     11.24     3     50.26     37.92     11.24     4     50.26     37.91     11.24     5     50.25     37.91     11.24     6     50.23     37.90     11.23     7     50.23     37.89     11.23     8     50.22     37.89     11.23     9     50.22     37.88     11.23    10     24.07     11.86     10.64    11     24.06     11.80     10.58    12     24.02     11.77     10.56    13     24.00     11.77     10.56    14     24.11     11.82     10.61    15     24.10     11.81     10.60    16     24.08     11.80     10.59    17     24.16     11.84     10.63    18     24.13     11.83     10.61    19     24.13     11.83     10.61
 1459063354.64     0     47.04     34.73     11.39     1     47.04     34.72     11.39     2     47.04     34.73     11.39     3     47.04     34.72     11.39     4     47.04     34.73     11.39     5     47.04     34.73     11.39     6     47.05     34.73     11.39     7     47.04     34.73     11.39     8     47.04     34.73     11.39     9     47.04     34.73     11.39    10     24.15     11.77     10.56    11     24.02     11.76     10.55    12     24.04     11.77     10.56    13     24.04     11.77     10.62    14     23.93     11.77     10.57    15     24.05     11.78     10.57    16     24.08     11.79     10.58    17     23.98     11.74     10.54    18     24.00     11.75     10.55    19     24.00     11.75     10.54
 1459063354.84     0     47.18     34.85     11.26     1     47.20     34.86     11.26     2     47.20     34.86     11.26     3     47.20     34.86     11.26     4     47.20     34.86     11.26     5     47.20     34.86     11.26     6     47.20     34.86     11.26     7     47.20     34.86     11.26     8     47.20     34.86     11.26     9     47.21     34.87     11.26    10     24.01     11.76     10.61    11     24.10     11.80     10.65    12     24.11     11.80     10.65    13     24.13     11.81     10.60    14     24.12     11.75     10.60    15     24.00     11.75     10.60    16     24.11     11.81     10.65    17     24.11     11.81     10.65    18     24.12     11.81     10.65    19     24.12     11.81     10.65
 1459063355.04     0     47.23     34.94     11.22     1     47.22     34.93     11.22     2     47.22     34.93     11.22     3     47.22     34.93     11.22     4     47.22     34.93     11.22     5     47.22     34.93     11.22     6     47.23     34.94     11.22     7     47.23     34.94     11.22     8     47.23     34.94     11.22     9     47.23     34.94     11.22    10     24.01     11.75     10.68    11     23.94     11.71     10.65    12     23.95     11.77     10.71    13     24.07     11.77     10.71    14     24.07     11.77     10.71    15     24.08     11.78     10.71    16     23.96     11.72     10.66    17     23.96     11.72     10.66    18     23.96     11.72     10.67    19     23.97     11.72     10.72
 1459063355.25     0     47.20     34.88     11.25     1     47.18     34.87     11.25     2     47.17     34.86     11.25     3     47.17     34.86     11.25     4     47.17     34.86     11.25     5     47.17     34.86     11.25     6     47.17     34.86     11.24     7     47.16     34.85     11.24     8     47.16     34.85     11.24     9     47.15     34.85     11.24    10     24.03     11.76     10.52    11     24.13     11.80     10.57    12     24.10     11.73     10.50    13     23.96     11.72     10.54    14     24.04     11.76     10.53    15     24.04     11.76     10.53    16     24.03     11.76     10.57    17     24.10     11.79     10.56    18     24.07     11.78     10.54    19     24.06     11.77     10.49
 1459063355.45     0     47.06     34.75     11.25     1     47.06     34.75     11.25     2     47.06     34.74     11.25     3     47.06     34.74     11.25     4     47.06     34.74     11.25     5     47.06     34.74     11.25     6     47.06     34.74     11.25     7     47.06     34.74     11.25     8     47.04     34.73     11.25     9     47.04     34.73     11.25    10     24.17     11.85     10.54    11     24.03     11.78     10.48    12     24.15     11.84     10.53    13     24.13     11.83     10.47    14     24.01     11.77     10.52    15     24.10     11.81     10.51    16     24.08     11.80     10.50    17     24.07     11.80     10.49    18     24.06     11.80     10.54    19     24.14     11.84     10.52
 1459063355.66     0     47.37     35.06     11.61     1     47.41     35.09     11.62     2     47.42     35.09     11.62     3     47.42     35.09     11.62     4     47.42     35.10     11.63     5     47.43     35.10     11.63     6     47.44     35.11     11.63     7     47.44     35.11     11.63     8     47.47     35.13     11.64     9     47.47     35.14     11.64    10     24.14     11.87     10.46    11     24.17     11.89     10.47    12     24.08     11.85     10.43    13     24.13     11.87     10.46    14     24.17     11.89     10.42    15     24.09     11.85     10.44    16     24.13     11.87     10.40    17     24.06     11.83     10.42    18     24.11     11.91     10.44    19     24.15     11.88     10.47
 1459063355.86     0     47.71     35.33     11.62     1     47.67     35.30     11.61     2     47.66     35.29     11.61     3     47.66     35.29     11.61     4     47.66     35.29     11.61     5     47.65     35.29     11.60     6     47.64     35.28     11.60     7     47.63     35.27     11.60     8     47.62     35.26     11.60     9     47.62     35.26     11.60    10     24.02     11.80     10.26    11     24.13     11.85     10.31    12     24.11     11.84     10.30    13     24.06     11.87     10.33    14     24.16     11.86     10.32    15     24.13     11.85     10.30    16     24.10     11.89     10.35    17     24.19     11.88     10.33    18     24.14     11.80     10.26    19     24.01     11.85     10.31
 1459063356.06     0     47.07     34.80     11.29     1     47.07     34.81     11.29     2     47.08     34.81     11.29     3     47.08     34.81     11.29     4     47.08     34.81     11.29     5     47.08     34.98     11.29     6     47.32     34.99     11.34     7     47.32     34.99     11.35     8     47.33     34.99     11.35     9     47.33     34.99     11.35    10     24.14     11.85     10.34    11     24.00     11.84     10.33    12     24.12     11.84     10.33    13     24.15     11.80     10.29    14     24.03     11.80     10.34    15     24.15     11.86     10.34    16     24.16     11.80     10.30    17     24.03     11.80     10.35    18     24.17     11.87     10.35    19     24.16     11.81     10.30
 1459063356.27     0     47.04     34.91     11.28     1     47.26     34.90     11.28     2     47.26     34.91     11.28     3     47.26     34.90     11.28     4     47.25     34.90     11.28     5     47.26     34.73     11.28     6     47.01     34.72     11.22     7     47.02     34.73     11.22     8     47.02     34.73     11.22     9     47.02     34.73     11.22    10     24.09     11.84     10.52    11     24.21     11.84     10.52    12     24.08     11.83     10.51    13     24.05     11.88     10.55    14     24.15     11.87     10.49    15     24.13     11.86     10.53    16     24.12     11.85     10.52    17     24.13     11.86     10.48    18     24.02     11.81     10.53    19     24.14     11.86     10.53
 1459063356.48     0     47.49     34.96     11.29     1     47.27     34.96     11.29     2     47.26     34.96     11.29     3     47.26     34.96     11.29     4     47.26     34.96     11.29     5     47.26     34.96     11.29     6     47.27     34.96     11.29     7     47.26     34.96     11.29     8     47.25     34.96     11.29     9     47.25     34.95     11.29    10     24.13     11.87     10.39    11     24.14     11.88     10.34    12     24.15     11.88     10.34    13     24.14     11.88     10.34    14     24.17     11.89     10.35    15     24.07     11.84     10.31    16     24.19     11.90     10.37    17     24.17     11.89     10.36    18     24.17     11.89     10.36    19     24.14     11.88     10.34
 1459063356.68     0     47.26     34.95     11.21     1     47.26     34.94     11.21     2     47.26     34.94     11.21     3     47.26     34.94     11.21     4     47.26     34.95     11.21     5     47.27     34.95     11.21     6     47.27     34.95     11.21     7     47.28     34.96     11.22     8     47.28     34.96     11.22     9     47.27     34.96     11.21    10     24.12     11.83     10.27    11     24.03     11.78     10.28    12     24.05     11.79     10.29    13     24.20     11.81     10.31    14     24.10     11.82     10.32    15     24.12     11.83     10.32    16     24.02     11.78     10.28    17     24.06     11.80     10.29    18     24.08     11.81     10.25    19     24.01     11.83     10.33
 1459063356.88     0     47.06     34.78     11.27     1     47.03     34.76     11.27     2     47.03     34.76     11.27     3     47.03     34.76     11.27     4     47.02     34.76     11.26     5     47.02     34.75     11.26     6     47.01     34.75     11.26     7     47.01     34.74     11.26     8     47.23     34.91     11.31     9     47.24     34.92     11.32    10     24.15     11.86     10.40    11     24.10     11.90     10.43    12     24.19     11.88     10.41    13     24.05     11.82     10.35    14     24.14     11.86     10.39    15     24.12     11.85     10.38    16     24.08     11.89     10.42    17     24.18     11.88     10.41    18     24.15     11.87     10.40    19     24.12     11.85     10.38
 1459063357.09     0     46.99     34.69     11.29     1     47.02     34.72     11.29     2     47.01     34.71     11.29     3     47.01     34.71     11.29     4     47.24     34.88     11.29     5     47.24     34.88     11.35     6     47.23     34.87     11.35     7     47.24     34.88     11.35     8     47.02     34.71     11.29     9     47.02     34.71     11.29    10     24.25     11.93     10.50    11     24.18     11.84     10.42    12     24.07     11.90     10.47    13     24.19     11.90     10.47    14     24.09     11.85     10.43    15     24.09     11.91     10.48    16     24.23     11.86     10.44    17     24.10     11.85     10.43    18     24.09     11.91     10.48    19     24.24     11.86     10.44
 1459063357.29     0     47.13     34.81     11.36     1     47.15     34.82     11.36     2     47.15     34.82     11.37     3     47.16     34.83     11.37     4     46.93     34.66     11.37     5     46.93     34.66     11.31     6     46.93     34.66     11.31     7     46.93     34.66     11.31     8     46.92     34.65     11.31     9     46.92     34.83     11.37    10     24.07     11.84     10.41    11     24.14     11.88     10.44    12     24.26     11.88     10.44    13     24.11     11.86     10.43    14     24.22     11.92     10.48    15     24.22     11.86     10.43    16     24.10     11.86     10.43    17     24.22     11.92     10.48    18     24.22     11.86     10.43    19     24.11     11.86     10.43
 1459063357.50     0     47.95     35.62     11.18     1     47.96     35.63     11.18     2     47.96     35.63     11.19     3     47.96     35.63     11.19     4     47.96     35.63     11.19     5     47.96     35.63     11.18     6     47.96     35.62     11.18     7     47.96     35.63     11.19     8     47.97     35.64     11.19     9     47.97     35.46     11.13    10     24.08     11.92     10.47    11     24.22     11.92     10.47    12     24.09     11.86     10.42    13     24.23     11.93     10.48    14     24.11     11.87     10.42    15     24.10     11.86     10.42    16     24.22     11.92     10.47    17     24.12     11.88     10.43    18     24.13     11.88     10.43    19     24.22     11.92     10.47
 1459063357.71     0     47.16     34.84     11.27     1     47.17     34.85     11.27     2     47.17     34.86     11.27     3     47.18     34.86     11.28     4     47.18     34.86     11.28     5     47.20     34.87     11.28     6     47.21     34.88     11.28     7     47.21     34.88     11.28     8     47.21     34.89     11.28     9     47.22     34.89     11.29    10     24.19     11.85     10.58    11     24.11     11.87     10.59    12     24.14     11.88     10.61    13     24.05     11.84     10.57    14     24.20     11.92     10.64    15     24.23     11.93     10.65    16     24.13     11.88     10.61    17     24.16     11.89     10.62    18     24.18     11.90     10.63    19     24.09     11.86     10.59
 1459063357.91     0     47.43     35.08     11.58     1     47.42     35.07     11.57     2     47.42     35.07     11.57     3     47.42     35.07     11.57     4     47.42     35.07     11.57     5     47.41     35.06     11.57     6     47.40     35.06     11.57     7     47.40     35.05     11.57     8     47.38     35.04     11.56     9     47.38     35.04     11.56    10     24.14     11.94     10.55    11     24.16     11.90     10.51    12     24.27     11.95     10.56    13     24.25     11.94     10.55    14     24.11     11.87     10.49    15     24.10     11.87     10.48    16     24.09     11.92     10.53    17     24.20     11.92     10.53    18     24.20     11.92     10.53    19     24.19     11.91     10.52
 1459063358.11     0     49.64     37.33     11.37     1     49.64     37.33     11.37     2     49.64     37.33     11.37     3     49.65     37.33     11.37     4     49.65     37.33     11.37     5     49.65     37.33     11.37     6     49.65     37.33     11.37     7     49.65     37.33     11.37     8     49.67     37.34     11.38     9     49.66     37.34     11.37    10     24.16     11.83     10.68    11     24.24     11.93     10.71    12     24.09     11.86     10.65    13     24.09     11.86     10.65    14     24.23     11.93     10.71    15     24.22     11.92     10.70    16     24.22     11.86     10.65    17     24.09     11.86     10.65    18     24.19     11.91     10.69    19     24.19     11.90     10.69
 1459063358.31     0     51.15     38.79     11.38     1     51.15     38.79     11.38     2     51.15     38.79     11.38     3     51.15     38.79     11.38     4     51.15     38.79     11.38     5     51.15     38.79     11.38     6     51.15     38.79     11.38     7     51.16     38.79     11.38     8     51.16     38.79     11.38     9     51.16     38.80     11.38    10     24.16     11.88     10.44    11     24.04     11.82     10.49    12     24.20     11.90     10.51    13     24.21     11.91     10.51    14     24.10     11.85     10.46    15     24.11     11.86     10.47    16     24.11     11.86     10.47    17     24.10     11.91     10.52    18     24.12     11.86     10.47    19     24.13     11.87     10.48
