         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1459063398.65     0     49.10     36.77     11.11     1     49.10     36.77     11.11     2     49.10     36.77     11.11     3     49.10     36.77     11.11     4     49.10     36.77     11.11     5     49.10     36.77     11.11     6     49.10     36.77     11.11     7     49.10     36.77     11.11     8     49.10     36.77     11.11     9     49.10     36.58     11.05    10     23.58     11.27     10.67    11     23.46     11.22     10.62    12     23.46     11.22     10.62    13     23.46     11.27     10.67    14     23.65     11.25     10.70    15     23.52     11.25     10.64    16     23.54     11.25     10.65    17     23.54     11.25     10.65    18     23.54     11.26     10.65    19     23.59     11.28     10.67
 1459063398.85     0     54.14     41.79     11.28     1     54.09     41.93     11.33     2     54.31     41.92     11.33     3     54.30     41.91     11.33     4     54.29     41.90     11.32     5     54.28     41.89     11.32     6     54.26     41.88     11.32     7     54.26     41.88     11.32     8     54.25     41.87     11.32     9     54.25     41.87     11.31    10     24.20     11.88     10.61    11     24.15     11.86     10.59    12     24.22     11.90     10.62    13     24.19     11.82     10.60    14     24.12     11.85     10.57    15     24.10     11.84     10.56    16     24.06     11.82     10.60    17     24.14     11.86     10.58    18     24.11     11.85     10.57    19     24.21     11.89     10.61
 1459063399.06     0     47.40     35.03     11.32     1     47.41     34.87     11.27     2     47.18     34.88     11.27     3     47.19     34.88     11.27     4     47.20     34.88     11.27     5     47.20     34.89     11.27     6     47.21     34.89     11.28     7     47.20     34.89     11.28     8     47.21     34.89     11.28     9     47.21     34.89     11.28    10     24.11     11.94     10.57    11     24.26     11.96     10.59    12     24.18     11.92     10.55    13     24.20     11.93     10.51    14     24.14     11.90     10.53    15     24.16     11.91     10.54    16     24.19     11.93     10.56    17     24.23     11.94     10.57    18     24.24     11.95     10.58    19     24.15     11.91     10.54
 1459063399.26     0     47.14     34.84     11.22     1     47.14     34.84     11.22     2     47.13     34.84     11.22     3     47.13     34.83     11.22     4     47.13     34.83     11.22     5     47.13     34.83     11.22     6     47.13     34.84     11.22     7     47.13     34.83     11.22     8     47.13     34.83     11.22     9     47.13     34.83     11.22    10     24.19     11.86     10.61    11     24.17     11.91     10.60    12     24.16     11.91     10.60    13     24.16     11.91     10.65    14     24.27     11.96     10.65    15     24.25     11.95     10.64    16     24.24     11.95     10.58    17     24.11     11.88     10.63    18     24.21     11.93     10.62    19     24.19     11.92     10.61
 1459063399.46     0     47.06     34.77     11.36     1     47.09     34.78     11.36     2     47.09     34.79     11.37     3     47.10     34.79     11.37     4     47.10     34.79     11.37     5     47.10     34.80     11.37     6     47.11     34.80     11.37     7     47.12     34.81     11.37     8     47.12     34.81     11.37     9     47.12     34.81     11.37    10     24.22     11.89     10.63    11     24.12     11.84     10.64    12     24.15     11.85     10.65    13     24.15     11.86     10.60    14     24.05     11.81     10.61    15     24.07     11.81     10.62    16     24.08     11.82     10.62    17     24.10     11.83     10.58    18     24.13     11.84     10.64    19     24.15     11.85     10.65
 1459063399.67     0     46.95     34.62     11.52     1     46.93     34.60     11.52     2     46.93     34.60     11.52     3     46.92     34.60     11.52     4     46.91     34.59     11.51     5     46.91     34.59     11.51     6     46.90     34.58     11.51     7     46.90     34.58     11.51     8     46.90     34.58     11.51     9     47.13     34.75     11.51    10     24.03     11.78     10.68    11     24.02     11.78     10.68    12     24.12     11.83     10.72    13     24.11     11.82     10.71    14     24.07     11.80     10.70    15     24.17     11.85     10.74    16     24.16     11.84     10.74    17     24.14     11.84     10.73    18     24.02     11.78     10.67    19     24.01     11.77     10.67
 1459063399.87     0     47.08     34.78     11.30     1     47.07     34.77     11.30     2     47.29     34.93     11.35     3     47.29     34.93     11.35     4     47.29     34.93     11.35     5     47.28     34.93     11.35     6     47.28     34.93     11.35     7     47.28     34.92     11.35     8     47.28     34.92     11.35     9     47.05     34.75     11.35    10     24.09     11.88     10.47    11     24.19     11.88     10.47    12     24.06     11.81     10.46    13     24.14     11.85     10.44    14     24.16     11.86     10.45    15     24.14     11.85     10.44    16     24.10     11.83     10.42    17     24.07     11.88     10.47    18     24.17     11.87     10.45    19     24.14     11.85     10.44
 1459063400.08     0     47.27     34.96     11.32     1     47.29     34.98     11.33     2     47.07     34.81     11.27     3     47.30     34.98     11.27     4     47.30     34.99     11.33     5     47.31     34.99     11.33     6     47.31     34.99     11.33     7     47.31     34.99     11.33     8     47.31     34.99     11.33     9     47.31     34.99     11.33    10     24.29     11.96     10.42    11     24.29     12.02     10.47    12     24.29     12.02     10.42    13     24.29     12.02     10.47    14     24.28     12.01     10.47    15     24.17     11.96     10.47    16     24.31     12.03     10.48    17     24.31     11.97     10.43    18     24.31     12.03     10.48    19     24.29     12.02     10.47
 1459063400.28     0     47.44     35.13     11.30     1     47.41     35.11     11.29     2     47.41     35.10     11.29     3     47.40     35.10     11.29     4     47.40     35.10     11.29     5     47.39     35.09     11.29     6     47.40     35.09     11.29     7     47.40     35.09     11.29     8     47.40     35.09     11.29     9     47.39     35.09     11.29    10     24.22     11.95     10.51    11     24.21     11.94     10.51    12     24.21     11.94     10.51    13     24.22     11.95     10.51    14     24.20     12.00     10.56    15     24.29     11.98     10.49    16     24.16     11.92     10.53    17     24.29     11.98     10.54    18     24.16     11.92     10.48    19     24.20     11.94     10.50
 1459063400.49     0     47.46     35.11     11.33     1     47.45     35.11     11.33     2     47.45     35.11     11.33     3     47.22     34.93     11.33     4     47.22     34.93     11.28     5     47.22     34.93     11.28     6     47.22     34.93     11.28     7     47.21     34.93     11.27     8     47.21     34.93     11.27     9     47.21     34.92     11.27    10     24.30     11.99     10.26    11     24.18     11.94     10.21    12     24.30     12.00     10.26    13     24.20     11.94     10.22    14     24.22     11.89     10.23    15     24.24     11.96     10.24    16     24.24     11.96     10.19    17     24.13     11.97     10.25    18     24.25     11.96     10.24    19     24.23     11.96     10.29
