         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1459049577.13     0     48.12     35.80     11.10     1     48.11     35.80     11.10     2     48.12     35.80     11.10     3     48.12     35.80     11.10     4     48.12     35.80     11.10     5     48.12     35.80     11.10     6     48.12     35.80     11.10     7     48.12     35.80     11.10     8     48.12     35.80     11.10     9     48.12     35.80     11.10    10     23.97     11.70     10.55    11     23.99     11.70     10.55    12     23.98     11.70     10.55    13     24.00     11.66     10.50    14     23.90     11.67     10.51    15     23.90     11.67     10.56    16     23.90     11.72     10.56    17     24.02     11.73     10.56    18     24.02     11.73     10.56    19     24.02     11.73     10.56
 1459049577.33     0     54.87     42.57     11.20     1     54.82     42.53     11.19     2     55.01     42.67     11.24     3     54.97     42.64     11.23     4     54.94     42.62     11.22     5     54.93     42.60     11.22     6     54.88     42.57     11.21     7     54.84     42.54     11.20     8     54.82     42.52     11.20     9     54.81     42.51     11.20    10     24.09     11.90     10.65    11     24.18     11.88     10.64    12     24.24     11.92     10.66    13     24.19     11.89     10.64    14     24.17     11.88     10.63    15     24.25     11.92     10.62    16     24.21     11.84     10.60    17     24.16     11.88     10.63    18     24.13     11.86     10.61    19     24.11     11.91     10.66
 1459049577.57     0     47.70     35.34     11.55     1     47.74     35.37     11.56     2     47.57     35.25     11.52     3     47.59     35.26     11.53     4     47.60     35.27     11.53     5     47.61     35.28     11.53     6     47.64     35.30     11.54     7     47.66     35.32     11.55     8     47.67     35.32     11.55     9     47.68     35.33     11.55    10     24.22     11.87     10.48    11     24.15     11.88     10.50    12     24.10     11.85     10.47    13     24.13     11.87     10.49    14     24.15     11.93     10.54    15     24.18     11.89     10.51    16     24.21     11.91     10.52    17     24.14     11.87     10.49    18     24.17     11.89     10.50    19     24.19     11.85     10.47
 1459049577.77     0     46.85     34.56     11.30     1     46.85     34.56     11.30     2     46.84     34.56     11.30     3     46.84     34.56     11.30     4     46.84     34.56     11.30     5     46.84     34.56     11.30     6     46.84     34.56     11.30     7     46.84     34.56     11.30     8     46.84     34.56     11.30     9     46.84     34.56     11.30    10     24.07     11.80     10.64    11     24.06     11.79     10.63    12     24.15     11.84     10.67    13     24.15     11.84     10.67    14     24.15     11.78     10.62    15     24.03     11.78     10.62    16     24.03     11.78     10.62    17     24.03     11.84     10.67    18     24.15     11.84     10.67    19     24.11     11.82     10.66
 1459049577.97     0     46.99     34.70     11.16     1     46.99     34.70     11.16     2     46.97     34.69     11.16     3     46.97     34.69     11.16     4     46.97     34.69     11.16     5     46.97     34.69     11.16     6     46.97     34.69     11.16     7     46.96     34.69     11.16     8     47.20     34.86     11.16     9     47.20     34.86     11.21    10     24.06     11.86     10.66    11     24.17     11.86     10.66    12     24.06     11.80     10.61    13     24.06     11.80     10.61    14     24.06     11.80     10.61    15     24.18     11.86     10.67    16     24.19     11.86     10.67    17     24.18     11.80     10.61    18     24.06     11.80     10.61    19     24.09     11.82     10.63
 1459049578.18     0     46.90     34.60     11.26     1     46.89     34.60     11.26     2     46.90     34.60     11.26     3     46.90     34.61     11.26     4     46.90     34.60     11.26     5     46.90     34.60     11.26     6     47.14     34.78     11.32     7     47.13     34.77     11.32     8     46.89     34.60     11.32     9     46.89     34.60     11.26    10     24.20     11.80     10.64    11     24.08     11.81     10.64    12     24.07     11.80     10.69    13     24.14     11.83     10.67    14     24.13     11.83     10.67    15     24.01     11.77     10.66    16     24.08     11.80     10.65    17     24.06     11.79     10.64    18     24.04     11.78     10.68    19     24.11     11.81     10.66
 1459049578.38     0     47.08     34.78     11.28     1     47.09     34.78     11.28     2     47.09     34.78     11.28     3     47.07     34.77     11.27     4     47.29     34.93     11.33     5     47.29     34.93     11.33     6     47.04     34.75     11.27     7     47.06     34.76     11.27     8     47.06     34.76     11.27     9     47.05     34.76     11.27    10     24.19     11.92     10.39    11     24.18     11.92     10.43    12     24.28     11.97     10.37    13     24.15     11.91     10.42    14     24.25     11.96     10.41    15     24.21     12.00     10.39    16     24.21     11.94     10.39    17     24.18     11.98     10.42    18     24.27     11.97     10.36    19     24.16     11.92     10.36
 1459049578.59     0     47.41     35.06     11.32     1     47.41     35.06     11.32     2     47.40     35.05     11.32     3     47.42     35.07     11.32     4     47.19     34.90     11.27     5     47.20     34.90     11.27     6     47.19     34.90     11.27     7     47.19     34.90     11.27     8     47.19     34.90     11.27     9     47.20     34.90     11.27    10     24.21     11.95     10.38    11     24.21     12.01     10.38    12     24.24     11.96     10.39    13     24.25     11.97     10.35    14     24.25     11.97     10.40    15     24.28     11.93     10.36    16     24.16     11.98     10.41    17     24.31     11.94     10.37    18     24.19     12.00     10.42    19     24.31     12.00     10.42
 1459049578.79     0     47.24     34.97     11.30     1     47.24     34.96     11.30     2     47.23     34.96     11.30     3     47.23     34.96     11.30     4     47.23     34.96     11.30     5     47.47     35.14     11.35     6     47.47     35.14     11.35     7     47.47     35.14     11.35     8     47.47     35.14     11.35     9     47.47     35.14     11.35    10     24.24     11.94     10.32    11     24.24     11.89     10.27    12     24.13     11.89     10.33    13     24.23     11.94     10.32    14     24.13     11.89     10.28    15     24.12     11.94     10.32    16     24.26     11.89     10.28    17     24.16     11.90     10.29    18     24.19     11.91     10.30    19     24.20     11.92     10.30
 1459049579.00     0     47.42     35.10     11.35     1     47.43     35.11     11.35     2     47.42     35.11     11.35     3     47.43     35.11     11.35     4     47.43     35.11     11.35     5     47.19     34.93     11.29     6     47.20     34.94     11.29     7     47.40     35.09     11.34     8     47.40     35.09     11.34     9     47.40     35.09     11.34    10     24.22     11.95     10.29    11     24.23     11.95     10.29    12     24.20     12.00     10.28    13     24.23     11.95     10.29    14     24.19     11.93     10.32    15     24.30     11.93     10.27    16     24.18     11.93     10.27    17     24.30     11.99     10.32    18     24.27     11.91     10.26    19     24.25     11.96     10.30
