         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1459051668.02     0     42.07     29.71     11.24     1     42.07     29.72     11.24     2     42.08     29.72     11.24     3     42.08     29.72     11.24     4     42.08     29.72     11.24     5     42.08     29.72     11.24     6     42.09     29.72     11.24     7     42.09     29.72     11.24     8     42.09     29.73     11.24     9     42.10     29.73     11.24    10     24.46     12.18     10.65    11     24.57     12.23     10.70    12     24.56     12.23     10.70    13     24.56     12.23     10.69    14     24.43     12.16     10.64    15     24.43     12.16     10.64    16     24.42     12.16     10.63    17     24.42     12.16     10.63    18     24.42     12.15     10.63    19     24.42     12.15     10.63
 1459051668.22     0     55.06     42.77     11.33     1     55.03     42.75     11.32     2     55.03     42.74     11.32     3     55.03     42.74     11.32     4     55.03     42.74     11.32     5     55.02     42.74     11.32     6     55.02     42.74     11.32     7     55.01     42.73     11.32     8     55.25     42.91     11.32     9     55.25     42.91     11.37    10     24.24     12.01     10.64    11     24.22     11.94     10.58    12     24.20     11.93     10.57    13     24.20     11.93     10.57    14     24.19     11.93     10.56    15     24.18     11.98     10.61    16     24.28     11.97     10.60    17     24.26     11.96     10.60    18     24.26     11.96     10.59    19     24.24     11.95     10.59
 1459051668.42     0     47.27     34.93     11.41     1     47.26     34.92     11.40     2     47.26     34.92     11.40     3     47.25     34.92     11.40     4     47.25     34.92     11.40     5     47.25     34.91     11.40     6     47.25     34.91     11.40     7     47.25     34.91     11.40     8     47.01     34.73     11.40     9     47.00     34.73     11.34    10     24.33     11.95     10.62    11     24.20     11.95     10.62    12     24.20     11.95     10.62    13     24.21     12.02     10.67    14     24.33     12.02     10.67    15     24.33     11.96     10.62    16     24.22     11.96     10.63    17     24.22     11.96     10.68    18     24.30     12.00     10.66    19     24.27     11.99     10.70
 1459051668.63     0     46.82     34.56     11.33     1     46.83     34.56     11.33     2     46.83     34.57     11.33     3     46.83     34.57     11.33     4     47.07     34.74     11.39     5     47.06     34.74     11.39     6     47.07     34.74     11.39     7     47.06     34.73     11.39     8     47.06     34.73     11.39     9     47.06     34.74     11.39    10     24.29     11.99     10.67    11     24.32     12.00     10.68    12     24.32     12.00     10.68    13     24.31     11.94     10.62    14     24.26     11.97     10.65    15     24.25     11.97     10.65    16     24.25     11.97     10.65    17     24.26     11.97     10.60    18     24.16     11.98     10.66    19     24.30     11.99     10.61
 1459051668.83     0     47.20     34.86     11.27     1     47.21     34.86     11.27     2     47.20     34.86     11.27     3     47.20     34.85     11.27     4     46.97     34.68     11.21     5     46.97     34.68     11.21     6     46.97     34.68     11.21     7     46.98     34.69     11.22     8     46.98     34.69     11.22     9     46.98     34.69     11.22    10     24.11     11.85     10.62    11     24.09     11.84     10.61    12     24.09     11.84     10.61    13     24.10     11.90     10.67    14     24.14     11.87     10.63    15     24.15     11.87     10.64    16     24.16     11.87     10.64    17     24.16     11.87     10.64    18     24.17     11.82     10.59    19     24.07     11.89     10.65
 1459051669.03     0     46.79     34.53     11.14     1     46.78     34.52     11.14     2     46.78     34.52     11.14     3     46.78     34.52     11.14     4     46.78     34.69     11.14     5     47.01     34.69     11.19     6     47.01     34.69     11.19     7     47.01     34.69     11.19     8     47.01     34.69     11.19     9     47.01     34.69     11.19    10     24.16     11.86     10.72    11     24.16     11.86     10.72    12     24.16     11.86     10.72    13     24.15     11.85     10.71    14     24.11     11.83     10.70    15     24.09     11.82     10.69    16     24.07     11.87     10.73    17     24.18     11.87     10.73    18     24.17     11.86     10.72    19     24.13     11.85     10.71
 1459051669.24     0     47.00     34.69     11.37     1     46.99     34.68     11.37     2     46.99     34.68     11.37     3     47.21     34.84     11.37     4     47.21     34.67     11.42     5     46.98     34.67     11.37     6     46.97     34.67     11.37     7     46.97     34.67     11.37     8     46.97     34.67     11.37     9     46.96     34.66     11.36    10     24.22     11.94     10.62    11     24.19     11.93     10.66    12     24.28     11.97     10.64    13     24.26     11.91     10.58    14     24.25     11.96     10.63    15     24.24     11.96     10.63    16     24.24     11.96     10.62    17     24.18     11.93     10.60    18     24.27     11.97     10.63    19     24.27     11.92     10.59
 1459051669.44     0     47.16     34.84     11.33     1     47.16     34.85     11.34     2     47.16     34.84     11.33     3     46.94     34.68     11.34     4     46.93     34.84     11.28     5     47.16     34.84     11.34     6     47.16     34.84     11.34     7     47.14     34.83     11.33     8     47.14     34.83     11.33     9     47.14     34.83     11.33    10     24.32     12.05     10.21    11     24.32     12.05     10.16    12     24.33     12.05     10.21    13     24.31     12.04     10.21    14     24.33     12.05     10.21    15     24.28     12.09     10.24    16     24.38     12.02     10.18    17     24.30     12.10     10.25    18     24.31     12.04     10.20    19     24.31     12.04     10.20
 1459051669.65     0     47.37     35.05     11.30     1     47.36     35.04     11.29     2     47.35     35.04     11.29     3     47.34     35.03     11.29     4     47.57     35.04     11.34     5     47.34     35.03     11.29     6     47.34     35.03     11.29     7     47.36     35.05     11.29     8     47.35     35.04     11.29     9     47.35     35.04     11.29    10     24.30     12.02     10.38    11     24.28     12.01     10.42    12     24.29     12.02     10.38    13     24.30     12.02     10.38    14     24.19     12.02     10.38    15     24.34     11.98     10.34    16     24.25     12.00     10.41    17     24.35     11.99     10.35    18     24.24     11.99     10.40    19     24.35     12.05     10.40
 1459051669.86     0     47.31     35.00     11.35     1     47.28     34.97     11.34     2     47.29     34.98     11.34     3     47.28     34.97     11.34     4     47.05     34.80     11.28     5     47.29     34.98     11.34     6     47.28     34.97     11.34     7     47.27     34.97     11.34     8     47.28     34.97     11.34     9     47.27     34.97     11.34    10     24.28     12.01     10.18    11     24.31     12.02     10.14    12     24.17     12.01     10.18    13     24.28     12.01     10.18    14     24.29     12.01     10.18    15     24.29     12.01     10.18    16     24.28     12.01     10.18    17     24.28     12.00     10.18    18     24.28     12.01     10.18    19     24.27     12.00     10.17
 1459051670.06     0     47.24     34.94     11.23     1     47.28     34.97     11.24     2     47.29     34.98     11.24     3     47.30     34.99     11.25     4     47.30     34.98     11.25     5     47.06     34.81     11.19     6     47.31     34.99     11.25     7     47.31     34.99     11.25     8     47.31     34.99     11.25     9     47.32     35.00     11.25    10     24.27     11.99     10.52    11     24.27     11.99     10.52    12     24.29     12.00     10.53    13     24.29     12.00     10.53    14     24.29     11.94     10.47    15     24.18     12.00     10.53    16     24.30     12.01     10.48    17     24.22     11.96     10.49    18     24.34     12.03     10.50    19     24.24     11.98     10.51
 1459051670.27     0     47.25     34.92     11.30     1     47.28     34.94     11.31     2     47.28     34.94     11.31     3     47.28     34.94     11.31     4     47.28     34.94     11.31     5     47.28     34.94     11.31     6     47.04     34.77     11.25     7     47.05     34.77     11.25     8     47.04     34.77     11.25     9     47.04     34.77     11.25    10     24.18     11.94     10.41    11     24.20     11.95     10.41    12     24.21     11.95     10.42    13     24.25     11.97     10.43    14     24.24     11.97     10.43    15     24.27     11.92     10.39    16     24.29     11.99     10.45    17     24.27     11.98     10.44    18     24.15     11.92     10.39    19     24.16     11.98     10.45
 1459051670.47     0     47.08     34.79     11.35     1     47.07     34.79     11.35     2     47.07     34.78     11.34     3     47.06     34.78     11.34     4     47.06     34.78     11.34     5     47.06     34.78     11.34     6     47.07     34.78     11.34     7     47.07     34.78     11.34     8     47.07     34.78     11.34     9     47.06     34.78     11.34    10     24.21     12.02     10.44    11     24.27     12.00     10.42    12     24.38     11.99     10.41    13     24.24     11.98     10.40    14     24.22     11.97     10.44    15     24.32     12.02     10.43    16     24.18     11.95     10.37    17     24.19     12.02     10.43    18     24.32     12.02     10.43    19     24.29     11.95     10.42
 1459051670.68     0     47.17     34.87     11.28     1     47.18     34.87     11.29     2     47.19     34.88     11.29     3     47.18     34.88     11.29     4     47.18     34.88     11.29     5     47.19     34.88     11.29     6     47.19     34.88     11.29     7     47.19     34.89     11.29     8     47.20     34.89     11.29     9     47.20     34.89     11.29    10     24.26     11.91     10.39    11     24.29     11.99     10.45    12     24.20     11.94     10.41    13     24.19     12.00     10.46    14     24.30     11.99     10.40    15     24.17     11.99     10.45    16     24.27     11.98     10.45    17     24.30     11.94     10.40    18     24.20     11.95     10.41    19     24.24     11.97     10.38
 1459051670.88     0     47.08     34.81     11.31     1     47.07     34.80     11.31     2     47.07     34.80     11.31     3     47.08     34.80     11.31     4     47.08     34.80     11.31     5     47.30     34.97     11.36     6     47.29     34.96     11.36     7     47.28     34.95     11.36     8     47.27     34.95     11.36     9     47.27     34.95     11.35    10     24.37     12.07     10.38    11     24.25     12.01     10.32    12     24.24     12.01     10.37    13     24.37     12.01     10.33    14     24.28     12.03     10.34    15     24.29     12.04     10.35    16     24.32     12.05     10.35    17     24.28     12.03     10.34    18     24.37     12.07     10.38    19     24.32     12.05     10.41
 1459051671.09     0     47.19     34.86     11.40     1     47.19     34.87     11.40     2     47.20     34.87     11.40     3     47.20     34.87     11.40     4     47.19     34.87     11.40     5     46.97     34.70     11.34     6     46.97     34.70     11.34     7     46.98     34.71     11.35     8     46.99     34.72     11.35     9     46.99     34.72     11.35    10     24.34     12.10     10.54    11     24.47     12.17     10.60    12     24.48     12.17     10.55    13     24.35     12.16     10.60    14     24.46     12.16     10.59    15     24.47     12.10     10.54    16     24.33     12.15     10.59    17     24.44     12.15     10.59    18     24.34     12.10     10.54    19     24.47     12.17     10.55
 1459051671.29     0     47.14     34.81     11.31     1     47.12     34.79     11.31     2     47.12     34.79     11.31     3     47.12     34.79     11.31     4     47.12     34.79     11.31     5     47.12     34.79     11.31     6     47.12     34.79     11.31     7     47.12     34.79     11.31     8     47.11     34.78     11.30     9     47.11     34.78     11.30    10     24.54     12.24     10.59    11     24.43     12.19     10.55    12     24.42     12.24     10.59    13     24.54     12.19     10.55    14     24.43     12.19     10.55    15     24.53     12.24     10.59    16     24.52     12.18     10.54    17     24.43     12.19     10.60    18     24.55     12.25     10.60    19     24.42     12.25     10.59
