         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1459050668.19     0     47.83     35.47     11.26     1     47.85     35.48     11.26     2     47.88     35.50     11.27     3     47.89     35.52     11.27     4     47.91     35.53     11.28     5     47.93     35.54     11.28     6     47.82     35.49     11.24     7     47.84     35.50     11.24     8     47.87     35.52     11.25     9     47.88     35.54     11.25    10     23.71     11.47     10.63    11     23.71     11.47     10.63    12     23.71     11.48     10.63    13     23.72     11.48     10.63    14     23.72     11.54     10.63    15     23.84     11.54     10.68    16     23.84     11.54     10.68    17     23.84     11.54     10.69    18     23.84     11.54     10.69    19     23.84     11.54     10.69
 1459050668.39     0     54.37     42.08     11.32     1     54.35     42.07     11.32     2     54.35     42.07     11.32     3     54.35     42.06     11.32     4     54.34     42.05     11.32     5     54.33     42.05     11.32     6     54.33     42.05     11.31     7     54.32     42.04     11.31     8     54.31     42.03     11.31     9     54.31     42.03     11.31    10     24.21     11.93     10.46    11     24.18     11.92     10.50    12     24.27     11.96     10.49    13     24.25     11.95     10.48    14     24.30     11.92     10.50    15     24.16     11.90     10.44    16     24.13     11.89     10.43    17     24.22     11.94     10.47    18     24.18     11.92     10.45    19     24.14     11.90     10.48
 1459050668.60     0     47.06     34.77     11.27     1     47.05     34.76     11.27     2     47.05     34.76     11.27     3     47.05     34.76     11.27     4     47.05     34.76     11.27     5     47.05     34.76     11.27     6     47.05     34.76     11.27     7     47.05     34.76     11.27     8     47.05     34.93     11.27     9     47.28     34.93     11.33    10     24.20     11.94     10.62    11     24.20     12.00     10.62    12     24.22     11.95     10.62    13     24.22     11.95     10.63    14     24.15     11.92     10.60    15     24.18     11.93     10.61    16     24.18     11.93     10.66    17     24.20     11.94     10.62    18     24.23     11.95     10.63    19     24.26     11.97     10.59
 1459050668.80     0     46.95     34.67     11.32     1     46.97     34.67     11.32     2     46.97     34.67     11.32     3     46.97     34.68     11.32     4     46.97     34.68     11.32     5     46.98     34.68     11.32     6     46.98     34.68     11.32     7     46.98     34.68     11.32     8     46.99     34.51     11.32     9     46.76     34.52     11.27    10     24.14     11.87     10.63    11     24.17     11.83     10.59    12     24.06     11.83     10.59    13     24.06     11.89     10.65    14     24.20     11.90     10.65    15     24.20     11.90     10.65    16     24.20     11.90     10.60    17     24.09     11.85     10.60    18     24.09     11.85     10.61    19     24.09     11.85     10.61
 1459050669.00     0     47.30     34.96     11.26     1     47.29     34.95     11.25     2     47.29     34.95     11.25     3     47.29     34.95     11.25     4     47.28     34.95     11.25     5     47.29     34.95     11.25     6     47.29     34.95     11.25     7     47.29     34.95     11.25     8     47.29     34.95     11.25     9     47.28     34.95     11.25    10     24.00     11.82     10.63    11     24.12     11.82     10.62    12     24.12     11.82     10.62    13     24.12     11.76     10.57    14     24.00     11.76     10.57    15     23.98     11.75     10.56    16     24.10     11.81     10.62    17     24.11     11.81     10.62    18     24.11     11.82     10.62    19     24.11     11.81     10.62
 1459050669.21     0     46.96     34.65     11.19     1     46.96     34.65     11.19     2     46.96     34.65     11.19     3     46.96     34.65     11.19     4     46.96     34.65     11.19     5     46.95     34.64     11.18     6     46.94     34.64     11.18     7     46.95     34.64     11.18     8     46.95     34.64     11.18     9     46.94     34.64     11.18    10     24.03     11.76     10.66    11     24.00     11.75     10.65    12     23.97     11.73     10.69    13     24.02     11.76     10.66    14     24.00     11.75     10.65    15     24.12     11.81     10.70    16     23.99     11.74     10.64    17     23.96     11.73     10.68    18     24.05     11.77     10.67    19     24.03     11.76     10.66
 1459050669.41     0     46.90     34.60     11.23     1     46.90     34.60     11.23     2     46.90     34.60     11.23     3     46.90     34.60     11.23     4     46.90     34.60     11.23     5     46.90     34.60     11.23     6     46.90     34.60     11.23     7     46.89     34.59     11.23     8     46.89     34.59     11.23     9     46.89     34.59     11.23    10     24.17     11.81     10.47    11     24.06     11.81     10.47    12     24.16     11.86     10.46    13     24.06     11.81     10.47    14     24.17     11.86     10.51    15     24.00     11.78     10.44    16     24.12     11.84     10.49    17     24.10     11.89     10.48    18     24.05     11.80     10.51    19     24.11     11.84     10.49
 1459050669.62     0     47.02     34.74     11.22     1     47.01     34.73     11.22     2     47.01     34.73     11.22     3     47.01     34.73     11.22     4     47.01     34.73     11.22     5     47.01     34.73     11.22     6     47.00     34.72     11.21     7     47.01     34.73     11.22     8     47.01     34.73     11.22     9     47.00     34.72     11.21    10     24.25     12.02     10.39    11     24.34     12.06     10.38    12     24.24     12.07     10.38    13     24.33     12.05     10.37    14     24.21     12.06     10.37    15     24.33     12.06     10.37    16     24.27     12.03     10.34    17     24.28     11.97     10.30    18     24.34     12.06     10.32    19     24.26     12.02     10.34
 1459050669.82     0     47.28     34.98     11.33     1     47.27     34.98     11.32     2     47.27     34.98     11.32     3     47.27     34.98     11.32     4     47.27     34.98     11.32     5     47.28     34.98     11.33     6     47.29     34.99     11.33     7     47.29     34.99     11.33     8     47.28     34.99     11.33     9     47.51     35.15     11.38    10     24.23     11.98     10.44    11     24.26     11.99     10.46    12     24.26     11.94     10.41    13     24.30     12.01     10.48    14     24.30     11.95     10.42    15     24.22     12.03     10.49    16     24.24     11.98     10.45    17     24.25     11.98     10.50    18     24.25     11.98     10.45    19     24.26     11.99     10.46
 1459050670.03     0     47.34     35.03     11.35     1     47.35     35.03     11.35     2     47.35     35.03     11.35     3     47.34     35.03     11.35     4     47.34     35.03     11.34     5     47.34     35.03     11.34     6     47.32     35.01     11.34     7     47.32     35.01     11.34     8     47.31     35.01     11.34     9     47.08     35.01     11.28    10     24.26     12.00     10.27    11     24.28     12.00     10.33    12     24.26     12.00     10.32    13     24.16     11.95     10.28    14     24.30     12.01     10.33    15     24.30     11.96     10.28    16     24.20     11.96     10.34    17     24.31     12.02     10.29    18     24.20     11.96     10.29    19     24.31     12.02     10.34
 1459050670.23     0     47.30     34.98     11.26     1     47.31     34.98     11.27     2     47.31     34.98     11.27     3     47.31     34.98     11.27     4     47.32     34.99     11.27     5     47.32     34.99     11.27     6     47.34     35.00     11.27     7     47.34     35.00     11.27     8     47.34     35.00     11.27     9     47.35     34.84     11.28    10     24.33     12.03     10.52    11     24.19     11.96     10.46    12     24.31     12.02     10.51    13     24.30     12.02     10.51    14     24.27     12.00     10.49    15     24.28     12.01     10.50    16     24.28     12.01     10.45    17     24.19     12.02     10.51    18     24.30     12.02     10.51    19     24.19     11.96     10.46
 1459050670.44     0     46.83     34.57     11.23     1     47.06     34.74     11.29     2     47.01     34.71     11.28     3     47.00     34.70     11.28     4     47.00     34.70     11.28     5     47.00     34.70     11.28     6     47.00     34.70     11.28     7     47.00     34.70     11.28     8     47.00     34.70     11.28     9     47.00     34.70     11.28    10     24.25     11.99     10.31    11     24.28     12.01     10.32    12     24.17     11.95     10.28    13     24.30     12.02     10.33    14     24.19     11.96     10.29    15     24.20     11.97     10.29    16     24.34     12.03     10.35    17     24.31     11.96     10.28    18     24.21     11.97     10.29    19     24.33     12.03     10.35
