         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1459051728.70     0     54.10     41.75     11.34     1     54.10     41.75     11.35     2     54.11     41.76     11.35     3     54.11     41.76     11.35     4     54.12     41.76     11.35     5     54.12     41.77     11.35     6     54.12     41.77     11.35     7     54.12     41.77     11.35     8     54.12     41.77     11.35     9     54.12     41.77     11.35    10     24.03     11.74     10.65    11     24.02     11.74     10.65    12     24.02     11.74     10.65    13     24.01     11.73     10.64    14     24.01     11.73     10.64    15     24.00     11.73     10.64    16     23.99     11.78     10.69    17     24.10     11.78     10.68    18     24.09     11.77     10.68    19     24.09     11.77     10.68
 1459051728.90     0     52.40     40.03     11.35     1     52.39     40.03     11.35     2     52.39     40.03     11.35     3     52.38     40.02     11.35     4     52.38     40.02     11.35     5     52.38     40.02     11.35     6     52.38     40.02     11.35     7     52.37     40.01     11.35     8     52.37     40.01     11.35     9     52.37     40.01     11.35    10     24.29     11.99     10.60    11     24.28     11.99     10.60    12     24.26     11.98     10.59    13     24.25     11.97     10.58    14     24.25     11.97     10.58    15     24.23     12.02     10.63    16     24.35     11.96     10.57    17     24.21     11.95     10.57    18     24.21     11.95     10.56    19     24.20     11.95     10.56
 1459051729.10     0     46.89     34.62     11.29     1     46.88     34.61     11.29     2     46.88     34.61     11.29     3     46.87     34.61     11.29     4     46.87     34.61     11.29     5     46.87     34.61     11.29     6     46.86     34.60     11.28     7     46.87     34.60     11.28     8     46.87     34.60     11.28     9     46.86     34.60     11.28    10     24.16     11.99     10.63    11     24.28     11.99     10.63    12     24.29     11.99     10.63    13     24.27     11.98     10.62    14     24.27     11.98     10.62    15     24.27     11.93     10.57    16     24.16     11.93     10.57    17     24.28     11.99     10.63    18     24.25     11.97     10.61    19     24.23     11.96     10.61
 1459051729.30     0     46.93     34.63     11.17     1     46.91     34.62     11.17     2     46.91     34.62     11.17     3     47.15     34.79     11.17     4     47.15     34.79     11.22     5     47.15     34.79     11.22     6     47.15     34.79     11.22     7     47.15     34.79     11.22     8     47.15     34.79     11.22     9     47.15     34.79     11.22    10     24.33     11.95     10.61    11     24.21     11.95     10.61    12     24.19     11.94     10.60    13     24.22     11.95     10.61    14     24.21     12.01     10.66    15     24.30     11.99     10.65    16     24.29     11.99     10.64    17     24.16     11.93     10.59    18     24.19     12.00     10.65    19     24.32     12.00     10.66
 1459051729.50     0     47.21     34.86     11.36     1     47.24     34.88     11.37     2     47.24     34.88     11.37     3     47.01     34.71     11.37     4     47.01     34.71     11.31     5     47.01     34.71     11.32     6     47.01     34.71     11.31     7     47.01     34.71     11.31     8     47.01     34.71     11.31     9     47.01     34.71     11.31    10     24.11     11.84     10.53    11     24.10     11.84     10.52    12     24.12     11.84     10.53    13     24.21     11.89     10.57    14     24.21     11.83     10.52    15     24.09     11.83     10.52    16     24.07     11.88     10.57    17     24.18     11.87     10.56    18     24.17     11.81     10.50    19     24.03     11.80     10.50
 1459051729.71     0     46.91     34.61     11.22     1     46.91     34.61     11.22     2     46.91     34.61     11.22     3     46.91     34.61     11.22     4     46.91     34.61     11.22     5     46.91     34.61     11.22     6     46.91     34.61     11.22     7     46.90     34.61     11.22     8     46.90     34.61     11.22     9     46.90     34.61     11.22    10     24.06     11.79     10.70    11     24.04     11.78     10.69    12     24.15     11.84     10.74    13     24.02     11.77     10.68    14     24.02     11.77     10.68    15     24.15     11.83     10.74    16     24.15     11.77     10.68    17     24.04     11.78     10.69    18     24.15     11.84     10.74    19     24.15     11.83     10.73
 1459051729.91     0     46.87     34.59     11.25     1     46.84     34.57     11.25     2     46.83     34.57     11.24     3     46.82     34.56     11.24     4     46.81     34.56     11.30     5     47.04     34.72     11.29     6     47.04     34.72     11.29     7     47.04     34.72     11.29     8     47.03     34.72     11.29     9     47.03     34.71     11.29    10     24.13     11.85     10.48    11     24.12     11.91     10.52    12     24.06     11.82     10.50    13     24.13     11.85     10.47    14     24.11     11.91     10.52    15     24.05     11.82     10.44    16     24.16     11.87     10.48    17     24.12     11.85     10.47    18     24.12     11.85     10.46    19     24.11     11.85     10.46
 1459051730.12     0     47.13     34.84     11.27     1     47.38     35.02     11.28     2     47.38     35.03     11.33     3     47.38     35.03     11.33     4     47.38     35.02     11.27     5     47.15     34.85     11.28     6     47.15     34.85     11.28     7     47.15     34.85     11.27     8     47.15     34.85     11.28     9     47.15     34.86     11.28    10     24.30     12.04     10.39    11     24.31     11.99     10.34    12     24.36     12.07     10.37    13     24.29     12.03     10.39    14     24.30     12.04     10.39    15     24.33     12.05     10.41    16     24.21     12.05     10.41    17     24.34     12.05     10.41    18     24.22     12.05     10.41    19     24.32     12.05     10.41
 1459051730.32     0     47.50     35.19     11.34     1     47.49     35.18     11.39     2     47.49     35.18     11.34     3     47.49     35.19     11.34     4     47.49     35.19     11.34     5     47.50     35.19     11.34     6     47.49     35.19     11.34     7     47.50     35.19     11.34     8     47.50     35.19     11.34     9     47.49     35.19     11.34    10     24.26     11.98     10.42    11     24.25     11.97     10.47    12     24.23     11.97     10.42    13     24.22     11.96     10.46    14     24.34     11.96     10.41    15     24.25     11.98     10.42    16     24.27     11.93     10.43    17     24.28     11.99     10.44    18     24.27     11.93     10.38    19     24.18     12.00     10.44
 1459051730.53     0     47.37     35.05     11.31     1     47.14     34.88     11.26     2     47.13     34.87     11.26     3     47.14     34.88     11.26     4     47.13     34.87     11.26     5     47.14     34.88     11.26     6     47.13     34.87     11.26     7     47.13     34.87     11.26     8     47.13     34.87     11.25     9     47.13     34.87     11.25    10     24.20     12.03     10.24    11     24.32     12.03     10.19    12     24.31     12.02     10.23    13     24.33     12.03     10.19    14     24.20     11.97     10.19    15     24.30     12.02     10.23    16     24.27     12.00     10.17    17     24.27     12.00     10.22    18     24.22     12.04     10.25    19     24.31     11.97     10.19
