         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1459049688.21     0     57.35     45.02     11.28     1     57.35     45.02     11.28     2     57.35     45.02     11.28     3     57.35     45.02     11.28     4     57.35     45.02     11.28     5     57.35     45.02     11.28     6     57.35     45.02     11.28     7     57.35     45.02     11.28     8     57.35     45.02     11.28     9     57.35     45.03     11.28    10     23.96     11.71     10.50    11     23.96     11.71     10.49    12     23.96     11.71     10.49    13     23.96     11.71     10.49    14     23.96     11.71     10.49    15     24.08     11.77     10.55    16     24.07     11.77     10.54    17     24.07     11.77     10.54    18     24.08     11.77     10.55    19     24.07     11.71     10.55
 1459049688.41     0     50.35     38.01     11.31     1     50.34     38.00     11.31     2     50.34     38.00     11.31     3     50.34     38.00     11.31     4     50.33     37.99     11.31     5     50.33     37.99     11.31     6     50.32     37.99     11.31     7     50.32     37.98     11.31     8     50.31     37.97     11.30     9     50.30     37.97     11.30    10     24.13     11.84     10.60    11     24.09     11.82     10.59    12     24.09     11.82     10.64    13     24.19     11.87     10.63    14     24.17     11.86     10.62    15     24.00     11.83     10.60    16     24.10     11.83     10.59    17     24.09     11.82     10.59    18     24.05     11.80     10.57    19     24.16     11.85     10.62
 1459049688.62     0     46.89     34.63     11.24     1     47.12     34.80     11.30     2     47.12     34.79     11.30     3     47.11     34.79     11.29     4     47.11     34.79     11.29     5     47.11     34.78     11.29     6     47.11     34.79     11.29     7     47.09     34.77     11.29     8     47.10     34.78     11.29     9     47.09     34.77     11.29    10     24.10     11.81     10.58    11     24.10     11.81     10.58    12     24.18     11.85     10.57    13     24.06     11.79     10.57    14     24.05     11.78     10.56    15     24.09     11.74     10.53    16     24.10     11.81     10.58    17     24.06     11.79     10.57    18     24.06     11.79     10.57    19     24.06     11.79     10.57
 1459049688.82     0     47.44     35.09     11.28     1     47.22     34.93     11.22     2     47.22     34.93     11.22     3     47.23     34.93     11.22     4     47.23     34.94     11.22     5     47.23     34.94     11.22     6     47.23     34.94     11.22     7     47.25     34.95     11.23     8     47.26     34.96     11.23     9     47.27     34.96     11.23    10     22.10      9.82     10.61    11     22.13      9.83     10.63    12     22.06      9.79     10.60    13     22.07      9.80     10.60    14     22.11      9.82     10.62    15     22.12      9.82     10.62    16     22.01      9.77     10.58    17     22.07      9.79     10.60    18     22.10      9.81     10.62    19     22.00      9.76     10.58
 1459049689.02     0     47.02     34.75     11.29     1     47.01     34.75     11.29     2     47.00     34.74     11.29     3     47.00     34.74     11.29     4     47.00     34.74     11.29     5     47.00     34.74     11.29     6     47.00     34.74     11.29     7     47.00     34.74     11.28     8     46.99     34.74     11.28     9     46.99     34.74     11.28    10     21.76      9.53     10.49    11     21.76      9.53     10.49    12     21.76      9.53     10.49    13     21.76      9.59     10.55    14     21.87      9.59     10.54    15     21.86      9.58     10.53    16     21.86      9.58     10.53    17     21.85      9.58     10.53    18     21.85      9.58     10.53    19     21.84      9.57     10.52
 1459049689.22     0     46.83     34.55     11.16     1     46.83     34.55     11.16     2     46.84     34.56     11.16     3     46.84     34.56     11.16     4     46.85     34.56     11.16     5     46.85     34.56     11.16     6     46.85     34.73     11.17     7     47.08     34.73     11.22     8     47.08     34.73     11.22     9     47.08     34.73     11.22    10     21.97      9.66     10.40    11     21.93      9.64     10.38    12     21.91      9.63     10.37    13     21.96      9.59     10.35    14     21.79      9.57     10.33    15     21.87      9.60     10.36    16     21.85      9.59     10.35    17     21.82      9.61     10.39    18     21.88      9.59     10.37    19     21.86      9.58     10.36
 1459049689.43     0     47.21     34.85     11.32     1     47.20     34.85     11.37     2     47.19     34.84     11.37     3     47.18     34.83     11.37     4     47.18     34.83     11.37     5     47.18     34.83     11.37     6     47.18     34.66     11.37     7     46.92     34.64     11.30     8     46.92     34.64     11.30     9     46.92     34.64     11.30    10     22.37     10.13     10.44    11     22.36     10.18     10.49    12     22.47     10.17     10.48    13     22.39     10.15     10.44    14     22.43     10.21     10.51    15     22.45     10.18     10.46    16     22.43     10.17     10.46    17     22.43     10.20     10.45    18     22.48     10.20     10.46    19     22.49     10.21     10.47
 1459049689.63     0     46.91     34.66     11.24     1     46.92     34.67     11.19     2     46.93     34.67     11.19     3     46.92     34.67     11.19     4     47.15     34.84     11.19     5     47.15     34.84     11.24     6     47.15     34.84     11.24     7     47.17     34.85     11.25     8     47.17     34.85     11.25     9     47.17     34.85     11.25    10     22.91     10.62     10.41    11     22.92     10.57     10.37    12     22.81     10.57     10.42    13     22.91     10.62     10.41    14     22.92     10.57     10.36    15     22.82     10.57     10.37    16     22.84     10.58     10.43    17     22.98     10.59     10.39    18     22.82     10.57     10.38    19     22.82     10.63     10.42
 1459049689.84     0     47.36     35.03     11.31     1     47.36     35.03     11.31     2     47.36     35.03     11.31     3     47.36     35.03     11.31     4     47.14     34.86     11.31     5     47.14     34.86     11.26     6     47.14     34.87     11.26     7     47.15     34.87     11.26     8     47.14     34.87     11.26     9     47.14     34.86     11.26    10     22.41     10.17     10.32    11     22.52     10.22     10.37    12     22.51     10.22     10.32    13     22.43     10.18     10.33    14     22.52     10.23     10.37    15     22.52     10.22     10.37    16     22.53     10.23     10.33    17     22.43     10.18     10.33    18     22.46     10.19     10.34    19     22.57     10.19     10.34
 1459049690.04     0     47.24     34.95     11.28     1     47.23     34.94     11.28     2     47.23     34.94     11.28     3     47.23     34.94     11.28     4     47.23     34.94     11.28     5     47.23     34.94     11.28     6     47.23     34.94     11.28     7     47.23     34.94     11.28     8     47.23     34.94     11.28     9     47.23     34.94     11.28    10     22.29     10.04     10.37    11     22.33     10.06     10.38    12     22.35     10.06     10.39    13     22.34     10.06     10.39    14     22.26     10.02     10.35    15     22.26     10.02     10.40    16     22.34     10.06     10.39    17     22.34     10.06     10.39    18     22.36     10.07     10.39    19     22.22     10.29     10.64
