         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1459050908.67     0     21.54      9.30     10.64     1     21.54      9.30     10.64     2     21.54      9.30     10.64     3     21.53      9.30     10.64     4     21.53      9.30     10.64     5     21.53      9.29     10.64     6     21.53      9.29     10.64     7     21.53      9.29     10.64     8     21.53      9.29     10.63     9     21.53      9.29     10.63    10     23.40     11.12     10.66    11     23.41     11.12     10.66    12     23.41     11.12     10.66    13     23.41     11.12     10.66    14     23.40     11.12     10.66    15     23.51     11.17     10.71    16     23.37     11.11     10.64    17     23.36     11.10     10.64    18     23.34     11.09     10.63    19     23.34     11.09     10.63
 1459050908.87     0     35.58     23.31     10.97     1     35.58     23.32     10.97     2     35.58     23.32     10.97     3     35.58     23.32     10.97     4     35.58     23.32     10.97     5     35.58     23.32     10.97     6     35.59     23.32     10.97     7     35.59     23.32     10.97     8     35.59     23.32     10.97     9     35.59     23.32     10.97    10     23.75     11.47     10.82    11     23.75     11.47     10.82    12     23.75     11.47     10.82    13     23.75     11.47     10.82    14     23.87     11.52     10.87    15     23.75     11.47     10.82    16     23.77     11.48     10.83    17     23.77     11.48     10.83    18     23.79     11.49     10.84    19     23.79     11.49     10.84
 1459050909.07     0     57.36     45.04     11.26     1     57.36     45.04     11.26     2     57.37     45.05     11.27     3     57.37     45.05     11.27     4     57.38     45.05     11.27     5     57.38     45.05     11.27     6     57.38     45.05     11.27     7     57.38     45.05     11.27     8     57.38     45.06     11.27     9     57.38     45.06     11.27    10     23.96     11.67     10.58    11     23.97     11.67     10.58    12     23.97     11.67     10.58    13     23.97     11.73     10.64    14     23.98     11.68     10.59    15     23.99     11.68     10.59    16     23.99     11.68     10.59    17     24.00     11.68     10.59    18     24.00     11.68     10.59    19     24.00     11.69     10.60
 1459050909.27     0     48.25     35.93     11.34     1     48.23     35.91     11.33     2     48.22     35.91     11.33     3     48.22     35.90     11.33     4     48.21     35.90     11.33     5     48.20     35.89     11.32     6     48.20     35.89     11.32     7     48.18     35.88     11.32     8     48.18     35.87     11.32     9     48.17     35.87     11.32    10     24.04     11.75     10.75    11     24.13     11.80     10.79    12     24.10     11.78     10.77    13     24.05     11.70     10.70    14     24.05     11.76     10.70    15     24.05     11.76     10.69    16     24.04     11.76     10.69    17     24.04     11.76     10.69    18     24.04     11.76     10.69    19     24.03     11.75     10.69
 1459050909.47     0     47.50     35.17     11.16     1     47.50     35.17     11.16     2     47.50     35.17     11.16     3     47.50     35.17     11.16     4     47.49     35.17     11.16     5     47.50     35.17     11.16     6     47.50     35.17     11.16     7     47.50     35.18     11.16     8     47.50     35.17     11.16     9     47.50     35.17     11.16    10     24.18     11.87     10.72    11     24.16     11.86     10.71    12     24.18     11.87     10.72    13     24.20     11.88     10.73    14     24.07     11.81     10.73    15     24.08     11.82     10.73    16     24.19     11.87     10.78    17     24.19     11.87     10.78    18     24.18     11.87     10.78    19     24.18     11.87     10.78
 1459050909.68     0     47.53     35.21     11.38     1     47.54     35.21     11.38     2     47.54     35.21     11.38     3     47.54     35.21     11.38     4     47.54     35.22     11.38     5     47.55     35.22     11.38     6     47.55     35.22     11.38     7     47.55     35.22     11.38     8     47.56     35.22     11.38     9     47.55     35.22     11.38    10     24.22     11.90     10.77    11     24.12     11.86     10.72    12     24.12     11.91     10.78    13     24.24     11.91     10.78    14     24.24     11.91     10.78    15     24.24     11.91     10.78    16     24.11     11.85     10.72    17     24.11     11.85     10.72    18     24.22     11.90     10.77    19     24.21     11.90     10.77
 1459050909.88     0     47.26     34.99     11.28     1     47.25     34.98     11.28     2     47.25     34.98     11.28     3     47.48     35.15     11.34     4     47.47     35.14     11.33     5     47.46     35.14     11.33     6     47.46     35.13     11.33     7     47.45     35.13     11.33     8     47.45     35.13     11.33     9     47.45     35.13     11.33    10     24.18     11.88     10.75    11     24.17     11.88     10.74    12     24.27     11.88     10.73    13     24.14     11.87     10.73    14     24.13     11.86     10.77    15     24.22     11.90     10.76    16     24.23     11.91     10.76    17     24.21     11.90     10.76    18     24.11     11.85     10.71    19     24.20     11.90     10.75
 1459050910.09     0     47.50     35.14     11.37     1     47.50     35.14     11.37     2     47.50     35.14     11.37     3     47.26     34.96     11.31     4     47.27     34.97     11.31     5     47.28     34.97     11.32     6     47.27     34.97     11.31     7     47.27     34.97     11.32     8     47.28     34.97     11.32     9     47.28     34.97     11.32    10     24.32     12.03     10.80    11     24.32     12.09     10.85    12     24.32     12.03     10.80    13     24.31     12.03     10.80    14     24.33     12.03     10.80    15     24.33     12.04     10.81    16     24.30     12.02     10.79    17     24.39     12.07     10.83    18     24.36     12.05     10.82    19     24.34     12.04     10.81
 1459050910.29     0     47.11     34.84     11.28     1     47.34     35.02     11.33     2     47.35     35.02     11.34     3     47.35     35.02     11.34     4     47.34     35.02     11.33     5     47.34     35.02     11.33     6     47.35     35.02     11.34     7     47.34     35.02     11.33     8     47.34     35.02     11.33     9     47.34     35.02     11.33    10     24.40     12.10     10.66    11     24.38     12.03     10.59    12     24.38     12.09     10.65    13     24.37     12.09     10.70    14     24.47     12.13     10.64    15     24.34     12.07     10.68    16     24.44     12.12     10.68    17     24.31     12.11     10.67    18     24.40     12.10     10.66    19     24.29     12.05     10.61
 1459050910.50     0     47.49     35.15     11.20     1     47.45     35.12     11.19     2     47.44     35.12     11.19     3     47.44     35.12     11.19     4     47.44     35.12     11.19     5     47.43     35.11     11.19     6     47.43     35.11     11.19     7     47.43     35.11     11.19     8     47.41     35.09     11.18     9     47.40     35.09     11.18    10     24.37     12.09     10.66    11     24.49     12.15     10.67    12     24.34     12.08     10.65    13     24.39     12.16     10.62    14     24.39     12.10     10.62    15     24.39     12.10     10.57    16     24.41     12.12     10.63    17     24.45     12.07     10.59    18     24.35     12.08     10.66    19     24.47     12.14     10.66
