         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1459054351.38     0     30.07     17.82     10.63     1     30.07     17.82     10.62     2     30.08     17.82     10.63     3     30.08     17.82     10.63     4     30.07     17.82     10.62     5     30.07     17.82     10.62     6     30.08     17.82     10.63     7     30.07     17.82     10.62     8     30.07     17.82     10.62     9     30.07     17.81     10.62    10     22.97     10.66     10.66    11     22.96     10.66     10.66    12     22.95     10.66     10.65    13     22.92     10.64     10.64    14     23.02     10.69     10.68    15     23.01     10.68     10.62    16     23.01     10.68     10.62    17     23.01     10.68     10.62    18     22.90     10.63     10.62    19     22.88     10.62     10.62
 1459054351.58     0     37.58     25.26     10.83     1     37.58     25.27     10.83     2     37.58     25.27     10.83     3     37.59     25.27     10.89     4     37.59     25.27     10.89     5     37.60     25.27     10.89     6     37.60     25.27     10.89     7     37.60     25.28     10.89     8     37.60     25.28     10.89     9     37.61     25.28     10.89    10     23.54     11.27     10.77    11     23.55     11.28     10.77    12     23.57     11.29     10.78    13     23.59     11.30     10.79    14     23.50     11.26     10.75    15     23.51     11.32     10.80    16     23.63     11.32     10.80    17     23.63     11.32     10.80    18     23.63     11.32     10.81    19     23.65     11.33     10.81
 1459054351.78     0     57.69     45.34     11.45     1     57.59     45.27     11.43     2     57.57     45.25     11.43     3     57.53     45.22     11.37     4     57.52     45.21     11.36     5     57.50     45.20     11.36     6     57.48     45.18     11.36     7     57.45     45.16     11.35     8     57.43     45.14     11.34     9     57.40     45.12     11.34    10     23.94     11.64     10.81    11     23.92     11.63     10.80    12     24.00     11.67     10.83    13     23.96     11.65     10.82    14     23.94     11.64     10.80    15     23.92     11.63     10.80    16     23.90     11.62     10.79    17     23.89     11.61     10.78    18     23.84     11.65     10.81    19     23.93     11.63     10.80
 1459054351.98     0     47.33     35.04     11.30     1     47.37     35.07     11.31     2     47.39     35.08     11.31     3     47.41     35.09     11.32     4     47.42     35.10     11.32     5     47.43     35.11     11.32     6     47.44     35.12     11.33     7     47.45     35.13     11.33     8     47.46     35.14     11.33     9     47.48     35.15     11.34    10     23.78     11.57     10.86    11     23.90     11.57     10.86    12     23.81     11.53     10.82    13     23.84     11.54     10.83    14     23.83     11.54     10.88    15     23.95     11.54     10.83    16     23.85     11.55     10.84    17     23.85     11.55     10.84    18     23.88     11.50     10.80    19     23.78     11.51     10.81
 1459054352.19     0     47.15     34.89     11.24     1     47.15     34.89     11.24     2     47.15     34.89     11.23     3     47.15     34.89     11.23     4     47.15     34.89     11.23     5     47.15     34.89     11.23     6     47.38     35.06     11.29     7     47.38     35.06     11.29     8     47.38     35.06     11.29     9     47.38     35.06     11.29    10     24.15     11.77     10.65    11     24.03     11.77     10.70    12     24.12     11.82     10.69    13     24.12     11.81     10.69    14     24.11     11.81     10.69    15     24.11     11.81     10.69    16     24.09     11.80     10.68    17     24.09     11.80     10.68    18     24.09     11.80     10.73    19     24.20     11.85     10.73
 1459054352.39     0     47.46     35.12     11.31     1     47.47     35.12     11.32     2     47.47     35.13     11.32     3     47.47     35.13     11.32     4     47.47     35.13     11.32     5     47.47     35.13     11.32     6     47.24     34.96     11.26     7     47.23     34.95     11.26     8     47.23     34.95     11.26     9     47.23     34.95     11.26    10     23.92     11.58     10.80    11     23.92     11.58     10.75    12     23.83     11.54     10.76    13     23.84     11.54     10.77    14     23.86     11.55     10.72    15     23.75     11.50     10.73    16     23.77     11.57     10.79    17     23.90     11.57     10.79    18     23.91     11.58     10.74    19     23.80     11.52     10.75
 1459054352.59     0     47.25     34.95     11.31     1     47.26     34.96     11.32     2     47.25     34.95     11.31     3     47.25     34.95     11.31     4     47.25     34.95     11.31     5     47.24     34.95     11.31     6     47.24     34.94     11.31     7     47.25     34.95     11.31     8     47.24     34.95     11.31     9     47.24     34.95     11.31    10     24.07     11.78     10.84    11     24.06     11.78     10.83    12     24.06     11.78     10.83    13     24.15     11.82     10.88    14     24.14     11.82     10.87    15     24.14     11.82     10.87    16     24.14     11.76     10.82    17     24.02     11.76     10.81    18     24.12     11.81     10.86    19     24.12     11.81     10.86
 1459054352.80     0     47.40     35.00     12.09     1     47.39     34.99     12.09     2     47.39     35.00     12.09     3     47.39     35.00     12.09     4     47.39     35.00     12.09     5     47.39     34.99     12.09     6     47.39     34.99     12.09     7     47.39     35.00     12.09     8     47.39     35.00     12.09     9     47.39     34.99     12.09    10     24.11     11.81     10.77    11     24.12     11.82     10.78    12     24.10     11.81     10.77    13     24.01     11.76     10.78    14     24.13     11.82     10.78    15     24.11     11.81     10.77    16     24.10     11.86     10.82    17     24.19     11.85     10.81    18     24.06     11.79     10.75    19     24.05     11.84     10.80
 1459054353.00     0     47.63     35.30     11.32     1     47.63     35.30     11.32     2     47.62     35.30     11.32     3     47.62     35.29     11.32     4     47.61     35.29     11.32     5     47.62     35.29     11.32     6     47.62     35.29     11.32     7     47.61     35.29     11.32     8     47.60     35.28     11.32     9     47.60     35.28     11.32    10     24.23     11.92     10.88    11     24.21     11.91     10.87    12     24.31     11.96     10.92    13     24.31     11.96     10.87    14     24.21     11.90     10.87    15     24.20     11.90     10.87    16     24.21     11.91     10.87    17     24.21     11.91     10.87    18     24.21     11.90     10.87    19     24.32     11.90     10.87
 1459054353.21     0     47.39     35.11     11.17     1     47.37     35.26     11.22     2     47.55     35.23     11.21     3     47.55     35.23     11.21     4     47.55     35.23     11.21     5     47.55     35.23     11.21     6     47.55     35.23     11.21     7     47.56     35.23     11.21     8     47.56     35.24     11.21     9     47.56     35.24     11.21    10     24.18     11.91     10.84    11     24.29     11.97     10.89    12     24.22     11.94     10.80    13     24.29     11.97     10.83    14     24.24     11.95     10.81    15     24.34     11.99     10.86    16     24.31     11.92     10.79    17     24.19     11.98     10.84    18     24.30     11.97     10.83    19     24.16     11.97     10.83
