         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1459052889.83     0     31.53     19.27     10.66     1     31.53     19.27     10.66     2     31.53     19.26     10.66     3     31.53     19.26     10.66     4     31.53     19.26     10.66     5     31.52     19.26     10.66     6     31.52     19.26     10.66     7     31.52     19.26     10.66     8     31.52     19.26     10.66     9     31.52     19.26     10.66    10     23.61     11.29     10.95    11     23.58     11.28     10.94    12     23.57     11.27     10.93    13     23.66     11.31     10.97    14     23.62     11.29     10.96    15     23.60     11.28     10.94    16     23.60     11.28     10.94    17     23.58     11.27     10.94    18     23.70     11.33     10.99    19     23.57     11.27     10.93
 1459052890.03     0     30.31     18.05     10.54     1     30.30     18.05     10.54     2     30.30     18.05     10.54     3     30.30     18.05     10.54     4     30.30     18.05     10.54     5     30.30     18.05     10.54     6     30.30     18.05     10.54     7     30.30     18.05     10.54     8     30.30     18.05     10.54     9     30.30     18.04     10.54    10     23.69     11.40     10.93    11     23.71     11.41     10.94    12     23.73     11.42     10.95    13     23.64     11.38     10.91    14     23.65     11.44     10.97    15     23.80     11.46     10.98    16     23.78     11.45     10.97    17     23.79     11.45     10.98    18     23.67     11.40     10.93    19     23.68     11.40     10.93
 1459052890.24     0     48.36     36.10     10.87     1     48.36     36.10     10.87     2     48.36     36.11     10.87     3     48.37     36.11     10.87     4     48.38     36.12     10.87     5     48.39     36.12     10.88     6     48.39     36.12     10.88     7     48.39     36.12     10.88     8     48.40     36.13     10.88     9     48.69     36.36     10.88    10     23.95     11.65     10.93    11     23.96     11.65     10.93    12     23.97     11.65     10.93    13     23.97     11.65     10.93    14     23.99     11.66     10.89    15     23.98     11.66     10.94    16     24.00     11.67     10.95    17     24.00     11.67     10.95    18     24.00     11.67     10.95    19     24.00     11.67     10.95
 1459052890.44     0     50.96     38.63     11.43     1     50.95     38.62     11.42     2     50.94     38.62     11.42     3     50.94     38.61     11.42     4     50.93     38.61     11.42     5     51.16     38.78     11.48     6     51.15     38.77     11.47     7     51.14     38.77     11.47     8     51.14     38.76     11.47     9     50.84     38.53     11.47    10     24.18     11.87     10.93    11     24.28     11.92     10.97    12     24.26     11.91     10.96    13     24.24     11.90     10.96    14     24.23     11.84     10.95    15     24.12     11.84     10.90    16     24.10     11.90     10.95    17     24.20     11.88     10.94    18     24.19     11.88     10.93    19     24.18     11.88     10.93
 1459052890.64     0     47.15     34.82     11.35     1     47.13     34.80     11.35     2     47.12     34.80     11.35     3     47.11     34.79     11.34     4     47.09     34.78     11.34     5     46.86     34.60     11.28     6     46.85     34.60     11.28     7     47.07     34.76     11.33     8     47.07     34.76     11.33     9     47.07     34.76     11.33    10     24.19     11.87     10.93    11     24.08     11.82     10.88    12     24.20     11.88     10.93    13     24.18     11.87     10.92    14     24.25     11.90     10.96    15     24.23     11.89     10.94    16     24.21     11.88     10.94    17     24.18     11.87     10.92    18     24.17     11.86     10.92    19     24.16     11.92     10.97
 1459052890.85     0     46.90     34.60     11.36     1     46.92     34.61     11.37     2     46.92     34.62     11.37     3     46.93     34.62     11.37     4     46.95     34.64     11.38     5     46.96     34.64     11.38     6     46.97     34.65     11.38     7     46.74     34.48     11.33     8     46.74     34.48     11.33     9     46.74     34.48     11.33    10     24.30     11.96     10.96    11     24.29     11.96     10.95    12     24.17     11.90     10.90    13     24.33     11.98     10.97    14     24.26     11.94     10.94    15     24.28     11.95     10.95    16     24.28     11.89     10.90    17     24.31     11.96     10.96    18     24.29     11.96     10.95    19     24.29     11.90     10.90
 1459052891.05     0     47.02     34.74     11.31     1     47.00     34.73     11.30     2     47.22     34.89     11.30     3     47.22     34.89     11.35     4     47.22     34.89     11.35     5     47.22     34.89     11.35     6     47.22     34.89     11.35     7     47.22     34.89     11.35     8     47.21     34.88     11.35     9     47.22     34.89     11.36    10     24.02     11.74     10.83    11     24.02     11.79     10.88    12     24.10     11.78     10.86    13     24.07     11.76     10.85    14     24.05     11.75     10.84    15     24.05     11.75     10.84    16     24.05     11.81     10.89    17     24.06     11.75     10.84    18     24.07     11.76     10.85    19     24.08     11.77     10.85
 1459052891.25     0     46.95     34.64     11.18     1     46.96     34.65     11.19     2     46.73     34.48     11.19     3     46.73     34.48     11.13     4     46.73     34.48     11.13     5     46.73     34.48     11.13     6     46.96     34.65     11.18     7     46.95     34.64     11.18     8     46.95     34.64     11.18     9     46.95     34.64     11.18    10     24.28     11.96     11.00    11     24.39     11.95     10.99    12     24.33     11.98     11.02    13     24.22     11.93     10.97    14     24.22     11.93     10.97    15     24.32     11.98     11.01    16     24.34     11.93     10.97    17     24.20     11.92     10.96    18     24.30     11.97     11.01    19     24.30     11.96     11.00
 1459052891.46     0     47.05     34.75     11.32     1     47.05     34.74     11.32     2     47.04     34.74     11.32     3     47.04     34.74     11.32     4     47.27     34.91     11.37     5     47.26     34.90     11.37     6     47.02     34.73     11.32     7     47.02     34.72     11.31     8     47.01     34.72     11.31     9     47.01     34.72     11.31    10     24.25     12.01     10.87    11     24.22     11.93     10.81    12     24.19     11.92     10.85    13     24.30     11.97     10.84    14     24.29     11.97     10.89    15     24.27     11.96     10.83    16     24.24     11.94     10.82    17     24.24     12.01     10.87    18     24.24     11.95     10.82    19     24.23     11.94     10.87
 1459052891.67     0     47.64     35.26     11.71     1     47.66     35.27     11.71     2     47.68     35.29     11.72     3     47.68     35.29     11.72     4     47.46     35.13     11.66     5     47.47     35.14     11.67     6     47.49     35.15     11.67     7     47.50     35.16     11.67     8     47.52     35.17     11.68     9     47.52     35.17     11.68    10     24.21     11.83     10.90    11     24.15     11.86     10.92    12     24.17     11.93     10.93    13     24.21     11.88     10.95    14     24.24     11.90     10.91    15     24.16     11.86     10.93    16     24.21     11.89     10.95    17     24.24     11.84     10.91    18     24.14     11.85     10.92    19     24.17     11.87     10.88
 1459052891.87     0     47.31     35.01     11.16     1     47.30     35.01     11.15     2     47.28     34.99     11.15     3     47.27     34.98     11.15     4     47.26     34.98     11.14     5     47.26     34.97     11.14     6     47.25     34.97     11.14     7     47.24     34.96     11.14     8     47.22     34.95     11.14     9     47.45     35.12     11.19    10     24.36     12.03     10.80    11     24.36     12.03     10.80    12     24.33     12.02     10.75    13     24.33     12.01     10.75    14     24.30     12.00     10.74    15     24.37     12.04     10.77    16     24.34     12.02     10.76    17     24.33     14.08     12.63    18     24.40     12.06     10.81    19     24.38     12.05     10.80
 1459052892.12     0     47.28     34.98     11.07     1     47.28     34.98     11.07     2     47.29     34.99     11.08     3     47.30     35.00     11.08     4     47.30     35.00     11.08     5     47.30     35.00     11.08     6     47.30     35.00     11.08     7     47.30     35.14     11.08     8     47.50     35.14     11.12     9     47.31     35.00     11.08    10     24.32     12.01     10.93    11     24.32     12.01     10.93    12     24.33     12.02     10.97    13     24.31     12.00     10.96    14     24.31     12.01     10.96    15     24.24     11.97     10.97    16     24.34     12.02     10.97    17     24.33     10.16      9.29    18     24.21     11.95     10.98    19     24.35     12.02     10.99
 1459052892.33     0     47.15     34.82     11.35     1     47.15     34.82     11.35     2     47.15     34.82     11.35     3     47.15     34.81     11.35     4     47.15     34.81     11.35     5     47.15     34.81     11.35     6     47.14     34.81     11.35     7     47.14     34.64     11.35     8     46.91     34.64     11.29     9     46.92     34.64     11.29    10     24.32     11.97     10.92    11     24.31     11.97     10.92    12     24.31     11.91     10.86    13     24.21     11.92     10.92    14     24.31     11.97     10.92    15     24.29     11.96     10.86    16     24.30     11.96     10.91    17     24.31     11.97     10.92    18     24.32     11.97     10.87    19     24.17     11.96     10.91
 1459052892.53     0     47.15     34.85     11.27     1     47.15     34.85     11.27     2     47.15     34.85     11.27     3     47.15     34.85     11.27     4     47.15     34.85     11.27     5     47.16     34.85     11.27     6     47.16     34.86     11.27     7     47.16     34.86     11.27     8     47.16     34.86     11.27     9     47.16     34.85     11.27    10     24.15     11.95     10.88    11     24.25     11.94     10.87    12     24.25     11.94     10.87    13     24.36     12.00     10.87    14     24.24     11.94     10.87    15     24.23     11.99     10.92    16     24.23     11.93     10.87    17     24.21     11.92     10.85    18     24.30     11.97     10.90    19     24.31     11.91     10.85
 1459052892.74     0     47.02     34.75     11.24     1     47.03     34.76     11.25     2     47.03     34.75     11.25     3     47.03     34.76     11.25     4     47.03     34.76     11.25     5     47.03     34.76     11.25     6     47.03     34.76     11.25     7     47.25     34.92     11.30     8     47.25     34.92     11.30     9     47.25     34.92     11.30    10     24.31     11.91     10.88    11     24.22     11.92     10.89    12     24.24     11.99     10.96    13     24.26     11.94     10.91    14     24.27     11.95     10.92    15     24.31     11.91     10.88    16     24.20     11.91     10.89    17     24.33     11.98     10.95    18     24.24     11.93     10.91    19     24.27     11.95     10.92
 1459052892.94     0     47.40     35.03     11.72     1     47.38     35.02     11.72     2     47.38     35.02     11.72     3     47.38     35.01     11.71     4     47.37     35.01     11.71     5     47.37     35.01     11.71     6     47.37     35.01     11.71     7     47.14     34.84     11.66     8     47.14     34.84     11.66     9     47.14     34.84     11.66    10     24.29     11.96     10.84    11     24.29     11.96     10.84    12     24.28     11.90     10.78    13     24.25     11.94     10.82    14     24.23     11.93     10.81    15     24.20     11.98     10.85    16     24.30     11.97     10.84    17     24.18     11.96     10.84    18     24.23     11.93     10.81    19     24.21     11.92     10.86
 1459052893.14     0     47.00     34.70     11.56     1     47.24     34.88     11.62     2     47.24     34.88     11.62     3     47.24     34.88     11.62     4     47.25     34.88     11.62     5     47.25     34.89     11.62     6     47.25     34.89     11.62     7     47.25     34.89     11.62     8     47.25     34.89     11.62     9     47.25     34.88     11.62    10     24.25     11.98     10.95    11     24.35     12.03     10.94    12     24.34     12.02     10.93    13     24.23     12.03     10.94    14     24.35     12.03     10.94    15     24.35     11.97     10.89    16     24.25     12.04     10.95    17     24.38     11.98     10.90    18     24.32     12.01     10.93    19     24.34     12.03     10.94
 1459052893.35     0     47.85     35.48     11.33     1     47.62     35.31     11.28     2     47.63     35.32     11.28     3     47.63     35.32     11.28     4     47.64     35.32     11.28     5     47.64     35.32     11.28     6     47.64     35.33     11.28     7     47.64     35.33     11.28     8     47.64     35.33     11.28     9     47.65     35.34     11.29    10     24.29     11.97     10.95    11     24.30     11.98     10.96    12     24.32     11.99     10.97    13     24.34     11.94     10.92    14     24.25     11.96     10.94    15     24.26     12.01     10.99    16     24.37     11.96     10.94    17     24.27     11.96     10.94    18     24.27     11.96     10.94    19     24.37     12.01     10.93
