         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1459054631.12     0     30.10     17.82     10.41     1     30.10     17.82     10.40     2     30.10     17.82     10.40     3     30.09     17.81     10.40     4     30.09     17.81     10.40     5     30.09     17.81     10.40     6     30.08     17.81     10.40     7     30.08     17.81     10.40     8     30.08     17.81     10.40     9     30.08     17.80     10.40    10     23.41     11.15     10.79    11     23.41     11.15     10.78    12     23.50     11.19     10.83    13     23.45     11.17     10.81    14     23.44     11.17     10.80    15     23.52     11.21     10.84    16     23.47     11.18     10.81    17     23.46     11.18     10.81    18     23.45     11.17     10.81    19     23.56     11.22     10.86
 1459054631.33     0     32.00     19.75     10.81     1     32.01     19.75     10.81     2     32.01     19.75     10.81     3     32.01     19.75     10.81     4     32.02     19.75     10.81     5     32.02     19.76     10.81     6     32.02     19.76     10.81     7     32.03     19.76     10.82     8     32.03     19.76     10.82     9     32.03     19.76     10.82    10     23.36     11.08     10.63    11     23.35     11.08     10.63    12     23.26     11.04     10.64    13     23.42     11.11     10.66    14     23.43     11.12     10.66    15     23.35     11.08     10.62    16     23.40     11.10     10.65    17     23.40     11.11     10.65    18     23.41     11.11     10.65    19     23.30     11.06     10.60
 1459054631.53     0     55.80     43.50     11.18     1     55.80     43.50     11.18     2     55.80     43.50     11.18     3     55.80     43.50     11.18     4     55.80     43.50     11.18     5     55.80     43.50     11.18     6     55.80     43.50     11.18     7     55.80     43.50     11.18     8     55.80     43.50     11.18     9     55.80     43.50     11.18    10     23.75     11.45     10.64    11     23.75     11.45     10.64    12     23.75     11.45     10.59    13     23.63     11.40     10.59    14     23.63     11.40     10.59    15     23.63     11.39     10.59    16     23.63     11.40     10.59    17     23.75     11.45     10.64    18     23.76     11.45     10.64    19     23.75     11.45     10.64
 1459054631.73     0     48.77     36.39     11.57     1     48.72     36.36     11.55     2     48.71     36.35     11.55     3     48.70     36.35     11.55     4     48.70     36.34     11.55     5     48.70     36.34     11.55     6     48.92     36.51     11.55     7     48.91     36.50     11.60     8     48.91     36.50     11.60     9     48.91     36.50     11.60    10     23.76     11.49     10.58    11     23.75     11.54     10.63    12     23.80     11.51     10.60    13     23.79     11.50     10.60    14     23.78     11.50     10.59    15     23.78     11.50     10.59    16     23.77     11.55     10.64    17     23.75     11.48     10.58    18     23.75     11.48     10.58    19     23.73     11.47     10.57
 1459054631.93     0     47.08     34.76     11.24     1     47.09     34.77     11.25     2     47.09     34.77     11.25     3     47.10     34.78     11.25     4     47.09     34.78     11.25     5     47.09     34.78     11.25     6     46.86     34.61     11.25     7     46.86     34.60     11.19     8     46.86     34.60     11.19     9     46.86     34.60     11.19    10     23.91     11.63     10.73    11     23.89     11.57     10.66    12     23.83     11.65     10.74    13     23.94     11.65     10.74    14     23.95     11.65     10.74    15     23.93     11.65     10.74    16     23.91     11.58     10.73    17     23.91     11.64     10.72    18     23.90     11.63     10.72    19     23.91     11.64     10.72
 1459054632.14     0     47.11     34.81     11.10     1     47.11     34.80     11.10     2     47.11     34.80     11.10     3     47.10     34.80     11.10     4     47.11     34.80     11.10     5     47.11     34.80     11.10     6     47.11     34.80     11.16     7     47.12     34.81     11.16     8     47.12     34.81     11.16     9     47.12     34.81     11.16    10     23.97     11.70     10.63    11     23.99     11.71     10.64    12     23.99     11.65     10.59    13     23.88     11.65     10.59    14     23.99     11.71     10.64    15     24.00     11.71     10.64    16     24.01     11.72     10.59    17     23.91     11.67     10.60    18     23.92     11.68     10.61    19     24.04     11.73     10.66
 1459054632.34     0     47.01     34.69     11.25     1     47.01     34.69     11.25     2     47.01     34.70     11.25     3     47.01     34.70     11.25     4     47.01     34.69     11.25     5     47.01     34.69     11.25     6     47.01     34.69     11.19     7     47.01     34.69     11.19     8     47.01     34.69     11.19     9     47.01     34.69     11.19    10     23.93     11.64     10.73    11     23.91     11.63     10.72    12     24.01     11.68     10.77    13     23.99     11.67     10.75    14     23.85     11.66     10.74    15     23.93     11.64     10.73    16     23.90     11.63     10.72    17     23.90     11.63     10.71    18     23.99     11.67     10.75    19     23.85     11.61     10.69
 1459054632.54     0     47.02     34.71     11.16     1     47.04     34.72     11.17     2     46.97     34.67     11.15     3     46.96     34.66     11.15     4     46.96     34.66     11.15     5     46.95     34.65     11.15     6     47.17     34.82     11.20     7     47.16     34.81     11.20     8     47.14     34.79     11.19     9     47.13     34.78     11.19    10     24.18     11.94     10.60    11     24.30     11.99     10.60    12     24.18     11.94     10.55    13     24.19     11.94     10.60    14     24.31     11.94     10.55    15     24.21     11.95     10.56    16     24.20     12.01     10.61    17     24.30     11.99     10.60    18     24.26     11.97     10.58    19     24.25     11.97     10.58
 1459054632.75     0     47.15     34.84     11.27     1     47.14     34.84     11.27     2     47.21     34.88     11.29     3     47.22     34.89     11.29     4     47.22     34.89     11.29     5     47.22     34.90     11.29     6     46.99     34.72     11.23     7     46.99     34.73     11.23     8     47.02     34.75     11.24     9     47.02     34.75     11.24    10     24.20     11.90     10.56    11     24.19     11.90     10.60    12     24.18     11.89     10.60    13     24.18     11.89     10.55    14     24.16     11.88     10.59    15     24.16     11.88     10.59    16     24.17     11.83     10.55    17     24.08     11.90     10.61    18     24.11     11.86     10.57    19     24.13     11.87     10.63
 1459054632.95     0     47.32     34.98     11.67     1     47.34     34.99     11.67     2     47.34     34.99     11.67     3     47.34     34.99     11.67     4     47.33     34.98     11.67     5     47.56     35.15     11.72     6     47.56     35.15     11.72     7     47.56     35.15     11.72     8     47.56     35.15     11.72     9     47.56     35.15     11.72    10     24.07     11.81     10.69    11     24.08     11.81     10.69    12     24.10     11.82     10.70    13     24.10     11.82     10.71    14     24.01     11.78     10.72    15     24.14     11.84     10.72    16     24.15     11.85     10.73    17     24.16     11.79     10.68    18     24.06     11.81     10.69    19     24.08     11.87     10.69
