         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1459050326.24     0     45.29     32.95     11.16     1     45.31     32.96     11.17     2     45.33     32.98     11.17     3     45.21     32.92     11.18     4     45.23     32.93     11.13     5     45.25     32.94     11.14     6     45.26     32.55     10.87     7     45.80     33.45     11.18     8     45.80     33.46     11.18     9     45.81     33.46     11.18    10     23.46     11.16     10.67    11     23.45     11.16     10.66    12     23.46     11.16     10.67    13     23.46     11.16     10.67    14     23.46     11.16     10.67    15     23.46     11.10     10.67    16     23.34     11.10     10.61    17     23.34     11.10     10.61    18     23.34     11.10     10.61    19     23.34     11.10     10.61
 1459050326.44     0     55.55     43.26     11.23     1     55.51     43.24     11.22     2     55.51     43.24     11.22     3     55.74     43.41     11.27     4     55.72     43.39     11.27     5     55.71     43.38     11.27     6     55.70     43.37     11.26     7     55.68     43.36     11.26     8     55.67     43.35     11.26     9     55.65     43.34     11.25    10     24.04     11.78     10.63    11     24.01     11.77     10.67    12     24.07     11.80     10.64    13     24.04     11.78     10.68    14     24.10     11.82     10.66    15     24.08     11.80     10.65    16     24.15     11.84     10.68    17     24.11     11.82     10.66    18     24.08     11.81     10.65    19     24.17     11.85     10.69
 1459050326.64     0     47.57     35.25     11.21     1     47.59     35.26     11.21     2     47.59     35.27     11.21     3     47.36     35.10     11.16     4     47.37     35.10     11.16     5     47.38     35.11     11.16     6     47.38     35.11     11.16     7     47.39     35.12     11.16     8     47.40     35.12     11.17     9     47.41     35.13     11.17    10     24.05     11.80     10.50    11     24.08     11.82     10.46    12     24.00     11.78     10.47    13     24.14     11.85     10.48    14     24.07     11.81     10.50    15     24.08     11.81     10.51    16     24.01     11.78     10.48    17     24.03     11.79     10.49    18     24.06     11.81     10.50    19     24.08     11.82     10.51
 1459050326.85     0     47.36     35.05     11.38     1     47.36     35.05     11.38     2     47.36     35.05     11.38     3     47.36     35.05     11.38     4     47.36     35.05     11.38     5     47.37     35.05     11.39     6     47.37     35.05     11.39     7     47.37     35.05     11.39     8     47.37     35.05     11.39     9     47.37     35.05     11.39    10     24.09     11.80     10.66    11     24.05     11.78     10.64    12     24.16     11.83     10.69    13     24.02     11.76     10.62    14     24.00     11.75     10.61    15     24.11     11.81     10.66    16     24.08     11.79     10.65    17     24.06     11.78     10.64    18     24.16     11.83     10.69    19     24.02     11.76     10.63
 1459050327.05     0     47.27     34.97     11.32     1     47.27     34.97     11.32     2     47.27     34.97     11.32     3     47.26     34.97     11.32     4     47.27     34.97     11.32     5     47.27     34.97     11.32     6     47.27     34.98     11.32     7     47.27     34.98     11.32     8     47.27     34.98     11.32     9     47.27     34.98     11.32    10     24.02     11.76     10.55    11     24.04     11.77     10.56    12     23.94     11.71     10.51    13     23.97     11.73     10.58    14     24.12     11.80     10.59    15     24.01     11.75     10.55    16     24.04     11.77     10.56    17     24.06     11.78     10.57    18     23.96     11.73     10.52    19     23.99     11.74     10.53
 1459050327.25     0     47.15     34.87     11.20     1     47.15     34.87     11.20     2     47.15     34.87     11.20     3     47.15     34.87     11.20     4     47.14     34.87     11.20     5     47.38     35.04     11.20     6     47.38     35.04     11.26     7     47.37     35.04     11.26     8     47.37     35.04     11.26     9     47.38     35.04     11.26    10     23.89     11.65     10.66    11     23.90     11.66     10.72    12     24.03     11.72     10.72    13     24.01     11.71     10.66    14     23.86     11.63     10.65    15     23.86     11.64     10.65    16     23.98     11.69     10.70    17     23.97     11.69     10.70    18     23.96     11.68     10.69    19     23.95     11.68     10.69
 1459050327.45     0     47.23     34.92     11.28     1     47.23     34.92     11.28     2     47.23     34.92     11.28     3     47.22     34.92     11.28     4     47.45     35.09     11.28     5     47.22     34.92     11.33     6     47.22     34.92     11.28     7     47.21     34.91     11.28     8     47.21     34.91     11.28     9     47.21     34.91     11.28    10     24.11     11.85     10.44    11     24.21     11.90     10.38    12     24.06     11.82     10.36    13     24.06     11.82     10.37    14     24.20     11.89     10.43    15     24.19     11.89     10.42    16     24.08     11.83     10.37    17     24.07     11.83     10.37    18     24.17     11.88     10.41    19     24.16     11.87     10.41
 1459050327.66     0     47.48     35.15     11.30     1     47.48     35.15     11.30     2     47.48     35.15     11.30     3     47.48     35.15     11.30     4     47.25     34.98     11.31     5     47.25     34.98     11.25     6     47.25     34.98     11.25     7     47.25     34.98     11.25     8     47.24     34.97     11.25     9     47.24     34.97     11.25    10     24.31     12.03     10.32    11     24.21     11.98     10.33    12     24.33     12.04     10.38    13     24.32     12.03     10.38    14     24.18     12.02     10.37    15     24.27     12.01     10.36    16     24.24     11.99     10.34    17     24.26     12.00     10.35    18     24.26     12.00     10.35    19     24.23     11.99     10.34
 1459050327.86     0     47.51     35.22     11.27     1     47.51     35.22     11.27     2     47.51     35.22     11.27     3     47.51     35.22     11.27     4     47.52     35.22     11.27     5     47.52     35.22     11.27     6     47.51     35.22     11.27     7     47.51     35.22     11.27     8     47.51     35.22     11.27     9     47.75     35.39     11.32    10     24.16     11.91     10.33    11     24.26     11.96     10.38    12     24.11     11.89     10.37    13     24.23     11.95     10.36    14     24.19     11.87     10.30    15     24.20     11.93     10.35    16     24.19     11.93     10.35    17     24.28     11.97     10.38    18     24.15     11.91     10.33    19     24.16     11.92     10.39
 1459050328.07     0     47.67     35.33     11.28     1     47.66     35.32     11.28     2     47.66     35.32     11.28     3     47.66     35.32     11.28     4     47.66     35.32     11.28     5     47.65     35.31     11.28     6     47.65     35.31     11.28     7     47.64     35.30     11.27     8     47.64     35.30     11.27     9     47.40     35.13     11.22    10     24.24     11.95     10.26    11     24.14     11.90     10.21    12     24.26     11.96     10.22    13     24.13     11.90     10.21    14     24.27     11.97     10.27    15     24.16     11.92     10.23    16     24.19     11.93     10.24    17     24.08     11.88     10.24    18     24.20     11.93     10.24    19     24.19     11.93     10.24
