         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1459051010.51     0     36.65     24.31     10.98     1     36.64     24.31     11.05     2     36.65     24.31     11.05     3     36.65     24.31     11.05     4     36.65     24.31     11.05     5     36.65     24.31     11.05     6     36.65     24.31     11.05     7     36.65     24.31     11.05     8     36.65     24.31     11.05     9     36.65     24.32     11.05    10     23.40     11.08     10.76    11     23.28     11.03     10.70    12     23.31     11.04     10.72    13     23.34     11.05     10.73    14     23.36     11.06     10.74    15     23.36     11.06     10.74    16     23.37     11.07     10.75    17     23.25     11.01     10.69    18     23.28     11.02     10.70    19     23.28     11.02     10.70
 1459051010.71     0     58.10     45.81     11.19     1     58.08     45.79     11.12     2     58.07     45.79     11.12     3     58.07     45.78     11.12     4     58.07     45.78     11.12     5     58.06     45.78     11.12     6     58.05     45.77     11.12     7     58.04     45.77     11.12     8     58.03     45.76     11.11     9     58.03     45.75     11.11    10     24.02     11.74     10.55    11     24.01     11.74     10.55    12     23.99     11.73     10.54    13     23.99     11.73     10.54    14     23.97     11.72     10.53    15     23.96     11.77     10.58    16     24.06     11.76     10.57    17     24.05     11.76     10.56    18     24.03     11.75     10.55    19     24.02     11.74     10.55
 1459051010.92     0     47.64     35.46     11.66     1     47.83     35.44     11.71     2     47.83     35.43     11.71     3     47.83     35.43     11.71     4     47.82     35.43     11.71     5     47.81     35.42     11.71     6     47.81     35.42     11.71     7     47.81     35.42     11.71     8     47.80     35.41     11.70     9     47.79     35.41     11.70    10     24.03     11.79     10.63    11     24.02     11.78     10.63    12     24.13     11.84     10.68    13     24.09     11.82     10.66    14     24.08     11.81     10.65    15     24.18     11.80     10.65    16     24.03     11.79     10.63    17     24.04     11.79     10.64    18     24.14     11.84     10.68    19     24.13     11.83     10.68
 1459051011.12     0     47.21     34.71     11.34     1     46.99     34.71     11.29     2     47.00     34.72     11.29     3     47.00     34.72     11.29     4     47.00     34.72     11.29     5     47.00     34.72     11.29     6     47.00     34.72     11.29     7     46.99     34.71     11.29     8     47.01     34.72     11.29     9     47.01     34.73     11.29    10     24.02     11.78     10.53    11     24.15     11.84     10.58    12     24.05     11.79     10.54    13     24.07     11.80     10.55    14     24.17     11.85     10.60    15     24.06     11.79     10.54    16     24.10     11.81     10.56    17     24.09     11.81     10.56    18     23.98     11.75     10.56    19     24.10     11.82     10.56
 1459051011.32     0     47.17     34.87     11.31     1     47.18     34.88     11.32     2     47.19     34.88     11.32     3     47.19     34.88     11.32     4     47.19     34.88     11.32     5     47.19     34.89     11.32     6     47.20     34.89     11.32     7     47.21     34.90     11.32     8     47.20     34.89     11.32     9     47.20     34.89     11.32    10     23.95     11.68     10.61    11     23.95     11.68     10.60    12     23.95     11.68     10.61    13     23.97     11.69     10.61    14     23.87     11.64     10.57    15     23.89     11.65     10.58    16     23.89     11.65     10.58    17     24.01     11.71     10.63    18     24.04     11.72     10.59    19     23.92     11.66     10.59
 1459051011.53     0     47.15     34.81     11.26     1     47.15     34.81     11.26     2     47.14     34.81     11.25     3     47.14     34.80     11.25     4     47.15     34.81     11.26     5     47.14     34.81     11.25     6     47.14     34.80     11.25     7     47.14     34.80     11.25     8     47.13     34.80     11.25     9     47.14     34.80     11.25    10     24.17     11.87     10.67    11     24.03     11.80     10.61    12     24.13     11.85     10.65    13     24.08     11.82     10.63    14     24.07     11.88     10.68    15     24.16     11.86     10.66    16     24.14     11.85     10.66    17     24.02     11.79     10.65    18     24.11     11.83     10.64    19     24.08     11.82     10.63
 1459051011.73     0     47.29     35.00     11.22     1     47.29     34.99     11.22     2     47.28     34.99     11.22     3     47.28     34.99     11.22     4     47.28     34.98     11.22     5     47.27     34.98     11.22     6     47.26     34.97     11.21     7     47.25     34.97     11.21     8     47.26     34.97     11.21     9     47.26     34.97     11.21    10     23.94     11.70     10.70    11     24.05     11.75     10.69    12     23.93     11.69     10.64    13     23.96     11.76     10.70    14     24.05     11.69     10.64    15     23.94     11.76     10.69    16     24.02     11.74     10.68    17     24.00     11.78     10.67    18     23.98     11.72     10.66    19     23.98     11.72     10.71
 1459051011.94     0     47.36     35.02     11.27     1     47.34     35.01     11.27     2     47.34     35.01     11.27     3     47.34     35.01     11.27     4     47.33     35.00     11.27     5     47.32     35.00     11.27     6     47.32     34.99     11.26     7     47.31     34.99     11.26     8     47.31     34.98     11.26     9     47.30     34.98     11.26    10     24.21     11.94     10.36    11     24.22     11.95     10.42    12     24.20     11.94     10.41    13     24.19     11.94     10.41    14     24.22     11.95     10.42    15     24.23     11.89     10.37    16     24.14     11.91     10.38    17     24.18     11.87     10.40    18     24.20     11.94     10.41    19     24.22     11.95     10.36
 1459051012.14     0     47.32     35.03     11.29     1     47.34     35.05     11.29     2     47.35     35.05     11.29     3     47.35     35.06     11.29     4     47.35     35.06     11.29     5     47.37     35.07     11.30     6     47.38     35.08     11.30     7     47.40     35.09     11.30     8     47.40     35.09     11.30     9     47.40     35.10     11.31    10     24.18     11.92     10.52    11     24.17     11.91     10.46    12     24.20     11.93     10.48    13     24.22     11.88     10.49    14     24.20     11.93     10.48    15     24.20     11.93     10.48    16     24.19     11.92     10.53    17     24.27     11.96     10.46    18     24.15     11.90     10.51    19     24.25     11.95     10.50
 1459051012.35     0     47.19     34.90     11.24     1     47.18     34.89     11.24     2     47.17     34.89     11.24     3     47.40     35.06     11.24     4     47.40     35.06     11.29     5     47.39     35.05     11.29     6     47.38     35.04     11.29     7     47.37     35.04     11.28     8     47.37     35.04     11.28     9     47.35     35.02     11.28    10     24.21     11.94     10.14    11     24.22     11.94     10.19    12     24.18     11.92     10.18    13     24.19     11.92     10.13    14     24.20     11.93     10.19    15     24.18     11.92     10.17    16     24.20     11.93     10.13    17     24.21     11.94     10.19    18     24.23     11.94     10.14    19     24.12     11.89     10.15
 1459051012.55     0     47.35     35.01     11.20     1     47.36     35.01     11.20     2     47.36     35.01     11.20     3     47.13     34.84     11.20     4     47.14     34.85     11.15     5     47.15     34.86     11.15     6     47.15     34.86     11.15     7     47.16     34.86     11.15     8     47.16     34.86     11.15     9     47.17     34.87     11.15    10     24.16     11.91     10.45    11     24.17     11.91     10.40    12     24.20     11.93     10.41    13     24.22     11.94     10.42    14     24.11     11.88     10.37    15     24.26     11.95     10.44    16     24.25     11.95     10.43    17     24.13     11.89     10.38    18     24.11     11.94     10.42    19     24.24     11.94     10.43
 1459051012.76     0     46.90     34.62     11.21     1     46.93     34.64     11.22     2     46.92     34.64     11.22     3     46.92     34.64     11.22     4     46.91     34.63     11.21     5     47.15     34.80     11.27     6     47.15     34.80     11.27     7     47.15     34.81     11.27     8     47.15     34.81     11.27     9     47.15     34.81     11.27    10     24.24     11.94     10.33    11     24.12     11.88     10.33    12     24.12     11.88     10.33    13     24.11     11.93     10.38    14     24.23     11.93     10.38    15     24.11     11.87     10.33    16     24.21     11.93     10.37    17     24.21     11.92     10.37    18     24.21     11.87     10.37    19     24.18     11.91     10.36
 1459051012.96     0     47.31     34.99     11.31     1     47.32     34.99     11.31     2     47.32     34.99     11.31     3     47.31     34.98     11.31     4     47.31     34.99     11.31     5     47.08     34.81     11.26     6     47.08     34.82     11.26     7     47.08     34.81     11.25     8     47.08     34.82     11.26     9     47.08     34.81     11.26    10     24.20     11.92     10.35    11     24.18     11.91     10.34    12     24.15     11.95     10.38    13     24.26     11.89     10.32    14     24.14     11.89     10.32    15     24.14     11.89     10.32    16     24.06     11.90     10.34    17     24.19     11.91     10.34    18     24.22     11.92     10.30    19     24.13     11.88     10.32
 1459051013.17     0     47.09     34.79     11.28     1     47.09     34.79     11.28     2     47.08     34.79     11.28     3     47.10     34.80     11.28     4     47.10     34.80     11.28     5     47.10     34.80     11.34     6     47.10     34.80     11.34     7     47.10     34.80     11.34     8     47.33     34.97     11.34     9     47.33     34.97     11.34    10     24.11     11.85     10.47    11     24.10     11.85     10.47    12     24.22     11.85     10.47    13     24.11     11.85     10.47    14     24.12     11.86     10.48    15     24.13     11.86     10.48    16     24.14     11.86     10.49    17     24.14     11.87     10.49    18     24.14     11.86     10.49    19     24.13     11.86     10.48
 1459051013.37     0     47.21     34.90     11.35     1     47.20     34.89     11.35     2     47.20     34.89     11.35     3     47.20     34.89     11.35     4     47.20     34.89     11.35     5     47.20     34.89     11.29     6     47.44     35.06     11.35     7     47.43     35.06     11.35     8     47.21     34.90     11.35     9     47.21     34.89     11.35    10     24.20     11.93     10.37    11     24.19     11.93     10.37    12     24.09     11.94     10.38    13     24.21     11.94     10.38    14     24.18     11.92     10.37    15     24.28     11.97     10.41    16     24.24     11.89     10.34    17     24.11     11.95     10.39    18     24.21     11.94     10.38    19     24.17     11.92     10.41
 1459051013.57     0     47.24     34.90     11.33     1     47.24     34.90     11.34     2     47.24     34.90     11.33     3     47.24     34.90     11.34     4     47.25     34.90     11.34     5     47.25     34.90     11.34     6     47.02     34.73     11.28     7     47.02     34.74     11.28     8     47.02     34.74     11.28     9     47.03     34.74     11.28    10     24.14     11.89     10.45    11     24.15     11.95     10.51    12     24.28     11.90     10.46    13     24.14     11.89     10.45    14     24.16     11.90     10.51    15     24.16     11.90     10.46    16     24.17     11.91     10.46    17     24.16     11.90     10.46    18     24.16     11.90     10.46    19     24.18     11.91     10.42
