         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1459052920.89     0     27.12     14.83     10.79     1     27.12     14.83     10.79     2     27.12     14.83     10.79     3     27.10     14.82     10.78     4     27.10     14.82     10.78     5     27.10     14.82     10.78     6     27.09     14.82     10.78     7     27.09     14.82     10.78     8     27.09     14.82     10.78     9     27.09     14.82     10.78    10     23.62     11.31     10.93    11     23.62     11.31     10.93    12     23.62     11.31     10.93    13     23.62     11.31     10.93    14     23.60     11.30     10.92    15     23.71     11.36     10.97    16     23.71     11.35     10.97    17     23.58     11.29     10.91    18     23.58     11.29     10.91    19     23.57     11.29     10.90
 1459052921.09     0     42.70     30.44     10.79     1     42.71     30.45     10.79     2     42.71     30.45     10.79     3     42.74     30.47     10.80     4     42.74     30.47     10.80     5     42.74     30.47     10.80     6     42.74     30.47     10.80     7     42.74     30.47     10.80     8     42.74     30.47     10.80     9     42.74     30.47     10.80    10     23.99     11.68     10.92    11     24.00     11.68     10.92    12     24.00     11.68     10.92    13     24.01     11.69     10.93    14     24.03     11.70     10.94    15     23.92     11.64     10.89    16     24.05     11.71     10.95    17     24.05     11.71     10.95    18     24.05     11.71     10.95    19     24.05     11.71     10.95
 1459052921.29     0     53.21     40.87     11.41     1     53.19     40.85     11.41     2     53.18     40.85     11.41     3     53.18     40.84     11.41     4     53.40     41.01     11.40     5     53.40     41.01     11.46     6     53.39     41.00     11.46     7     53.39     41.00     11.46     8     53.38     41.00     11.46     9     53.32     40.95     11.44    10     24.02     11.79     11.01    11     24.11     11.78     11.00    12     24.09     11.77     10.99    13     24.06     11.75     10.98    14     24.17     11.81     11.03    15     24.17     11.80     11.02    16     24.04     11.74     10.97    17     24.01     11.73     10.95    18     24.11     11.77     11.00    19     24.09     11.77     10.99
 1459052921.50     0     47.25     34.88     11.67     1     47.23     34.87     11.66     2     47.23     34.87     11.66     3     47.23     34.87     11.66     4     47.00     34.69     11.66     5     47.00     34.69     11.61     6     47.00     34.69     11.61     7     47.00     34.69     11.61     8     47.00     34.70     11.61     9     47.05     34.73     11.62    10     24.13     11.72     10.94    11     24.04     11.73     10.95    12     24.05     11.73     10.96    13     24.07     11.75     11.02    14     24.06     11.74     10.97    15     24.06     11.74     10.96    16     24.06     11.74     10.96    17     24.08     11.75     10.98    18     23.98     11.70     10.93    19     24.01     11.71     10.94
 1459052921.70     0     47.16     34.88     11.35     1     47.18     34.89     11.36     2     47.18     34.89     11.36     3     47.18     34.89     11.36     4     47.19     34.89     11.36     5     47.18     34.89     11.36     6     47.18     34.89     11.36     7     47.18     34.89     11.36     8     47.18     34.89     11.36     9     47.18     35.06     11.36    10     24.15     11.84     10.94    11     24.14     11.84     10.94    12     24.15     11.84     10.94    13     24.15     11.84     10.89    14     24.16     11.85     10.95    15     24.17     11.85     10.95    16     24.15     11.84     10.94    17     24.16     11.85     10.95    18     24.16     11.85     10.95    19     24.15     11.84     10.94
 1459052921.90     0     47.12     34.78     11.35     1     47.11     34.77     11.35     2     47.12     34.78     11.35     3     47.12     34.78     11.35     4     47.11     34.78     11.35     5     47.11     34.77     11.35     6     47.11     34.77     11.35     7     47.11     34.77     11.35     8     47.11     34.77     11.35     9     47.11     34.60     11.35    10     24.23     11.99     10.95    11     24.34     11.98     10.94    12     24.34     11.98     10.94    13     24.32     11.97     10.93    14     24.18     11.96     10.92    15     24.28     11.95     10.91    16     24.29     11.96     10.92    17     24.28     11.96     10.91    18     24.25     12.00     10.95    19     24.36     11.99     10.95
 1459052922.11     0     46.94     34.64     11.31     1     46.94     34.65     11.31     2     46.93     34.64     11.31     3     46.93     34.64     11.31     4     46.92     34.63     11.30     5     46.92     34.63     11.30     6     46.91     34.62     11.30     7     46.90     34.62     11.30     8     46.85     34.58     11.29     9     47.08     34.75     11.34    10     24.15     11.77     10.72    11     24.14     11.82     10.72    12     24.12     11.82     10.71    13     24.12     11.81     10.71    14     24.23     11.81     10.71    15     24.13     11.82     10.72    16     24.12     11.81     10.71    17     24.10     11.86     10.76    18     24.24     11.81     10.71    19     24.14     11.82     10.72
 1459052922.31     0     47.17     34.86     11.38     1     47.17     34.85     11.38     2     47.17     34.85     11.38     3     47.17     34.85     11.38     4     47.16     34.85     11.38     5     47.15     34.84     11.38     6     47.17     34.85     11.38     7     47.17     34.86     11.38     8     47.23     34.90     11.39     9     46.99     34.73     11.34    10     24.28     11.92     10.74    11     24.18     11.87     10.75    12     24.16     11.92     10.80    13     24.26     11.91     10.78    14     24.14     11.85     10.73    15     24.23     11.90     10.77    16     24.22     11.89     10.77    17     24.21     11.83     10.76    18     24.19     11.88     10.76    19     24.16     11.86     10.80
 1459052922.52     0     47.33     35.04     11.27     1     47.32     35.03     11.27     2     47.32     35.03     11.27     3     47.32     35.03     11.27     4     47.34     35.04     11.28     5     47.34     35.05     11.28     6     47.35     35.05     11.28     7     47.35     35.05     11.28     8     47.34     35.05     11.28     9     47.34     35.05     11.28    10     24.22     11.92     10.90    11     24.22     11.92     10.95    12     24.34     11.92     10.90    13     24.21     11.91     10.89    14     24.33     11.98     10.95    15     24.21     11.92     10.90    16     24.21     11.91     10.94    17     24.34     11.98     10.90    18     24.21     11.92     10.89    19     24.25     11.93     10.85
 1459052922.73     0     47.30     35.00     11.33     1     47.29     34.99     11.33     2     47.28     34.99     11.32     3     47.27     34.98     11.32     4     47.27     34.98     11.32     5     47.49     35.14     11.38     6     47.47     35.13     11.37     7     47.45     35.12     11.37     8     47.46     35.12     11.37     9     47.46     35.12     11.37    10     24.30     12.06     11.02    11     24.39     12.05     11.01    12     24.33     12.02     10.98    13     24.35     12.09     11.04    14     24.32     12.02     10.97    15     24.32     12.02     10.97    16     24.44     12.08     10.98    17     24.30     12.00     10.96    18     24.39     12.05     11.00    19     24.33     12.08     11.03
