         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1459054671.03     0     20.54      8.33     10.50     1     20.53      8.33     10.49     2     20.53      8.32     10.49     3     20.53      8.32     10.49     4     20.53      8.32     10.49     5     20.52      8.32     10.49     6     20.52      8.32     10.49     7     20.52      8.32     10.49     8     20.52      8.32     10.49     9     20.52      8.32     10.49    10     22.91     10.60     10.75    11     22.88     10.58     10.73    12     22.88     10.58     10.73    13     22.88     10.58     10.73    14     22.88     10.58     10.73    15     22.88     10.58     10.73    16     22.88     10.58     10.73    17     22.87     10.58     10.73    18     22.76     10.58     10.73    19     22.86     10.57     10.72
 1459054671.23     0     29.13     16.86     10.81     1     29.14     16.86     10.82     2     29.14     16.86     10.82     3     29.15     16.87     10.82     4     29.15     16.87     10.82     5     29.15     16.87     10.82     6     29.15     16.87     10.82     7     29.15     16.87     10.82     8     29.16     16.87     10.82     9     29.16     16.87     10.82    10     23.22     10.98     10.70    11     23.21     11.04     10.76    12     23.34     11.04     10.76    13     23.33     11.04     10.76    14     23.34     11.04     10.76    15     23.34     11.04     10.76    16     23.34     11.04     10.76    17     23.34     11.04     10.76    18     23.34     10.99     10.71    19     23.24     10.99     10.71
 1459054671.43     0     54.27     41.97     11.23     1     54.27     41.97     11.23     2     54.27     41.97     11.23     3     54.27     41.97     11.23     4     54.27     41.97     11.23     5     54.27     41.98     11.23     6     54.27     41.98     11.23     7     54.27     41.98     11.23     8     54.27     41.98     11.23     9     54.27     41.98     11.23    10     23.90     11.60     10.65    11     23.90     11.54     10.60    12     23.78     11.54     10.60    13     23.78     11.54     10.60    14     23.78     11.54     10.59    15     23.78     11.54     10.59    16     23.89     11.59     10.64    17     23.90     11.60     10.65    18     23.90     11.60     10.65    19     23.90     11.60     10.65
 1459054671.63     0     49.14     36.79     11.41     1     49.11     36.77     11.40     2     49.10     36.76     11.40     3     49.10     36.76     11.40     4     49.09     36.75     11.40     5     49.09     36.75     11.40     6     49.09     36.75     11.40     7     49.08     36.75     11.40     8     49.08     36.75     11.40     9     49.08     36.74     11.40    10     23.82     11.54     10.68    11     23.81     11.54     10.67    12     23.80     11.54     10.67    13     23.79     11.53     10.66    14     23.79     11.53     10.72    15     23.91     11.59     10.72    16     23.78     11.53     10.66    17     23.77     11.52     10.65    18     23.76     11.52     10.65    19     23.75     11.51     10.64
 1459054671.83     0     46.98     34.69     11.28     1     47.22     34.86     11.34     2     47.21     34.86     11.33     3     47.21     34.86     11.33     4     47.21     34.85     11.33     5     47.21     34.85     11.33     6     47.21     34.85     11.33     7     47.21     34.85     11.33     8     47.20     34.85     11.33     9     47.20     34.85     11.33    10     23.98     11.72     10.70    11     23.97     11.72     10.70    12     24.09     11.78     10.75    13     24.09     11.78     10.75    14     24.05     11.76     10.68    15     23.93     11.70     10.68    16     23.93     11.70     10.68    17     24.06     11.76     10.74    18     24.05     11.76     10.74    19     24.03     11.75     10.72
 1459054672.04     0     47.15     34.79     11.39     1     46.92     34.62     11.33     2     46.92     34.62     11.33     3     46.92     34.62     11.33     4     46.93     34.63     11.33     5     46.93     34.63     11.33     6     46.93     34.63     11.33     7     46.93     34.63     11.33     8     46.93     34.63     11.33     9     46.93     34.63     11.33    10     23.93     11.67     10.61    11     23.94     11.73     10.67    12     23.92     11.66     10.61    13     23.92     11.66     10.61    14     23.95     11.68     10.62    15     23.96     11.68     10.68    16     24.05     11.73     10.67    17     23.93     11.67     10.61    18     23.94     11.67     10.62    19     23.97     11.68     10.63
 1459054672.24     0     47.08     34.78     11.28     1     47.08     34.78     11.28     2     47.08     34.78     11.28     3     47.08     34.78     11.28     4     47.08     34.78     11.28     5     47.08     34.78     11.28     6     47.08     34.78     11.28     7     47.07     34.78     11.28     8     47.08     34.78     11.28     9     47.07     34.78     11.28    10     23.70     11.50     10.76    11     23.79     11.43     10.70    12     23.69     11.43     10.70    13     23.68     11.49     10.75    14     23.76     11.47     10.73    15     23.72     11.45     10.66    16     23.72     11.45     10.71    17     23.69     11.44     10.70    18     23.68     11.49     10.75    19     23.77     11.47     10.74
 1459054672.45     0     47.04     34.73     11.11     1     47.05     34.73     11.11     2     47.05     34.73     11.11     3     47.05     34.73     11.11     4     47.05     34.73     11.11     5     47.04     34.73     11.11     6     47.04     34.73     11.11     7     47.04     34.73     11.11     8     47.04     34.73     11.11     9     47.04     34.73     11.11    10     24.20     11.81     10.68    11     24.09     11.82     10.68    12     24.07     11.81     10.73    13     24.16     11.80     10.66    14     24.06     11.80     10.67    15     24.19     11.87     10.72    16     24.06     11.80     10.67    17     24.07     11.81     10.67    18     24.18     11.81     10.67    19     24.07     11.81     10.67
 1459054672.65     0     47.18     34.89     11.28     1     47.18     34.89     11.28     2     47.18     34.89     11.28     3     47.40     35.05     11.33     4     47.40     35.05     11.33     5     47.40     35.05     11.33     6     47.39     35.05     11.33     7     47.39     35.05     11.33     8     47.39     35.05     11.33     9     47.39     35.04     11.33    10     24.19     11.95     10.44    11     24.29     12.00     10.49    12     24.28     12.00     10.43    13     24.18     11.95     10.49    14     24.30     12.00     10.49    15     24.18     11.94     10.44    16     24.31     12.01     10.50    17     24.31     12.01     10.50    18     24.17     11.94     10.43    19     24.29     12.00     10.49
 1459054672.86     0     47.47     35.14     11.32     1     47.47     35.14     11.32     2     47.47     35.14     11.32     3     47.24     34.97     11.26     4     47.23     34.96     11.26     5     47.22     34.95     11.26     6     47.21     34.95     11.31     7     47.21     34.94     11.31     8     47.21     35.11     11.31     9     47.43     35.11     11.31    10     24.27     11.99     10.70    11     24.16     11.99     10.70    12     24.27     11.99     10.70    13     24.28     11.99     10.70    14     24.26     11.99     10.69    15     24.26     11.99     10.75    16     24.21     11.96     10.67    17     24.29     12.00     10.71    18     24.30     12.01     10.71    19     24.17     12.00     10.70
 1459054673.06     0     47.37     35.05     11.36     1     47.36     35.04     11.36     2     47.36     35.04     11.36     3     47.36     35.04     11.36     4     47.37     35.04     11.36     5     47.38     35.05     11.36     6     47.38     35.05     11.31     7     47.38     35.05     11.31     8     47.38     34.88     11.31     9     47.16     34.89     11.31    10     24.30     12.02     10.66    11     24.28     12.01     10.65    12     24.28     12.01     10.65    13     24.30     12.02     10.61    14     24.22     11.98     10.63    15     24.35     12.04     10.63    16     24.29     12.01     10.66    17     24.22     11.98     10.63    18     24.20     12.02     10.67    19     24.31     11.96     10.62
 1459054673.27     0     47.37     35.04     11.32     1     47.36     35.03     11.32     2     47.36     35.03     11.32     3     47.35     35.03     11.32     4     47.36     35.03     11.32     5     47.36     35.03     11.32     6     47.36     35.03     11.32     7     47.37     35.04     11.32     8     47.37     35.04     11.32     9     47.37     35.04     11.32    10     24.32     12.04     10.52    11     24.34     11.99     10.47    12     24.23     12.05     10.54    13     24.32     12.04     10.52    14     24.28     12.02     10.56    15     24.28     12.02     10.51    16     24.27     12.01     10.50    17     24.25     12.00     10.55    18     24.38     12.01     10.50    19     24.28     12.02     10.51
 1459054673.47     0     47.04     34.72     11.30     1     47.04     34.72     11.30     2     47.05     34.73     11.30     3     47.06     34.74     11.30     4     47.06     34.73     11.30     5     47.05     34.73     11.30     6     47.06     34.74     11.30     7     47.06     34.73     11.30     8     47.06     34.73     11.30     9     47.06     34.73     11.30    10     24.20     11.92     10.71    11     24.19     11.92     10.70    12     24.30     11.91     10.69    13     24.19     11.92     10.69    14     24.30     11.97     10.69    15     24.16     11.91     10.68    16     24.15     11.90     10.68    17     24.29     11.97     10.68    18     24.20     11.92     10.69    19     24.21     11.93     10.70
 1459054673.68     0     47.04     34.74     11.35     1     47.08     34.77     11.36     2     47.08     34.77     11.36     3     47.09     34.77     11.36     4     47.09     34.78     11.36     5     47.10     34.78     11.36     6     47.10     34.78     11.36     7     47.10     34.79     11.36     8     47.10     34.79     11.36     9     47.11     34.79     11.37    10     24.18     11.91     10.65    11     24.23     11.94     10.67    12     24.14     11.89     10.64    13     24.15     11.90     10.64    14     24.08     11.86     10.61    15     24.25     11.94     10.68    16     24.28     11.96     10.70    17     24.17     11.90     10.65    18     24.16     11.90     10.64    19     24.18     11.91     10.65
 1459054673.88     0     47.35     34.98     11.58     1     47.35     34.98     11.58     2     47.35     34.98     11.58     3     47.34     34.97     11.58     4     47.34     34.97     11.58     5     47.34     34.97     11.58     6     47.34     34.97     11.58     7     47.34     34.97     11.58     8     47.34     34.97     11.58     9     47.33     34.96     11.58    10     24.06     11.90     10.72    11     24.18     11.90     10.72    12     24.18     11.90     10.72    13     24.18     11.90     10.72    14     24.16     11.89     10.71    15     24.04     11.89     10.72    16     24.14     11.88     10.71    17     24.14     11.88     10.71    18     24.16     11.89     10.71    19     24.16     11.89     10.71
 1459054674.08     0     47.09     34.79     11.32     1     47.08     34.79     11.32     2     47.08     34.79     11.32     3     47.08     34.79     11.32     4     47.08     34.79     11.32     5     47.08     34.79     11.32     6     47.08     34.79     11.32     7     47.08     34.79     11.32     8     47.07     34.78     11.32     9     47.08     34.79     11.32    10     24.31     11.96     10.63    11     24.16     11.94     10.61    12     24.26     11.99     10.65    13     24.24     11.98     10.65    14     24.24     11.98     10.70    15     24.34     11.97     10.63    16     24.20     11.96     10.63    17     24.29     12.00     10.67    18     24.26     11.99     10.65    19     24.23     11.97     10.69
