         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1459050350.41     0     42.42     30.10     11.06     1     42.26     29.97     11.02     2     42.26     29.80     10.97     3     42.38     30.05     11.06     4     42.38     30.05     11.06     5     42.38     30.05     11.06     6     42.38     30.05     11.06     7     42.38     30.05     11.06     8     42.38     30.05     11.06     9     42.38     30.05     11.06    10     23.39     11.10     10.78    11     23.41     11.11     10.79    12     23.41     11.11     10.79    13     23.41     11.06     10.73    14     23.30     11.06     10.73    15     23.31     11.06     10.74    16     23.31     11.06     10.74    17     23.31     11.06     10.74    18     23.44     11.13     10.80    19     23.44     11.13     10.80
 1459050350.62     0     55.88     43.53     11.32     1     55.80     43.47     11.31     2     55.79     43.46     11.30     3     55.76     43.44     11.30     4     55.74     43.43     11.29     5     55.97     43.60     11.35     6     55.96     43.58     11.35     7     55.94     43.57     11.34     8     55.92     43.55     11.34     9     55.89     43.53     11.33    10     23.95     11.78     10.43    11     24.03     11.76     10.41    12     23.98     11.79     10.44    13     24.04     11.76     10.42    14     24.13     11.81     10.45    15     24.08     11.78     10.43    16     24.04     11.77     10.42    17     24.12     11.80     10.45    18     23.97     11.73     10.38    19     23.94     11.77     10.42
 1459050350.82     0     47.30     34.97     11.31     1     47.33     34.99     11.32     2     47.33     35.00     11.32     3     47.35     35.01     11.33     4     47.36     35.01     11.33     5     47.13     34.84     11.27     6     47.14     34.85     11.28     7     47.15     34.86     11.28     8     47.16     34.87     11.28     9     47.18     34.88     11.29    10     24.17     11.79     10.62    11     24.06     11.79     10.63    12     24.10     11.76     10.59    13     24.04     11.78     10.62    14     23.95     11.74     10.58    15     24.11     11.82     10.65    16     24.12     11.82     10.66    17     24.04     11.79     10.62    18     24.07     11.80     10.63    19     24.09     11.75     10.59
 1459050351.03     0     46.98     34.70     11.16     1     46.98     34.70     11.16     2     46.98     34.70     11.16     3     46.99     34.70     11.16     4     46.99     34.70     11.16     5     46.99     34.70     11.16     6     46.99     34.70     11.16     7     46.99     34.70     11.16     8     46.99     34.70     11.16     9     46.98     34.70     11.16    10     24.04     11.78     10.64    11     24.05     11.79     10.64    12     24.03     11.78     10.69    13     24.15     11.84     10.69    14     24.13     11.83     10.68    15     24.00     11.76     10.62    16     24.09     11.81     10.66    17     24.07     11.80     10.65    18     24.04     11.79     10.64    19     24.04     11.78     10.64
 1459050351.23     0     47.30     34.97     11.17     1     47.30     34.97     11.17     2     47.30     34.97     11.17     3     47.30     34.97     11.17     4     47.30     34.97     11.17     5     47.30     34.97     11.17     6     47.30     34.97     11.17     7     47.30     34.97     11.17     8     47.30     34.97     11.17     9     47.31     34.97     11.17    10     24.03     11.73     10.57    11     24.04     11.74     10.58    12     24.04     11.74     10.53    13     23.93     11.68     10.53    14     23.94     11.69     10.54    15     23.96     11.70     10.54    16     23.87     11.65     10.51    17     24.01     11.72     10.57    18     24.04     11.74     10.58    19     24.05     11.74     10.58
 1459050351.43     0     47.07     34.77     11.35     1     47.07     34.77     11.36     2     47.06     34.76     11.35     3     47.06     34.76     11.35     4     47.06     34.76     11.35     5     47.06     34.76     11.35     6     47.06     34.76     11.35     7     47.05     34.75     11.35     8     47.05     34.75     11.35     9     47.05     34.75     11.35    10     24.01     11.74     10.59    11     24.01     11.74     10.60    12     24.01     11.74     10.60    13     24.00     11.74     10.59    14     24.00     11.79     10.64    15     24.07     11.77     10.63    16     24.04     11.75     10.66    17     23.90     11.68     10.60    18     24.00     11.73     10.60    19     23.99     11.72     10.59
 1459050351.64     0     46.99     34.67     11.28     1     47.00     34.68     11.28     2     47.01     34.69     11.28     3     47.01     34.69     11.28     4     47.01     34.69     11.28     5     47.01     34.69     11.28     6     47.01     34.69     11.28     7     47.01     34.69     11.28     8     47.01     34.69     11.28     9     47.01     34.69     11.28    10     23.97     11.70     10.60    11     23.94     11.68     10.59    12     23.93     11.74     10.63    13     24.03     11.73     10.63    14     24.01     11.67     10.62    15     23.99     11.71     10.60    16     23.99     11.71     10.60    17     24.09     11.76     10.59    18     23.95     11.70     10.58    19     24.05     11.75     10.63
 1459050351.84     0     47.02     34.92     11.24     1     47.24     34.91     11.29     2     47.24     34.92     11.29     3     47.24     34.92     11.29     4     47.23     34.91     11.29     5     47.23     34.91     11.29     6     47.23     34.91     11.29     7     47.23     34.91     11.29     8     47.23     34.91     11.29     9     47.22     34.90     11.29    10     24.13     11.97     10.41    11     24.25     11.98     10.41    12     24.25     11.91     10.36    13     24.26     11.98     10.42    14     24.27     11.98     10.37    15     24.23     11.96     10.41    16     24.24     11.97     10.36    17     24.24     11.97     10.41    18     24.25     11.97     10.41    19     24.15     11.92     10.37
 1459050352.05     0     47.51     34.99     11.37     1     47.29     35.00     11.31     2     47.28     34.99     11.31     3     47.28     34.99     11.31     4     47.28     34.99     11.31     5     47.28     34.99     11.31     6     47.27     34.99     11.31     7     47.28     34.99     11.31     8     47.28     34.99     11.31     9     47.28     34.99     11.31    10     24.28     11.92     10.45    11     24.17     11.92     10.45    12     24.30     11.99     10.51    13     24.15     11.92     10.45    14     24.24     11.96     10.49    15     24.20     11.94     10.47    16     24.20     11.94     10.52    17     24.20     11.94     10.47    18     24.20     11.94     10.47    19     24.17     11.98     10.51
 1459050352.25     0     47.38     35.05     11.36     1     47.37     35.05     11.35     2     47.37     35.04     11.35     3     47.37     35.04     11.35     4     47.38     35.05     11.36     5     47.38     35.05     11.36     6     47.37     35.04     11.35     7     47.37     35.04     11.35     8     47.37     35.04     11.35     9     47.37     35.04     11.35    10     24.20     11.92     10.21    11     24.21     11.92     10.22    12     24.08     11.92     10.22    13     24.20     11.92     10.22    14     24.12     11.88     10.18    15     24.12     11.93     10.23    16     24.23     11.93     10.18    17     24.13     11.89     10.19    18     24.24     11.94     10.23    19     24.24     11.88     10.18
 1459050352.46     0     47.25     34.95     11.23     1     47.25     34.95     11.23     2     47.24     34.95     11.23     3     47.24     34.94     11.23     4     47.23     34.94     11.23     5     47.24     34.94     11.23     6     47.25     34.95     11.23     7     47.25     34.95     11.23     8     47.25     34.95     11.23     9     47.26     34.96     11.23    10     24.21     11.94     10.45    11     24.18     11.93     10.49    12     24.30     11.93     10.44    13     24.18     11.93     10.44    14     24.16     11.92     10.48    15     24.29     11.92     10.43    16     24.18     11.93     10.43    17     24.28     11.98     10.47    18     24.17     11.92     10.43    19     24.19     11.93     10.49
 1459050352.66     0     47.08     34.75     11.25     1     47.09     34.76     11.25     2     47.10     34.77     11.25     3     47.11     34.77     11.25     4     47.11     34.77     11.25     5     47.11     34.77     11.25     6     47.11     34.77     11.25     7     47.10     34.77     11.25     8     47.11     34.77     11.25     9     47.10     34.76     11.25    10     24.21     11.92     10.30    11     24.23     11.93     10.26    12     24.10     11.87     10.25    13     24.23     11.93     10.31    14     24.24     11.93     10.26    15     24.11     11.93     10.31    16     24.23     11.93     10.31    17     24.12     11.88     10.26    18     24.12     11.93     10.31    19     24.22     11.92     10.25
 1459050352.87     0     47.07     34.76     11.33     1     47.06     34.75     11.32     2     47.06     34.75     11.32     3     47.06     34.75     11.32     4     47.05     34.74     11.32     5     47.04     34.74     11.32     6     47.04     34.74     11.32     7     47.04     34.73     11.32     8     47.03     34.72     11.31     9     47.03     34.73     11.31    10     24.17     11.92     10.38    11     24.15     11.91     10.42    12     24.24     11.95     10.41    13     24.12     11.89     10.35    14     24.12     11.96     10.41    15     24.25     11.90     10.36    16     24.13     11.90     10.36    17     24.14     11.90     10.41    18     24.29     11.92     10.38    19     24.17     11.92     10.38
 1459050353.07     0     47.16     34.86     11.24     1     47.17     34.86     11.24     2     47.17     34.86     11.25     3     47.18     34.87     11.25     4     47.18     34.87     11.25     5     47.19     34.88     11.25     6     47.19     34.88     11.25     7     47.20     34.89     11.25     8     47.21     34.90     11.26     9     47.23     34.91     11.26    10     24.19     11.92     10.50    11     24.22     11.93     10.46    12     24.16     11.90     10.48    13     24.17     11.91     10.49    14     24.29     11.91     10.49    15     24.20     11.92     10.50    16     24.21     11.93     10.51    17     24.23     11.94     10.46    18     24.08     11.86     10.50    19     24.20     11.92     10.50
 1459050353.27     0     47.14     34.87     11.31     1     47.36     35.03     11.37     2     47.36     35.03     11.37     3     47.36     35.03     11.37     4     47.36     35.03     11.37     5     47.36     35.03     11.37     6     47.35     35.03     11.37     7     47.35     35.03     11.37     8     47.34     35.02     11.37     9     47.34     35.02     11.36    10     24.06     11.85     10.54    11     24.19     11.91     10.54    12     24.17     11.90     10.53    13     24.17     11.90     10.53    14     24.05     11.84     10.53    15     24.15     11.89     10.52    16     24.13     11.88     10.51    17     24.13     11.88     10.51    18     24.15     11.95     10.52    19     24.16     11.89     10.53
 1459050353.48     0     47.37     35.00     11.22     1     47.15     34.84     11.16     2     47.15     34.84     11.16     3     47.12     34.82     11.16     4     47.12     34.82     11.15     5     47.12     34.82     11.15     6     47.12     34.82     11.15     7     47.12     34.82     11.15     8     47.12     34.82     11.15     9     47.12     34.82     11.15    10     24.22     12.03     10.43    11     24.19     11.95     10.42    12     24.16     12.00     10.46    13     24.26     11.99     10.45    14     24.34     12.03     10.43    15     24.21     11.96     10.43    16     24.21     12.02     10.48    17     24.29     12.00     10.46    18     24.24     11.98     10.44    19     24.22     11.97     10.43
 1459050353.68     0     46.79     34.53     11.25     1     46.79     34.53     11.25     2     46.80     34.53     11.25     3     46.82     34.55     11.26     4     46.82     34.55     11.26     5     47.04     34.71     11.26     6     47.04     34.71     11.31     7     47.05     34.72     11.31     8     47.05     34.72     11.31     9     47.05     34.72     11.31    10     24.28     11.93     10.45    11     24.27     11.99     10.44    12     24.29     11.94     10.40    13     24.19     12.01     10.46    14     24.20     11.95     10.41    15     24.22     11.96     10.42    16     24.24     11.91     10.43    17     24.25     11.98     10.44    18     24.30     11.94     10.40    19     24.19     11.95     10.41
