         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1459051097.19     0     46.76     34.43     11.06     1     46.75     34.42     11.06     2     46.76     34.43     11.06     3     46.76     34.43     11.06     4     46.75     34.42     11.01     5     46.75     34.65     11.01     6     46.90     34.57     11.06     7     46.90     34.57     11.06     8     46.91     34.58     11.06     9     46.92     34.59     11.06    10     23.67     11.38     10.67    11     23.69     11.39     10.68    12     23.59     11.35     10.63    13     23.60     11.36     10.64    14     23.60     11.36     10.64    15     23.62     11.37     10.65    16     23.75     11.43     10.70    17     23.65     11.39     10.65    18     23.65     11.39     10.65    19     23.65     11.39     10.65
 1459051097.40     0     54.89     42.52     11.41     1     54.79     42.45     11.39     2     54.70     42.55     11.43     3     54.83     42.47     11.41     4     54.73     42.39     11.44     5     54.89     42.28     11.42     6     54.52     42.22     11.35     7     54.65     42.31     11.39     8     54.60     42.27     11.38     9     54.53     42.22     11.36    10     24.12     11.83     10.50    11     24.10     11.82     10.49    12     24.11     11.83     10.50    13     24.11     11.83     10.50    14     24.11     11.83     10.50    15     24.11     11.83     10.50    16     23.99     11.83     10.50    17     24.11     11.83     10.50    18     24.11     11.83     10.50    19     24.09     11.82     10.49
 1459051097.60     0     46.99     34.72     11.16     1     47.05     34.77     11.17     2     47.34     34.81     11.19     3     47.17     34.85     11.20     4     47.23     34.90     11.16     5     47.02     34.75     11.22     6     47.24     34.91     11.22     7     47.07     34.78     11.18     8     47.10     34.80     11.18     9     47.14     34.83     11.19    10     24.04     11.81     10.48    11     24.06     11.82     10.49    12     24.18     11.88     10.54    13     24.18     11.88     10.54    14     24.18     11.88     10.54    15     24.19     11.88     10.55    16     24.19     11.83     10.49    17     24.06     11.82     10.49    18     24.07     11.82     10.49    19     24.07     11.83     10.50
 1459051097.81     0     47.12     34.78     11.39     1     47.11     34.77     11.39     2     46.87     34.60     11.33     3     46.86     34.76     11.38     4     47.09     34.76     11.38     5     47.10     34.77     11.33     6     46.91     34.63     11.34     7     46.91     34.63     11.34     8     47.14     34.80     11.40     9     47.14     34.80     11.40    10     24.18     11.88     10.60    11     24.18     11.88     10.60    12     24.07     11.82     10.55    13     24.06     11.82     10.55    14     24.07     11.82     10.55    15     24.06     11.87     10.60    16     24.17     11.87     10.59    17     24.18     11.87     10.60    18     24.18     11.87     10.60    19     24.19     11.88     10.60
 1459051098.01     0     46.95     34.66     11.26     1     46.98     34.68     11.26     2     46.97     34.85     11.32     3     47.20     34.68     11.26     4     46.96     34.67     11.26     5     46.98     34.69     11.26     6     47.01     34.70     11.27     7     46.99     34.86     11.32     8     47.01     34.70     11.27     9     46.98     34.68     11.26    10     24.05     11.78     10.59    11     24.04     11.78     10.59    12     24.03     11.77     10.58    13     24.03     11.83     10.63    14     24.15     11.83     10.63    15     24.15     11.77     10.58    16     24.04     11.78     10.58    17     24.03     11.77     10.58    18     24.03     11.77     10.58    19     24.03     11.77     10.58
 1459051098.22     0     46.98     34.67     11.37     1     46.92     34.63     11.41     2     47.16     34.63     11.36     3     46.94     34.64     11.36     4     46.98     34.67     11.37     5     46.96     34.65     11.37     6     46.94     34.64     11.42     7     47.17     34.64     11.36     8     46.92     34.63     11.36     9     46.94     34.64     11.36    10     24.07     11.87     10.69    11     24.18     11.86     10.68    12     24.19     11.87     10.69    13     24.19     11.81     10.64    14     24.07     11.81     10.64    15     24.08     11.81     10.64    16     24.08     11.82     10.64    17     24.09     11.82     10.64    18     24.09     11.82     10.64    19     24.08     11.82     10.64
 1459051098.42     0     47.09     34.75     11.40     1     47.11     34.77     11.35     2     46.87     34.59     11.40     3     46.99     34.68     11.38     4     46.96     34.65     11.37     5     46.92     34.63     11.41     6     47.14     34.79     11.36     7     46.89     34.60     11.35     8     46.85     34.57     11.40     9     47.05     34.72     11.39    10     24.22     11.89     10.44    11     24.24     11.96     10.44    12     24.23     11.96     10.44    13     24.23     11.96     10.44    14     24.23     11.96     10.44    15     24.22     11.95     10.44    16     24.22     11.95     10.43    17     24.21     11.95     10.43    18     24.22     11.95     10.43    19     24.22     11.95     10.44
 1459051098.63     0     47.16     34.84     11.25     1     47.13     34.82     11.24     2     47.10     34.80     11.18     3     46.94     34.85     11.25     4     47.14     34.83     11.24     5     47.16     34.84     11.19     6     47.16     34.84     11.25     7     47.20     34.87     11.26     8     47.20     34.87     11.20     9     46.98     34.70     11.20    10     24.40     12.09     10.32    11     24.28     12.03     10.32    12     24.28     12.03     10.32    13     24.28     12.03     10.32    14     24.28     12.03     10.32    15     24.28     12.09     10.38    16     24.38     12.08     10.37    17     24.38     12.08     10.37    18     24.38     12.08     10.37    19     24.38     12.08     10.37
 1459051098.84     0     47.36     35.05     11.32     1     47.34     35.04     11.32     2     47.56     35.20     11.37     3     47.58     35.05     11.32     4     47.36     35.06     11.33     5     47.36     35.23     11.38     6     47.31     35.02     11.31     7     47.28     35.00     11.31     8     47.51     35.17     11.36     9     47.52     35.18     11.37    10     24.20     11.96     10.45    11     24.20     11.96     10.44    12     24.20     11.96     10.44    13     24.32     12.02     10.49    14     24.32     12.02     10.49    15     24.31     11.96     10.44    16     24.22     11.97     10.45    17     24.22     11.97     10.45    18     24.22     11.97     10.45    19     24.21     11.97     10.45
 1459051099.04     0     47.22     34.96     11.29     1     47.50     35.17     11.36     2     47.31     35.03     11.32     3     47.29     35.02     11.37     4     47.46     35.14     11.35     5     47.43     34.95     11.29     6     47.43     35.12     11.34     7     47.40     35.10     11.34     8     47.21     35.12     11.34     9     47.41     35.11     11.34    10     24.21     11.94     10.26    11     24.22     11.94     10.27    12     24.22     11.95     10.27    13     24.23     11.95     10.27    14     24.23     11.95     10.27    15     24.24     11.95     10.28    16     24.24     11.95     10.28    17     24.24     11.96     10.28    18     24.25     11.96     10.28    19     24.25     11.96     10.28
