         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1459053099.86     0     31.31     19.04     10.64     1     31.31     19.04     10.64     2     31.31     19.04     10.64     3     31.31     19.04     10.64     4     31.31     19.04     10.64     5     31.30     19.03     10.64     6     31.30     19.03     10.64     7     31.30     19.03     10.64     8     31.30     19.03     10.64     9     31.30     19.03     10.64    10     23.54     11.22     10.83    11     23.53     11.22     10.82    12     23.41     11.16     10.77    13     23.41     11.16     10.82    14     23.52     11.21     10.82    15     23.50     11.20     10.81    16     23.50     11.20     10.81    17     23.46     11.24     10.84    18     23.55     11.23     10.83    19     23.55     11.22     10.83
 1459053100.07     0     31.93     19.71     10.68     1     31.93     19.71     10.68     2     31.93     19.71     10.68     3     31.93     19.71     10.68     4     31.93     19.71     10.68     5     31.93     19.71     10.68     6     31.93     19.71     10.68     7     32.11     19.83     10.68     8     32.11     19.82     10.68     9     32.11     19.83     10.74    10     23.76     11.43     10.87    11     23.75     11.43     10.86    12     23.75     11.43     10.86    13     23.75     11.43     10.81    14     23.64     11.38     10.81    15     23.66     11.39     10.82    16     23.67     11.39     10.83    17     23.70     11.35     10.79    18     23.72     11.42     10.85    19     23.73     11.43     10.85
 1459053100.27     0     49.07     36.77     11.02     1     49.07     36.77     11.02     2     49.07     36.77     11.03     3     49.07     36.77     11.03     4     49.08     36.78     11.03     5     49.09     36.78     11.03     6     49.09     36.78     11.03     7     48.91     36.67     11.03     8     48.92     36.67     11.03     9     48.92     36.67     10.97    10     23.87     11.66     10.87    11     23.99     11.66     10.87    12     23.99     11.66     10.87    13     23.99     11.66     10.87    14     23.98     11.66     10.87    15     23.98     11.66     10.87    16     23.98     11.66     10.87    17     23.98     11.66     10.87    18     23.86     11.60     10.81    19     23.86     11.60     10.81
 1459053100.47     0     50.99     38.65     11.43     1     50.97     38.64     11.42     2     50.96     38.63     11.42     3     50.96     38.63     11.42     4     50.96     38.63     11.42     5     50.95     38.63     11.42     6     50.95     38.62     11.42     7     50.94     38.62     11.42     8     50.94     38.62     11.42     9     50.94     38.61     11.41    10     24.14     11.72     10.87    11     24.00     11.71     10.86    12     23.97     11.70     10.90    13     24.07     11.74     10.89    14     24.06     11.74     10.88    15     24.06     11.74     10.88    16     24.04     11.73     10.87    17     24.02     11.72     10.87    18     24.02     11.78     10.92    19     24.13     11.78     10.92
 1459053100.67     0     47.56     35.17     11.83     1     47.57     35.18     11.84     2     47.57     35.17     11.84     3     47.57     35.18     11.84     4     47.56     35.17     11.83     5     47.57     35.17     11.83     6     47.57     35.17     11.83     7     47.57     35.18     11.84     8     47.56     35.17     11.83     9     47.56     35.17     11.83    10     23.94     11.67     10.81    11     23.95     11.67     10.81    12     23.97     11.68     10.77    13     24.00     11.69     10.83    14     24.00     11.70     10.83    15     24.00     11.69     10.83    16     24.02     11.70     10.84    17     24.03     11.71     10.85    18     24.03     11.65     10.79    19     23.91     11.65     10.85
 1459053100.87     0     47.23     34.93     11.27     1     47.23     34.93     11.27     2     47.23     34.93     11.27     3     47.23     34.93     11.27     4     47.23     34.93     11.27     5     47.23     34.93     11.27     6     47.22     34.93     11.26     7     47.22     34.92     11.26     8     47.22     34.92     11.26     9     47.22     34.92     11.26    10     23.97     11.67     10.89    11     23.97     11.67     10.89    12     23.98     11.67     10.90    13     23.87     11.62     10.90    14     23.98     11.67     10.90    15     23.99     11.67     10.90    16     23.99     11.67     10.90    17     23.99     11.67     10.90    18     23.98     11.67     10.90    19     23.99     11.67     10.84
 1459053101.08     0     46.99     34.74     11.28     1     46.98     34.73     11.28     2     46.98     34.90     11.28     3     47.21     34.90     11.33     4     47.21     34.90     11.33     5     47.21     34.90     11.33     6     47.21     34.90     11.33     7     47.21     34.90     11.33     8     47.21     34.90     11.33     9     47.21     34.90     11.33    10     23.97     11.66     10.78    11     23.95     11.71     10.82    12     24.05     11.70     10.81    13     24.03     11.69     10.75    14     23.88     11.62     10.79    15     23.97     11.66     10.78    16     23.93     11.64     10.76    17     24.02     11.69     10.80    18     23.99     11.67     10.79    19     23.97     11.66     10.78
 1459053101.28     0     47.41     35.05     11.23     1     47.41     35.06     11.23     2     47.40     34.88     11.23     3     47.17     34.88     11.17     4     47.13     34.85     11.17     5     47.14     34.85     11.17     6     47.14     34.85     11.17     7     47.13     34.85     11.17     8     47.13     34.85     11.17     9     47.12     34.85     11.16    10     24.04     11.81     10.84    11     24.13     11.74     10.77    12     24.10     11.79     10.81    13     24.08     11.78     10.80    14     24.07     11.83     10.80    15     24.09     11.78     10.81    16     24.09     11.78     10.86    17     24.06     11.77     10.80    18     24.03     11.81     10.83    19     24.12     11.80     10.82
 1459053101.49     0     47.20     34.91     11.23     1     47.20     34.91     11.23     2     47.20     34.91     11.24     3     47.20     34.91     11.24     4     47.23     34.93     11.24     5     47.22     34.92     11.24     6     47.22     34.92     11.24     7     47.22     34.92     11.24     8     47.22     34.92     11.24     9     47.22     34.92     11.24    10     24.33     11.91     10.85    11     24.22     11.91     10.86    12     24.11     11.86     10.86    13     24.25     11.93     10.87    14     24.25     11.87     10.82    15     24.22     11.92     10.86    16     24.23     11.92     10.81    17     24.13     11.93     10.87    18     24.26     11.88     10.82    19     24.27     11.94     10.88
 1459053101.69     0     47.25     34.98     11.36     1     47.24     34.97     11.36     2     47.23     34.97     11.36     3     47.24     34.97     11.36     4     47.25     34.97     11.36     5     47.47     35.14     11.42     6     47.48     35.15     11.42     7     47.48     35.15     11.42     8     47.48     35.15     11.42     9     47.47     35.14     11.42    10     24.12     11.86     10.70    11     24.24     11.92     10.76    12     24.23     11.92     10.70    13     24.11     11.86     10.75    14     24.25     11.92     10.76    15     24.11     11.92     10.75    16     24.18     11.89     10.72    17     24.30     11.89     10.73    18     24.21     11.90     10.74    19     24.22     11.91     10.74
