         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1459050373.01     0     57.90     45.50     11.40     1     57.90     45.51     11.41     2     57.91     45.51     11.41     3     57.92     45.52     11.41     4     57.92     45.52     11.41     5     57.92     45.52     11.41     6     57.93     45.53     11.41     7     57.94     45.54     11.41     8     57.94     45.54     11.41     9     57.95     45.54     11.41    10     26.61     14.32     10.72    11     26.61     14.31     10.72    12     26.72     14.37     10.77    13     26.71     14.36     10.76    14     26.71     14.36     10.76    15     26.70     14.30     10.76    16     26.58     14.30     10.70    17     26.58     14.30     10.70    18     26.57     14.29     10.70    19     26.56     14.29     10.69
 1459050373.21     0     50.42     38.05     11.60     1     50.38     38.02     11.59     2     50.38     38.02     11.59     3     50.38     38.02     11.59     4     50.37     38.01     11.59     5     50.37     38.01     11.59     6     50.37     38.01     11.59     7     50.36     38.01     11.59     8     50.36     38.00     11.59     9     50.36     38.00     11.59    10     24.01     11.74     10.65    11     24.13     11.80     10.71    12     24.01     11.74     10.65    13     24.01     11.74     10.65    14     24.01     11.74     10.65    15     24.01     11.74     10.65    16     24.01     11.74     10.65    17     24.00     11.73     10.65    18     24.00     11.74     10.65    19     24.00     11.79     10.70
 1459050373.41     0     46.99     34.73     11.19     1     46.99     34.73     11.18     2     46.98     34.73     11.18     3     46.98     34.72     11.18     4     46.97     34.72     11.18     5     46.97     34.72     11.18     6     46.97     34.72     11.18     7     46.97     34.72     11.18     8     46.97     34.72     11.18     9     46.97     34.72     11.18    10     24.07     11.78     10.61    11     23.95     11.72     10.55    12     23.95     11.72     10.55    13     23.96     11.73     10.56    14     23.96     11.73     10.56    15     23.96     11.79     10.61    16     24.09     11.79     10.62    17     24.09     11.79     10.62    18     24.09     11.79     10.62    19     24.10     11.74     10.56
 1459050373.62     0     47.25     34.93     11.24     1     47.26     34.94     11.25     2     47.27     34.94     11.25     3     47.27     34.94     11.25     4     47.27     34.95     11.25     5     47.28     34.95     11.25     6     47.28     34.95     11.25     7     47.28     34.95     11.25     8     47.28     34.95     11.25     9     47.28     34.95     11.25    10     23.95     11.65     10.55    11     23.96     11.65     10.55    12     23.97     11.66     10.55    13     23.96     11.65     10.55    14     23.96     11.65     10.55    15     23.95     11.59     10.49    16     23.83     11.59     10.49    17     23.83     11.59     10.49    18     23.83     11.59     10.54    19     23.94     11.64     10.54
 1459050373.82     0     47.06     34.78     11.24     1     47.03     34.76     11.24     2     47.02     34.75     11.23     3     47.03     34.76     11.23     4     47.03     34.75     11.23     5     47.26     34.93     11.23     6     47.26     34.93     11.30     7     47.26     34.93     11.30     8     47.26     34.93     11.30     9     47.26     34.93     11.30    10     24.10     11.86     10.39    11     24.08     11.85     10.39    12     24.20     11.91     10.44    13     24.20     11.91     10.44    14     24.20     11.91     10.44    15     24.20     11.91     10.44    16     24.20     11.91     10.44    17     24.19     11.91     10.44    18     24.20     11.91     10.39    19     24.09     11.86     10.39
 1459050374.02     0     47.12     34.81     11.24     1     47.13     34.82     11.24     2     47.14     34.83     11.24     3     47.14     34.83     11.25     4     47.14     34.83     11.24     5     46.90     34.65     11.24     6     46.90     34.82     11.23     7     47.11     34.81     11.23     8     47.11     34.81     11.23     9     47.11     34.81     11.23    10     24.15     11.88     10.41    11     24.16     11.88     10.41    12     24.15     11.88     10.41    13     24.15     11.88     10.41    14     24.15     11.88     10.41    15     24.14     11.88     10.41    16     24.14     11.88     10.41    17     24.14     11.88     10.41    18     24.13     11.87     10.40    19     24.12     11.87     10.40
 1459050374.22     0     47.53     35.23     11.24     1     47.54     35.23     11.24     2     47.54     35.23     11.24     3     47.54     35.23     11.24     4     47.54     35.23     11.24     5     47.54     35.23     11.24     6     47.53     35.05     11.18     7     47.31     35.06     11.18     8     47.31     35.06     11.18     9     47.55     35.24     11.18    10     24.19     11.93     10.34    11     24.19     11.93     10.34    12     24.07     11.93     10.34    13     24.19     11.93     10.34    14     24.19     11.93     10.34    15     24.19     11.93     10.34    16     24.19     11.93     10.34    17     24.19     11.93     10.34    18     24.20     11.93     10.35    19     24.20     11.93     10.35
 1459050374.43     0     47.47     35.14     11.25     1     47.46     35.13     11.25     2     47.44     35.12     11.25     3     47.45     35.12     11.25     4     47.45     35.13     11.25     5     47.45     35.12     11.25     6     47.45     35.13     11.25     7     47.45     35.13     11.25     8     47.45     35.13     11.25     9     47.21     34.95     11.25    10     24.22     11.94     10.36    11     24.22     11.94     10.36    12     24.23     11.89     10.31    13     24.21     11.94     10.36    14     24.21     11.94     10.36    15     24.21     11.94     10.36    16     24.22     11.94     10.36    17     24.22     11.94     10.36    18     24.21     11.94     10.36    19     24.21     11.94     10.36
 1459050374.63     0     47.32     35.03     11.32     1     47.31     35.02     11.32     2     47.32     35.02     11.32     3     47.31     35.02     11.32     4     47.31     35.02     11.32     5     47.32     35.02     11.32     6     47.31     35.02     11.32     7     47.31     35.02     11.32     8     47.31     35.02     11.32     9     47.32     35.02     11.32    10     24.22     11.96     10.33    11     24.22     11.96     10.33    12     24.22     11.96     10.33    13     24.23     11.97     10.34    14     24.23     11.97     10.34    15     24.23     11.97     10.33    16     24.22     11.96     10.33    17     24.22     11.96     10.33    18     24.22     11.96     10.33    19     24.21     11.96     10.33
 1459050374.83     0     47.32     35.03     11.23     1     47.34     35.04     11.23     2     47.33     35.04     11.23     3     47.34     35.04     11.23     4     47.34     35.04     11.23     5     47.34     35.04     11.23     6     47.34     35.05     11.23     7     47.34     35.04     11.23     8     47.34     35.04     11.23     9     47.58     35.22     11.29    10     24.23     11.98     10.31    11     24.23     12.04     10.36    12     24.35     12.04     10.36    13     24.23     11.98     10.31    14     24.23     11.98     10.31    15     24.24     11.99     10.31    16     24.25     11.99     10.32    17     24.23     11.98     10.31    18     24.23     11.98     10.31    19     24.35     12.04     10.36
 1459050375.03     0     47.21     34.90     11.18     1     47.21     34.90     11.18     2     47.22     34.91     11.18     3     47.45     35.08     11.24     4     47.45     35.08     11.24     5     47.45     35.08     11.24     6     47.46     35.08     11.24     7     47.46     35.09     11.24     8     47.46     35.09     11.24     9     47.22     34.91     11.18    10     24.15     11.88     10.47    11     24.15     11.82     10.42    12     24.15     11.88     10.47    13     24.15     11.88     10.47    14     24.15     11.88     10.47    15     24.15     11.88     10.47    16     24.15     11.88     10.47    17     24.16     11.88     10.47    18     24.16     11.89     10.47    19     24.05     11.83     10.42
 1459050375.24     0     47.31     34.94     11.37     1     47.31     34.95     11.37     2     47.31     34.94     11.37     3     47.07     34.77     11.31     4     47.07     34.77     11.31     5     47.06     34.76     11.31     6     47.06     34.76     11.31     7     47.06     34.76     11.31     8     47.06     34.76     11.31     9     47.06     34.76     11.31    10     24.21     11.96     10.45    11     24.33     12.02     10.44    12     24.21     11.96     10.39    13     24.21     11.96     10.39    14     24.20     11.95     10.39    15     24.20     11.95     10.39    16     24.20     11.95     10.39    17     24.31     12.01     10.44    18     24.31     12.01     10.44    19     24.31     12.01     10.44
 1459050375.44     0     47.23     34.92     11.32     1     47.22     34.91     11.32     2     47.22     34.91     11.32     3     47.22     34.91     11.32     4     47.23     34.91     11.32     5     47.21     34.90     11.32     6     47.21     34.90     11.32     7     47.21     34.91     11.32     8     47.21     34.91     11.32     9     47.22     34.91     11.32    10     24.35     12.03     10.38    11     24.24     11.97     10.39    12     24.24     11.97     10.39    13     24.24     11.97     10.39    14     24.25     11.98     10.39    15     24.26     11.98     10.39    16     24.26     11.98     10.39    17     24.14     11.99     10.39    18     24.25     11.98     10.39    19     24.25     11.98     10.39
 1459050375.64     0     47.16     34.84     11.29     1     47.16     34.85     11.29     2     47.17     34.85     11.29     3     47.17     34.85     11.29     4     47.17     34.85     11.29     5     47.19     34.86     11.29     6     47.18     34.86     11.29     7     47.18     34.85     11.29     8     47.18     34.85     11.29     9     47.18     34.86     11.29    10     24.09     11.87     10.52    11     24.08     11.86     10.52    12     24.20     11.92     10.52    13     24.20     11.92     10.52    14     24.19     11.92     10.51    15     24.19     11.92     10.51    16     24.19     11.92     10.51    17     24.20     11.86     10.46    18     24.09     11.87     10.47    19     24.09     11.87     10.47
 1459050375.84     0     47.08     34.83     11.09     1     47.08     34.83     11.09     2     47.08     34.83     11.09     3     47.08     34.82     11.09     4     47.31     35.00     11.15     5     47.30     34.99     11.15     6     47.31     34.99     11.15     7     47.31     35.00     11.15     8     47.31     34.99     11.15     9     47.30     34.99     11.15    10     24.24     11.96     10.50    11     24.35     12.02     10.50    12     24.22     11.96     10.50    13     24.23     11.96     10.50    14     24.24     11.96     10.50    15     24.23     11.96     10.50    16     24.23     11.96     10.50    17     24.32     12.00     10.54    18     24.31     12.00     10.54    19     24.30     12.00     10.53
 1459050376.05     0     47.34     34.99     11.32     1     47.32     34.98     11.31     2     47.32     34.97     11.31     3     47.33     34.98     11.31     4     47.09     34.80     11.26     5     47.10     34.81     11.26     6     47.10     34.81     11.26     7     47.10     34.81     11.26     8     47.10     34.81     11.26     9     47.10     34.81     11.26    10     24.25     11.94     10.54    11     24.13     11.88     10.55    12     24.15     11.89     10.55    13     24.15     11.89     10.55    14     24.15     11.89     10.55    15     24.15     11.89     10.55    16     24.16     11.89     10.55    17     24.07     11.85     10.52    18     24.07     11.91     10.57    19     24.19     11.91     10.57
 1459050376.25     0     47.27     34.96     11.23     1     47.28     34.97     11.23     2     47.28     34.97     11.23     3     47.28     34.97     11.23     4     47.28     34.97     11.23     5     47.27     34.96     11.23     6     47.26     34.96     11.23     7     47.26     34.96     11.23     8     47.26     34.96     11.23     9     47.26     34.96     11.23    10     24.16     11.91     10.60    11     24.15     11.90     10.59    12     24.14     11.90     10.59    13     24.14     11.90     10.59    14     24.25     11.96     10.64    15     24.25     11.95     10.63    16     24.24     11.95     10.63    17     24.24     11.95     10.63    18     24.23     11.89     10.58    19     24.12     11.89     10.58
 1459050376.45     0     47.86     35.56     11.19     1     47.88     35.56     11.19     2     47.88     35.57     11.19     3     47.88     35.57     11.19     4     47.87     35.56     11.19     5     47.88     35.57     11.19     6     47.89     35.58     11.19     7     47.89     35.58     11.19     8     47.89     35.58     11.19     9     47.89     35.57     11.19    10     24.24     11.97     10.56    11     24.25     11.98     10.57    12     24.25     11.98     10.57    13     24.25     11.98     10.57    14     24.13     11.92     10.57    15     24.25     11.97     10.57    16     24.24     11.97     10.57    17     24.24     11.97     10.57    18     24.25     11.97     10.57    19     24.24     11.97     10.57
 1459050376.66     0     47.29     34.97     11.25     1     47.29     34.97     11.25     2     47.29     34.96     11.25     3     47.29     34.96     11.25     4     47.29     34.97     11.25     5     47.28     34.96     11.25     6     47.28     34.96     11.24     7     47.27     34.95     11.24     8     47.27     34.95     11.24     9     47.27     34.95     11.24    10     24.25     11.99     10.52    11     24.25     11.99     10.52    12     24.24     11.98     10.52    13     24.23     11.98     10.52    14     24.24     11.98     10.47    15     24.24     11.98     10.52    16     24.25     11.99     10.52    17     24.25     11.99     10.52    18     24.25     11.99     10.52    19     24.25     11.99     10.52
