         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1459051413.38     0     29.74     17.52     10.54     1     29.73     17.51     10.54     2     29.73     17.51     10.54     3     29.73     17.51     10.54     4     29.73     17.51     10.54     5     29.73     17.51     10.54     6     29.73     17.51     10.54     7     29.73     17.51     10.54     8     29.72     17.51     10.53     9     29.72     17.51     10.53    10     23.62     11.35     10.77    11     23.61     11.35     10.76    12     23.61     11.35     10.76    13     23.60     11.34     10.75    14     23.71     11.39     10.81    15     23.69     11.38     10.80    16     23.69     11.38     10.80    17     23.69     11.38     10.80    18     23.69     11.38     10.80    19     23.67     11.37     10.79
 1459051413.58     0     39.98     27.69     11.03     1     39.99     27.69     11.03     2     39.99     27.69     11.03     3     39.99     27.69     11.03     4     40.00     27.69     11.03     5     40.00     27.70     11.03     6     40.00     27.70     11.03     7     40.00     27.70     11.03     8     40.00     27.70     11.04     9     40.01     27.70     11.04    10     23.47     11.18     10.63    11     23.47     11.18     10.63    12     23.47     11.18     10.62    13     23.48     11.18     10.63    14     23.36     11.13     10.58    15     23.37     11.13     10.58    16     23.49     11.19     10.63    17     23.49     11.19     10.63    18     23.49     11.19     10.63    19     23.51     11.20     10.64
 1459051413.78     0     56.83     44.45     11.25     1     56.78     44.41     11.24     2     56.78     44.41     11.24     3     56.76     44.39     11.24     4     56.75     44.38     11.23     5     56.74     44.38     11.23     6     56.72     44.36     11.23     7     56.71     44.35     11.23     8     56.69     44.34     11.22     9     56.68     44.33     11.22    10     23.80     11.50     10.70    11     23.75     11.48     10.68    12     23.85     11.52     10.72    13     23.78     11.49     10.69    14     23.86     11.53     10.73    15     23.83     11.52     10.71    16     23.79     11.50     10.69    17     23.76     11.48     10.68    18     23.70     11.45     10.70    19     23.78     11.50     10.69
 1459051413.99     0     47.28     35.02     11.19     1     47.29     35.03     11.19     2     47.29     35.03     11.19     3     47.30     35.04     11.19     4     47.30     35.04     11.19     5     47.31     35.04     11.19     6     47.32     35.05     11.20     7     47.33     35.06     11.20     8     47.34     35.06     11.20     9     47.35     35.07     11.20    10     24.04     11.78     10.63    11     24.09     11.81     10.64    12     23.98     11.81     10.65    13     24.14     11.83     10.67    14     24.06     11.79     10.63    15     24.08     11.80     10.64    16     24.00     11.76     10.61    17     24.02     11.77     10.67    18     24.17     11.85     10.63    19     24.07     11.80     10.64
 1459051414.19     0     47.42     35.08     11.21     1     47.42     35.08     11.21     2     47.42     35.08     11.21     3     47.42     35.08     11.21     4     47.42     35.08     11.21     5     47.42     35.08     11.21     6     47.41     35.07     11.21     7     47.40     35.07     11.21     8     47.40     35.07     11.21     9     47.40     35.06     11.21    10     24.34     12.02     10.73    11     24.30     12.00     10.71    12     24.32     11.95     10.67    13     24.20     12.02     10.72    14     24.27     11.99     10.70    15     24.25     11.98     10.74    16     24.34     12.02     10.73    17     24.31     12.01     10.66    18     24.19     12.01     10.72    19     24.29     12.00     10.71
 1459051414.40     0     47.30     35.00     11.04     1     47.30     35.00     11.04     2     47.30     35.01     11.04     3     47.30     35.01     11.04     4     47.30     35.01     11.04     5     47.30     35.01     11.04     6     47.31     35.01     11.04     7     47.31     35.01     11.04     8     47.32     35.02     11.04     9     47.32     35.02     11.04    10     23.92     11.63     10.70    11     23.95     11.65     10.71    12     23.94     11.64     10.71    13     23.93     11.63     10.70    14     23.97     11.65     10.72    15     24.00     11.67     10.68    16     23.89     11.62     10.69    17     23.93     11.64     10.70    18     23.93     11.58     10.65    19     23.95     11.65     10.71
 1459051414.60     0     47.41     35.13     11.19     1     47.42     35.14     11.19     2     47.42     35.14     11.19     3     47.41     35.14     11.19     4     47.41     35.14     11.19     5     47.41     35.14     11.19     6     47.42     35.14     11.19     7     47.41     35.13     11.19     8     47.41     35.13     11.19     9     47.64     35.30     11.19    10     24.23     11.97     10.71    11     24.23     11.97     10.71    12     24.23     12.02     10.76    13     24.36     11.97     10.72    14     24.25     11.98     10.72    15     24.23     11.96     10.71    16     24.21     11.96     10.76    17     24.32     12.01     10.75    18     24.33     12.02     10.76    19     24.22     11.96     10.71
 1459051414.80     0     47.25     34.94     11.30     1     47.25     34.93     11.29     2     47.24     34.92     11.29     3     47.24     34.92     11.29     4     47.23     34.92     11.29     5     47.23     34.91     11.29     6     47.42     35.06     11.28     7     47.42     35.06     11.33     8     47.42     35.06     11.33     9     47.18     34.88     11.33    10     24.26     11.99     10.46    11     24.36     12.04     10.50    12     24.31     12.02     10.48    13     24.29     12.01     10.47    14     24.24     11.98     10.45    15     24.35     12.04     10.50    16     24.33     12.03     10.44    17     24.31     12.02     10.48    18     24.27     12.00     10.46    19     24.23     12.04     10.50
 1459051415.01     0     47.43     35.10     11.31     1     47.39     35.07     11.29     2     47.39     35.07     11.29     3     47.39     35.07     11.30     4     47.40     35.08     11.30     5     47.41     35.08     11.30     6     47.21     34.93     11.31     7     47.22     34.94     11.25     8     47.22     34.94     11.25     9     47.22     34.94     11.25    10     24.36     12.06     10.66    11     24.25     12.00     10.61    12     24.40     12.02     10.63    13     24.28     12.01     10.63    14     24.31     12.03     10.64    15     24.19     12.03     10.64    16     24.33     12.04     10.70    17     24.29     12.02     10.63    18     24.29     12.02     10.63    19     24.30     12.03     10.63
 1459051415.21     0     47.57     35.25     11.40     1     47.60     35.28     11.41     2     47.60     35.28     11.41     3     47.61     35.28     11.41     4     47.60     35.28     11.41     5     47.60     35.27     11.41     6     47.60     35.27     11.41     7     47.59     35.27     11.41     8     47.59     35.27     11.41     9     47.58     35.26     11.41    10     24.24     11.96     10.67    11     24.23     11.96     10.67    12     24.11     11.95     10.67    13     24.24     11.96     10.67    14     24.23     11.96     10.67    15     24.36     11.96     10.67    16     24.23     11.95     10.62    17     24.14     11.91     10.69    18     24.28     11.98     10.69    19     24.35     11.95     10.67
 1459051415.42     0     47.56     35.22     11.70     1     47.55     35.21     11.70     2     47.55     35.21     11.70     3     47.55     35.21     11.70     4     47.55     35.21     11.69     5     47.55     35.21     11.69     6     47.55     35.21     11.70     7     47.55     35.21     11.70     8     47.55     35.21     11.70     9     47.55     35.21     11.70    10     24.21     11.95     10.62    11     24.21     11.95     10.62    12     24.22     11.95     10.63    13     24.22     11.95     10.63    14     24.22     11.95     10.63    15     24.13     11.91     10.59    16     24.28     11.98     10.65    17     24.28     11.98     10.60    18     24.15     11.98     10.65    19     24.21     11.95     10.62
 1459051415.63     0     47.32     35.03     11.24     1     47.33     35.04     11.25     2     47.33     35.04     11.25     3     47.33     35.04     11.25     4     47.33     35.04     11.25     5     47.34     35.05     11.25     6     47.57     35.22     11.25     7     47.56     35.21     11.31     8     47.57     35.22     11.31     9     47.57     35.22     11.31    10     24.19     11.94     10.64    11     24.30     11.99     10.63    12     24.29     11.93     10.58    13     24.19     11.94     10.58    14     24.32     12.00     10.64    15     24.30     11.99     10.63    16     24.17     11.92     10.57    17     24.29     11.99     10.63    18     24.31     11.94     10.59    19     24.17     11.93     10.58
 1459051415.83     0     47.42     35.07     11.27     1     47.41     35.07     11.27     2     47.41     35.07     11.27     3     47.40     35.06     11.27     4     47.40     35.06     11.27     5     47.40     35.06     11.27     6     47.17     34.89     11.27     7     47.18     34.89     11.20     8     47.17     34.89     11.20     9     47.17     34.89     11.20    10     24.41     12.10     10.56    11     24.28     12.03     10.55    12     24.40     12.10     10.61    13     24.36     12.07     10.59    14     24.34     12.06     10.58    15     24.31     12.05     10.57    16     24.41     12.10     10.61    17     24.30     12.04     10.56    18     24.28     12.03     10.55    19     24.41     12.10     10.61
 1459051416.04     0     47.25     34.96     11.27     1     47.26     34.96     11.27     2     47.26     34.96     11.27     3     47.27     34.97     11.27     4     47.27     34.97     11.27     5     47.27     34.97     11.27     6     47.26     34.96     11.27     7     47.25     34.96     11.27     8     47.26     34.96     11.27     9     47.26     34.96     11.27    10     24.33     12.06     10.61    11     24.33     12.13     10.67    12     24.32     12.06     10.61    13     24.32     12.12     10.66    14     24.31     12.06     10.61    15     24.33     12.12     10.66    16     24.33     12.07     10.61    17     24.32     12.06     10.66    18     24.43     12.11     10.66    19     24.32     12.06     10.61
 1459051416.24     0     47.14     34.85     11.27     1     47.12     34.84     11.26     2     47.12     34.84     11.26     3     47.12     34.83     11.26     4     47.12     34.83     11.26     5     47.12     35.00     11.26     6     47.35     35.01     11.32     7     47.34     35.00     11.32     8     47.34     35.00     11.31     9     47.34     35.00     11.32    10     24.24     11.99     10.65    11     24.38     12.00     10.66    12     24.28     12.01     10.67    13     24.31     11.97     10.63    14     24.23     11.98     10.64    15     24.27     11.95     10.66    16     24.30     12.02     10.67    17     24.32     12.03     10.63    18     24.24     11.99     10.65    19     24.26     12.00     10.65
 1459051416.45     0     47.35     35.04     11.29     1     47.36     35.04     11.29     2     47.36     35.05     11.29     3     47.35     35.04     11.29     4     47.35     35.04     11.29     5     47.35     34.87     11.29     6     47.36     35.05     11.24     7     47.36     35.05     11.29     8     47.36     35.05     11.29     9     47.35     35.04     11.29    10     24.35     12.07     10.79    11     24.32     12.06     10.72    12     24.29     12.04     10.71    13     24.40     12.10     10.76    14     24.37     12.08     10.80    15     24.43     12.11     10.72    16     24.29     12.04     10.71    17     24.38     12.09     10.75    18     24.32     12.06     10.72    19     24.39     12.09     10.75
 1459051416.65     0     47.15     34.85     11.18     1     47.39     35.02     11.18     2     47.38     35.02     11.24     3     47.39     35.03     11.24     4     47.39     35.03     11.24     5     47.39     35.03     11.24     6     47.16     34.85     11.24     7     47.16     34.86     11.19     8     47.16     34.86     11.19     9     47.17     34.86     11.19    10     24.34     12.07     10.61    11     24.35     12.07     10.62    12     24.40     12.10     10.64    13     24.31     12.06     10.60    14     24.35     12.07     10.56    15     24.27     12.09     10.63    16     24.38     12.09     10.63    17     24.27     12.04     10.58    18     24.41     12.11     10.65    19     24.29     12.05     10.59
 1459051416.86     0     47.43     35.10     11.25     1     47.20     34.93     11.25     2     47.20     34.94     11.19     3     47.20     34.94     11.19     4     47.20     34.93     11.19     5     47.20     34.93     11.19     6     47.19     34.93     11.25     7     47.42     35.09     11.24     8     47.41     35.09     11.24     9     47.40     35.09     11.24    10     24.31     12.04     10.50    11     24.32     12.04     10.56    12     24.29     12.03     10.54    13     24.36     12.07     10.58    14     24.33     12.05     10.56    15     24.31     12.04     10.55    16     24.30     12.04     10.55    17     24.28     12.08     10.59    18     24.29     12.03     10.55    19     24.30     12.04     10.55
 1459051417.06     0     47.95     35.65     11.20     1     47.98     35.66     11.20     2     47.98     35.66     11.20     3     47.97     35.66     11.20     4     47.98     35.66     11.20     5     47.98     35.66     11.20     6     47.98     35.66     11.15     7     47.75     35.67     11.15     8     47.99     35.67     11.20     9     47.99     35.67     11.20    10     24.33     12.06     10.77    11     24.31     12.05     10.71    12     24.33     12.06     10.71    13     24.22     12.00     10.72    14     24.33     12.05     10.71    15     24.33     12.00     10.66    16     24.35     12.07     10.72    17     24.38     12.02     10.68    18     24.24     12.07     10.73    19     24.36     12.07     10.73
 1459051417.27     0     47.38     35.04     11.25     1     47.37     35.04     11.25     2     47.36     35.04     11.25     3     47.37     35.04     11.25     4     47.36     35.03     11.25     5     47.36     35.03     11.25     6     47.36     35.03     11.25     7     47.36     34.86     11.25     8     47.13     34.86     11.19     9     47.11     34.85     11.19    10     24.34     12.05     10.63    11     24.23     12.06     10.69    12     24.32     12.04     10.68    13     24.31     12.10     10.67    14     24.32     12.04     10.67    15     24.32     12.04     10.68    16     24.31     12.04     10.67    17     24.26     12.07     10.70    18     24.39     12.02     10.65    19     24.27     12.02     10.71
 1459051417.47     0     47.28     34.98     11.32     1     47.28     34.99     11.32     2     47.28     34.99     11.32     3     47.29     34.99     11.32     4     47.30     35.00     11.32     5     47.29     35.00     11.32     6     47.30     35.00     11.32     7     47.30     35.00     11.32     8     47.54     35.18     11.38     9     47.55     35.19     11.38    10     24.20     11.93     10.68    11     24.30     11.92     10.67    12     24.17     11.92     10.72    13     24.28     11.91     10.66    14     24.16     11.91     10.66    15     24.29     11.98     10.72    16     24.16     11.91     10.66    17     24.22     11.88     10.63    18     24.23     11.95     10.69    19     24.23     11.95     10.69
 1459051417.68     0     48.76     36.43     11.32     1     48.77     36.43     11.33     2     48.77     36.43     11.33     3     48.77     36.43     11.33     4     48.77     36.43     11.33     5     48.77     36.44     11.33     6     48.78     36.45     11.33     7     48.79     36.45     11.33     8     48.56     36.28     11.28     9     48.57     36.29     11.28    10     24.22     11.93     10.56    11     24.13     11.89     10.52    12     24.15     11.96     10.53    13     24.20     11.92     10.55    14     24.21     11.93     10.56    15     24.09     11.87     10.50    16     24.24     11.94     10.57    17     24.24     11.94     10.57    18     24.13     11.88     10.52    19     24.16     11.96     10.53
