         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1459053150.62     0     25.95     13.68     10.68     1     25.94     13.68     10.68     2     25.94     13.68     10.68     3     25.94     13.68     10.68     4     25.94     13.68     10.68     5     25.94     13.68     10.68     6     25.94     13.68     10.68     7     25.93     13.67     10.68     8     25.93     13.67     10.68     9     25.93     13.67     10.68    10     23.37     11.12     10.75    11     23.49     11.18     10.75    12     23.49     11.18     10.75    13     23.49     11.18     10.75    14     23.50     11.18     10.76    15     23.50     11.18     10.76    16     23.49     11.18     10.75    17     23.49     11.18     10.75    18     23.49     11.18     10.81    19     23.48     11.18     10.75
 1459053150.82     0     24.91     12.67     10.63     1     24.91     12.67     10.63     2     24.91     12.67     10.63     3     24.91     12.67     10.63     4     24.91     12.67     10.63     5     24.91     12.67     10.63     6     24.91     12.67     10.63     7     24.91     12.67     10.63     8     24.91     12.67     10.63     9     24.91     12.67     10.63    10     23.83     11.47     10.89    11     23.72     11.42     10.90    12     23.72     11.42     10.90    13     23.71     11.41     10.90    14     23.71     11.41     10.89    15     23.71     11.41     10.89    16     23.71     11.41     10.89    17     23.71     11.47     10.89    18     23.83     11.47     10.90    19     23.73     11.42     10.90
 1459053151.02     0     53.85     41.53     11.14     1     53.85     41.53     11.15     2     53.86     41.54     11.15     3     53.86     41.54     11.15     4     53.87     41.55     11.15     5     53.87     41.55     11.15     6     53.87     41.55     11.15     7     53.88     41.56     11.15     8     53.89     41.56     11.15     9     53.89     41.56     11.15    10     23.88     11.67     10.87    11     23.99     11.66     10.86    12     23.99     11.66     10.86    13     23.99     11.66     10.86    14     23.99     11.66     10.86    15     23.98     11.66     10.86    16     23.98     11.66     10.86    17     23.99     11.60     10.86    18     23.86     11.66     10.81    19     23.99     11.66     10.86
 1459053151.22     0     48.85     36.48     11.59     1     48.83     36.47     11.59     2     48.82     36.46     11.59     3     48.81     36.46     11.59     4     48.81     36.45     11.58     5     48.81     36.45     11.58     6     48.79     36.44     11.58     7     48.79     36.44     11.58     8     48.78     36.44     11.58     9     48.78     36.43     11.58    10     23.98     11.56     10.77    11     23.85     11.56     10.76    12     23.84     11.56     10.76    13     23.82     11.60     10.80    14     23.91     11.59     10.79    15     23.89     11.58     10.78    16     23.87     11.57     10.77    17     23.98     11.63     10.82    18     23.98     11.57     10.82    19     23.85     11.56     10.76
 1459053151.43     0     47.12     34.80     11.58     1     47.35     34.97     11.58     2     47.35     34.97     11.64     3     47.35     34.97     11.64     4     47.36     34.98     11.64     5     47.35     34.97     11.64     6     47.36     34.98     11.64     7     47.35     34.97     11.64     8     47.35     34.97     11.64     9     47.35     34.97     11.64    10     23.93     11.66     10.77    11     23.92     11.71     10.82    12     24.04     11.71     10.81    13     24.06     11.66     10.77    14     23.93     11.66     10.77    15     24.06     11.72     10.83    16     24.07     11.73     10.83    17     23.93     11.66     10.77    18     23.92     11.65     10.76    19     24.04     11.71     10.81
 1459053151.63     0     47.03     34.72     11.28     1     46.81     34.55     11.28     2     46.81     34.56     11.22     3     46.81     34.55     11.22     4     46.81     34.55     11.22     5     47.04     34.72     11.22     6     47.03     34.72     11.28     7     47.03     34.72     11.28     8     47.03     34.72     11.28     9     47.02     34.72     11.28    10     24.11     11.80     10.82    11     24.21     11.80     10.81    12     24.08     11.79     10.81    13     24.06     11.84     10.85    14     24.17     11.84     10.85    15     24.01     11.81     10.83    16     24.12     11.81     10.82    17     24.12     11.81     10.82    18     24.09     11.85     10.86    19     24.08     11.79     10.80
 1459053151.84     0     47.30     34.94     11.28     1     47.29     34.93     11.27     2     47.29     34.93     11.27     3     47.29     34.93     11.27     4     47.29     34.94     11.28     5     47.06     34.77     11.28     6     47.06     34.77     11.22     7     47.06     34.77     11.22     8     47.06     34.77     11.22     9     47.06     34.77     11.22    10     24.20     11.86     10.90    11     24.07     11.79     10.84    12     24.06     11.85     10.89    13     24.15     11.77     10.82    14     24.14     11.83     10.87    15     24.14     11.77     10.82    16     24.04     11.83     10.88    17     24.15     11.83     10.88    18     24.16     11.78     10.83    19     24.04     11.77     10.88
 1459053152.04     0     47.37     34.98     11.98     1     47.36     34.98     11.98     2     47.36     34.98     11.98     3     47.35     34.97     11.98     4     47.34     34.96     11.98     5     47.34     34.96     11.98     6     47.34     34.96     11.98     7     47.35     34.97     11.98     8     47.34     34.96     11.98     9     47.34     34.96     11.98    10     23.98     11.69     10.84    11     24.00     11.70     10.85    12     24.02     11.65     10.86    13     24.05     11.72     10.87    14     23.96     11.68     10.83    15     24.09     11.74     10.89    16     24.07     11.67     10.83    17     23.94     11.66     10.82    18     24.07     11.73     10.88    19     24.07     11.73     10.83
 1459053152.25     0     47.33     35.03     11.06     1     47.34     35.04     11.06     2     47.34     35.04     11.06     3     47.35     35.05     11.06     4     47.35     35.05     11.06     5     47.35     35.05     11.06     6     47.36     35.06     11.07     7     47.36     35.05     11.06     8     47.35     35.05     11.06     9     47.35     35.05     11.06    10     24.09     11.79     10.81    11     24.10     11.80     10.81    12     24.20     11.85     10.80    13     24.07     11.78     10.79    14     24.07     11.79     10.80    15     23.99     11.75     10.76    16     24.13     11.81     10.82    17     24.13     11.81     10.82    18     24.01     11.75     10.77    19     24.04     11.83     10.84
 1459053152.45     0     47.45     35.11     11.35     1     47.44     35.10     11.35     2     47.44     35.11     11.35     3     47.43     35.10     11.35     4     47.43     35.10     11.35     5     47.43     35.10     11.35     6     47.43     35.10     11.34     7     47.43     35.10     11.35     8     47.43     35.10     11.34     9     47.43     35.10     11.34    10     24.07     11.86     10.85    11     24.18     11.86     10.84    12     24.06     11.80     10.79    13     24.21     11.87     10.86    14     24.17     11.85     10.84    15     24.14     11.90     10.88    16     24.10     11.82     10.81    17     24.10     11.82     10.81    18     24.11     11.89     10.87    19     24.21     11.82     10.81
 1459053152.66     0     47.13     34.85     11.25     1     47.14     34.85     11.26     2     47.14     34.85     11.26     3     47.14     34.86     11.26     4     47.15     34.86     11.26     5     47.15     34.86     11.26     6     47.15     34.86     11.26     7     47.15     34.86     11.26     8     47.15     34.86     11.26     9     47.16     34.86     11.26    10     24.23     11.83     10.79    11     24.09     11.82     10.84    12     24.20     11.88     10.83    13     24.10     11.82     10.78    14     24.15     11.85     10.81    15     24.18     11.81     10.77    16     24.09     11.88     10.84    17     24.22     11.89     10.84    18     24.21     11.82     10.78    19     24.19     11.87     10.83
