         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1459055290.10     0     30.16     17.90     10.65     1     30.16     17.90     10.65     2     30.15     17.90     10.65     3     30.15     17.90     10.65     4     30.15     17.90     10.65     5     30.15     17.90     10.65     6     30.15     17.90     10.65     7     30.15     17.90     10.65     8     30.14     17.89     10.65     9     30.14     17.89     10.65    10     23.46     11.15     10.85    11     23.45     11.15     10.85    12     23.52     11.18     10.88    13     23.49     11.17     10.87    14     23.54     11.19     10.89    15     23.64     11.24     10.94    16     23.48     11.16     10.86    17     23.53     11.18     10.89    18     23.39     11.12     10.82    19     23.39     11.11     10.82
 1459055290.31     0     22.23     10.02     10.56     1     22.23     10.02     10.56     2     22.23     10.03     10.56     3     22.24     10.03     10.57     4     22.24     10.03     10.57     5     22.24     10.03     10.57     6     22.24     10.03     10.57     7     22.24     10.03     10.57     8     22.25     10.03     10.57     9     22.25     10.03     10.57    10     23.20     10.93     10.74    11     23.20     10.94     10.74    12     23.14     10.91     10.71    13     23.17     10.92     10.73    14     23.13     10.90     10.71    15     23.03     10.85     10.66    16     23.20     10.93     10.74    17     23.15     10.91     10.71    18     23.28     10.97     10.77    19     23.28     10.97     10.78
 1459055290.51     0     39.84     27.52     11.05     1     39.84     27.52     11.05     2     39.84     27.52     11.05     3     39.84     27.52     11.05     4     39.84     27.52     11.05     5     39.84     27.52     11.05     6     39.84     27.52     11.05     7     39.84     27.52     11.05     8     39.84     27.52     11.05     9     39.84     27.52     11.05    10     23.72     11.38     10.93    11     23.71     11.38     10.93    12     23.71     11.37     10.93    13     23.71     11.37     10.93    14     23.70     11.37     10.92    15     23.70     11.37     10.92    16     23.57     11.31     10.87    17     23.57     11.31     10.86    18     23.58     11.31     10.87    19     23.58     11.37     10.92
 1459055290.71     0     56.33     43.97     11.47     1     56.31     43.95     11.47     2     56.29     43.94     11.47     3     56.28     43.93     11.47     4     56.28     43.93     11.47     5     56.27     43.93     11.46     6     56.27     43.92     11.46     7     56.26     43.91     11.46     8     56.26     43.91     11.46     9     56.25     43.91     11.46    10     23.79     11.50     10.90    11     23.79     11.50     10.90    12     23.79     11.50     10.90    13     23.88     11.54     10.94    14     23.88     11.54     10.94    15     23.87     11.53     10.94    16     23.87     11.53     10.93    17     23.84     11.52     10.92    18     23.84     11.52     10.92    19     23.95     11.51     10.92
 1459055290.92     0     46.79     34.52     11.09     1     46.79     34.52     11.09     2     46.79     34.53     11.09     3     46.79     34.53     11.09     4     46.80     34.53     11.09     5     46.79     34.52     11.09     6     46.79     34.52     11.09     7     46.79     34.52     11.09     8     47.02     34.69     11.09     9     47.02     34.69     11.15    10     23.90     11.62     10.92    11     23.97     11.65     10.90    12     23.96     11.64     10.90    13     23.85     11.59     10.84    14     23.85     11.64     10.90    15     23.97     11.64     10.90    16     23.96     11.64     10.90    17     23.96     11.64     10.90    18     23.96     11.64     10.90    19     23.84     11.64     10.89
 1459055291.12     0     47.23     34.89     11.58     1     47.23     34.89     11.58     2     47.23     34.89     11.58     3     47.23     35.06     11.58     4     47.45     35.05     11.64     5     47.46     35.06     11.64     6     47.46     35.06     11.64     7     47.46     35.06     11.64     8     47.23     34.89     11.64     9     47.23     34.89     11.58    10     24.28     11.91     10.99    11     24.21     11.88     11.01    12     24.22     11.88     11.01    13     24.24     11.89     11.02    14     24.25     11.85     10.97    15     24.14     11.85     10.97    16     24.14     11.85     10.97    17     24.15     11.85     10.98    18     24.27     11.91     11.03    19     24.27     11.86     10.98
 1459055291.32     0     47.26     34.91     11.36     1     47.27     34.91     11.37     2     47.27     34.91     11.37     3     47.26     34.73     11.36     4     47.03     34.74     11.31     5     47.03     34.74     11.31     6     47.03     34.74     11.31     7     47.03     34.74     11.31     8     47.02     34.73     11.31     9     47.03     34.73     11.31    10     24.15     11.85     10.96    11     24.13     11.83     10.95    12     24.08     11.87     10.98    13     24.19     11.87     10.98    14     24.18     11.86     10.97    15     24.15     11.85     10.96    16     24.25     11.90     11.00    17     24.22     11.88     10.99    18     24.07     11.81     10.92    19     24.19     11.87     10.98
 1459055291.53     0     47.00     34.70     11.53     1     47.01     34.70     11.54     2     47.25     34.88     11.59     3     47.25     34.88     11.59     4     47.24     34.87     11.59     5     47.23     34.86     11.59     6     47.23     34.86     11.59     7     47.22     34.86     11.59     8     47.22     34.86     11.59     9     47.22     34.85     11.59    10     24.16     11.85     10.91    11     24.17     11.86     10.91    12     24.16     11.80     10.91    13     24.15     11.85     10.90    14     24.13     11.84     10.90    15     24.15     11.85     10.96    16     24.13     11.84     10.90    17     24.16     11.85     10.91    18     24.26     11.90     10.96    19     24.11     11.83     10.89
 1459055291.73     0     47.47     35.11     11.23     1     47.46     35.11     11.23     2     47.22     34.93     11.17     3     47.21     34.93     11.17     4     47.22     34.93     11.17     5     47.22     34.93     11.17     6     47.21     34.92     11.17     7     47.21     34.92     11.17     8     47.21     34.93     11.17     9     47.22     34.93     11.17    10     24.26     11.97     10.94    11     24.26     11.97     10.94    12     24.39     12.04     10.95    13     24.25     11.96     10.94    14     24.36     12.02     10.98    15     24.36     12.02     10.93    16     24.25     11.97     10.94    17     24.26     11.97     10.94    18     24.28     11.98     10.95    19     24.29     11.99     10.95
 1459055291.94     0     47.41     35.10     11.36     1     47.42     35.11     11.36     2     47.42     35.11     11.36     3     47.44     35.12     11.36     4     47.44     35.12     11.36     5     47.44     35.12     11.36     6     47.45     35.13     11.37     7     47.45     35.13     11.37     8     47.44     35.12     11.36     9     47.44     35.12     11.36    10     24.23     11.92     10.83    11     24.23     11.92     10.83    12     24.23     11.92     10.83    13     24.25     11.93     10.84    14     24.12     11.86     10.84    15     24.24     11.92     10.84    16     24.25     11.93     10.84    17     24.23     11.92     10.84    18     24.22     11.91     10.83    19     24.21     11.91     10.83
 1459055292.14     0     47.18     34.93     11.31     1     47.41     35.10     11.36     2     47.41     35.09     11.36     3     47.41     35.09     11.36     4     47.40     35.09     11.36     5     47.40     35.09     11.36     6     47.40     35.09     11.36     7     47.41     35.10     11.36     8     47.40     35.09     11.36     9     47.41     35.10     11.36    10     24.33     12.02     10.96    11     24.33     12.02     10.95    12     24.22     12.02     10.96    13     24.33     12.02     10.95    14     24.34     12.02     10.90    15     24.32     12.01     10.95    16     24.30     12.00     10.94    17     24.31     12.06     11.00    18     24.29     12.00     10.93    19     24.29     12.00     10.94
 1459055292.35     0     47.15     34.84     11.40     1     46.92     34.84     11.34     2     47.16     34.84     11.40     3     47.16     34.84     11.40     4     47.16     34.84     11.40     5     47.16     34.85     11.40     6     47.16     34.85     11.40     7     47.16     34.84     11.40     8     47.17     34.85     11.40     9     47.17     34.85     11.40    10     24.16     11.90     10.92    11     24.30     11.97     10.93    12     24.30     11.91     10.88    13     24.29     11.96     10.93    14     24.30     11.97     10.94    15     24.21     11.93     10.90    16     24.22     11.93     10.90    17     24.24     11.94     10.91    18     24.27     11.95     10.92    19     24.35     12.00     10.96
