         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1459050410.61     0     49.26     36.90     11.38     1     49.26     36.90     11.38     2     49.26     36.90     11.38     3     49.26     36.90     11.38     4     49.27     36.91     11.38     5     49.27     36.91     11.38     6     49.27     36.91     11.38     7     49.27     36.91     11.38     8     49.27     36.91     11.38     9     49.28     36.91     11.38    10     23.66     11.36     10.73    11     23.67     11.36     10.74    12     23.66     11.36     10.73    13     23.67     11.31     10.68    14     23.56     11.31     10.68    15     23.55     11.31     10.68    16     23.55     11.31     10.68    17     23.55     11.31     10.68    18     23.55     11.31     10.68    19     23.67     11.36     10.73
 1459050410.81     0     54.21     41.88     11.15     1     54.18     41.86     11.14     2     54.18     41.85     11.14     3     54.16     41.84     11.14     4     54.15     41.84     11.14     5     54.14     41.83     11.13     6     54.13     41.82     11.13     7     54.12     41.81     11.13     8     54.11     41.80     11.13     9     54.10     41.80     11.13    10     24.10     11.85     10.55    11     24.09     11.84     10.55    12     24.08     11.84     10.55    13     24.08     11.84     10.54    14     24.07     11.90     10.59    15     24.16     11.88     10.58    16     24.12     11.92     10.61    17     24.22     11.91     10.60    18     24.21     11.90     10.60    19     24.06     11.83     10.53
 1459050411.02     0     47.26     34.99     11.25     1     47.25     34.98     11.25     2     47.25     34.98     11.25     3     47.25     34.99     11.25     4     47.26     34.99     11.25     5     47.26     34.99     11.25     6     47.27     35.00     11.25     7     47.27     35.00     11.25     8     47.28     35.01     11.26     9     47.28     35.01     11.26    10     24.12     11.87     10.55    11     24.24     11.93     10.60    12     24.22     11.92     10.60    13     24.22     11.92     10.60    14     24.21     11.85     10.54    15     24.12     11.87     10.55    16     24.16     11.83     10.52    17     24.06     11.90     10.58    18     24.18     11.90     10.58    19     24.21     11.91     10.59
 1459050411.22     0     47.18     34.89     11.22     1     47.20     34.90     11.22     2     47.20     34.90     11.22     3     47.20     34.90     11.22     4     47.20     34.90     11.22     5     47.20     34.91     11.22     6     47.20     34.91     11.22     7     47.20     34.90     11.22     8     47.20     34.90     11.22     9     47.20     34.90     11.22    10     24.14     11.87     10.73    11     24.14     11.87     10.67    12     24.16     11.88     10.68    13     24.16     11.88     10.68    14     24.17     11.88     10.69    15     24.18     11.88     10.69    16     24.17     11.88     10.69    17     24.18     11.83     10.64    18     24.06     11.83     10.64    19     24.05     11.82     10.69
 1459050411.42     0     47.20     34.89     11.32     1     47.20     34.89     11.33     2     47.20     34.89     11.32     3     47.21     34.89     11.33     4     47.20     34.89     11.33     5     47.20     34.89     11.32     6     47.20     34.89     11.33     7     47.20     34.89     11.32     8     47.20     34.89     11.32     9     47.20     34.89     11.33    10     24.09     11.81     10.60    11     23.98     11.75     10.60    12     24.10     11.81     10.65    13     24.09     11.81     10.65    14     24.09     11.81     10.65    15     24.08     11.81     10.65    16     24.08     11.81     10.65    17     24.08     11.80     10.64    18     24.08     11.80     10.64    19     24.08     11.86     10.65
 1459050411.63     0     47.03     34.73     11.17     1     47.03     34.73     11.17     2     47.03     34.74     11.17     3     47.04     34.74     11.17     4     47.03     34.74     11.17     5     47.04     34.74     11.17     6     47.04     34.74     11.17     7     47.04     34.74     11.17     8     47.04     34.74     11.17     9     47.03     34.73     11.17    10     24.02     11.74     10.65    11     24.02     11.74     10.70    12     24.02     11.74     10.65    13     24.01     11.74     10.65    14     24.00     11.74     10.64    15     23.99     11.73     10.64    16     23.98     11.72     10.69    17     24.09     11.78     10.68    18     24.07     11.77     10.67    19     24.03     11.75     10.66
 1459050411.83     0     47.07     34.76     11.28     1     47.06     34.75     11.28     2     47.06     34.75     11.28     3     47.05     34.75     11.28     4     47.05     34.75     11.28     5     47.04     34.74     11.28     6     47.03     34.74     11.28     7     47.26     34.90     11.33     8     47.26     34.90     11.33     9     47.25     34.90     11.33    10     24.25     11.94     10.56    11     24.22     11.92     10.49    12     24.06     11.85     10.53    13     24.16     11.89     10.52    14     24.15     11.89     10.56    15     24.23     11.93     10.55    16     24.21     11.92     10.48    17     24.17     11.90     10.52    18     24.14     11.95     10.56    19     24.23     11.87     10.49
 1459050412.04     0     47.29     34.96     11.34     1     47.28     34.96     11.34     2     47.29     34.96     11.34     3     47.29     34.97     11.34     4     47.30     34.97     11.34     5     47.30     34.97     11.34     6     47.29     34.97     11.34     7     47.07     34.80     11.29     8     47.08     34.81     11.29     9     47.08     34.81     11.29    10     24.16     11.93     10.36    11     24.18     12.00     10.42    12     24.30     12.00     10.37    13     24.19     11.95     10.37    14     24.30     12.00     10.37    15     24.20     11.95     10.37    16     24.22     11.96     10.43    17     24.23     11.97     10.39    18     24.26     11.92     10.35    19     24.19     12.00     10.42
 1459050412.24     0     47.33     35.04     11.17     1     47.31     35.02     11.17     2     47.53     35.19     11.22     3     47.51     35.17     11.22     4     47.51     35.17     11.22     5     47.50     35.16     11.22     6     47.50     35.16     11.22     7     47.49     35.16     11.21     8     47.47     35.14     11.21     9     47.47     35.14     11.21    10     24.23     11.95     10.33    11     24.23     11.88     10.27    12     24.24     11.95     10.33    13     24.24     11.95     10.33    14     24.11     11.94     10.32    15     24.23     11.95     10.33    16     24.21     11.93     10.26    17     24.21     11.94     10.31    18     24.20     11.93     10.31    19     24.20     11.87     10.26
 1459050412.45     0     47.55     35.19     11.35     1     47.54     35.18     11.34     2     47.31     35.01     11.29     3     47.31     35.01     11.29     4     47.31     35.01     11.29     5     47.32     35.01     11.29     6     47.31     35.00     11.29     7     47.31     35.01     11.29     8     47.30     35.00     11.29     9     47.30     35.00     11.29    10     24.19     11.92     10.23    11     24.19     11.98     10.28    12     24.16     11.91     10.22    13     24.14     11.96     10.26    14     24.25     11.90     10.20    15     24.13     11.96     10.25    16     24.25     11.95     10.25    17     24.12     11.95     10.25    18     24.21     11.93     10.24    19     24.19     11.93     10.28
