         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1459051646.97     0     40.57     28.26     11.13     1     40.57     28.26     11.13     2     40.57     28.26     11.13     3     40.58     28.26     11.13     4     40.58     28.26     11.13     5     40.59     28.27     11.13     6     40.59     28.27     11.14     7     40.60     28.27     11.14     8     40.60     28.28     11.14     9     40.60     28.28     11.14    10     23.25     10.96     10.71    11     23.26     10.97     10.71    12     23.14     10.91     10.66    13     23.15     10.92     10.66    14     23.16     10.92     10.67    15     23.28     10.98     10.72    16     23.28     10.98     10.72    17     23.28     10.98     10.72    18     23.28     10.98     10.72    19     23.28     10.98     10.72
 1459051647.18     0     57.22     44.88     10.99     1     57.18     44.86     10.98     2     57.18     44.85     10.98     3     57.15     44.83     10.98     4     57.13     44.82     10.97     5     57.11     44.80     10.97     6     57.10     44.79     10.97     7     57.08     44.77     10.96     8     57.06     44.76     10.96     9     57.30     44.94     11.01    10     23.99     11.80     10.60    11     24.10     11.80     10.60    12     24.04     11.77     10.62    13     24.12     11.81     10.60    14     24.08     11.79     10.59    15     24.03     11.77     10.57    16     24.00     11.75     10.55    17     23.96     11.79     10.59    18     24.01     11.76     10.56    19     24.08     11.79     10.59
 1459051647.38     0     47.31     35.03     11.31     1     47.32     35.04     11.31     2     47.33     35.04     11.31     3     47.34     35.05     11.32     4     47.36     35.07     11.32     5     47.60     35.25     11.38     6     47.60     35.25     11.38     7     47.61     35.25     11.38     8     47.62     35.26     11.38     9     47.38     35.08     11.33    10     24.22     11.83     10.57    11     24.09     11.82     10.57    12     24.13     11.84     10.53    13     24.03     11.79     10.54    14     24.06     11.81     10.61    15     24.09     11.82     10.57    16     24.11     11.84     10.58    17     24.14     11.79     10.54    18     24.08     11.82     10.56    19     24.10     11.83     10.57
 1459051647.58     0     47.23     34.90     11.21     1     47.23     34.90     11.21     2     47.23     34.89     11.21     3     47.22     34.89     11.21     4     47.21     34.88     11.21     5     46.97     34.71     11.15     6     46.97     34.71     11.15     7     46.97     34.70     11.15     8     46.97     34.70     11.15     9     46.96     34.70     11.15    10     24.06     11.82     10.60    11     24.08     11.83     10.61    12     24.08     11.83     10.61    13     24.11     11.84     10.62    14     24.23     11.90     10.57    15     24.09     11.84     10.56    16     24.09     11.84     10.56    17     24.19     11.88     10.61    18     24.19     11.88     10.61    19     24.09     11.84     10.57
 1459051647.79     0     47.08     34.80     11.25     1     47.09     34.81     11.25     2     47.09     34.81     11.25     3     47.09     34.81     11.26     4     47.10     34.82     11.26     5     47.10     34.82     11.26     6     47.11     34.82     11.26     7     47.11     34.83     11.26     8     47.11     34.83     11.26     9     47.35     35.00     11.26    10     24.06     11.81     10.63    11     24.06     11.87     10.69    12     24.18     11.87     10.68    13     24.18     11.86     10.68    14     24.06     11.81     10.68    15     24.08     11.82     10.69    16     24.10     11.82     10.70    17     23.99     11.77     10.65    18     24.11     11.83     10.70    19     24.11     11.83     10.70
 1459051647.99     0     47.15     34.85     11.28     1     47.16     34.85     11.28     2     47.15     34.85     11.28     3     47.14     34.84     11.27     4     47.14     34.84     11.27     5     47.14     34.84     11.27     6     47.14     34.84     11.27     7     47.37     35.01     11.33     8     47.37     35.01     11.33     9     47.13     34.83     11.33    10     24.08     11.86     10.65    11     24.15     11.78     10.59    12     23.98     11.81     10.62    13     24.07     11.79     10.61    14     24.06     11.79     10.60    15     24.05     11.84     10.65    16     24.06     11.79     10.60    17     24.05     11.84     10.65    18     24.02     11.77     10.59    19     24.02     11.77     10.59
 1459051648.20     0     47.18     34.85     11.26     1     47.18     34.85     11.25     2     47.19     34.85     11.26     3     47.19     34.86     11.26     4     47.19     34.86     11.26     5     47.20     34.86     11.26     6     47.19     34.86     11.26     7     46.96     34.69     11.20     8     46.97     34.69     11.20     9     46.96     34.69     11.20    10     24.10     11.75     10.43    11     23.98     11.81     10.48    12     24.15     11.78     10.45    13     24.01     11.77     10.49    14     24.11     11.82     10.48    15     24.12     11.77     10.43    16     24.08     11.81     10.47    17     24.19     11.80     10.46    18     24.09     11.81     10.47    19     24.06     11.80     10.46
 1459051648.40     0     47.24     34.93     11.33     1     47.23     34.92     11.33     2     47.22     34.92     11.33     3     47.22     34.92     11.33     4     47.22     34.91     11.33     5     47.22     34.91     11.32     6     47.22     34.91     11.33     7     47.21     34.91     11.32     8     47.20     34.90     11.32     9     47.21     34.91     11.32    10     24.26     12.00     10.44    11     24.29     11.95     10.40    12     24.27     12.00     10.45    13     24.26     12.06     10.44    14     24.25     11.99     10.44    15     24.22     11.98     10.43    16     24.34     12.04     10.48    17     24.20     11.97     10.42    18     24.30     12.02     10.46    19     24.30     12.02     10.46
 1459051648.60     0     47.38     35.05     11.30     1     47.38     35.05     11.30     2     47.39     35.06     11.30     3     47.38     35.05     11.30     4     47.38     35.05     11.30     5     47.39     35.06     11.30     6     47.39     35.06     11.30     7     47.39     35.06     11.30     8     47.40     35.06     11.30     9     47.39     35.06     11.30    10     24.27     11.98     10.29    11     24.25     11.97     10.28    12     24.14     11.98     10.28    13     24.29     11.93     10.24    14     24.17     11.94     10.30    15     24.29     11.99     10.30    16     24.16     11.93     10.24    17     24.18     11.94     10.30    18     24.20     11.95     10.26    19     24.21     11.95     10.26
 1459051648.81     0     47.26     34.97     11.36     1     47.26     34.97     11.36     2     47.26     34.97     11.36     3     47.26     34.97     11.36     4     47.25     34.97     11.36     5     47.25     34.96     11.36     6     47.24     34.96     11.36     7     47.24     34.96     11.36     8     47.24     34.96     11.36     9     47.24     34.96     11.36    10     24.25     12.01     10.26    11     24.36     12.07     10.26    12     24.35     12.00     10.20    13     24.23     12.06     10.25    14     24.36     12.06     10.20    15     24.24     12.01     10.20    16     24.27     12.02     10.27    17     24.40     12.08     10.22    18     24.27     12.02     10.22    19     24.26     12.08     10.26
 1459051649.01     0     47.25     34.97     11.26     1     47.26     34.98     11.26     2     47.26     34.98     11.26     3     47.26     34.98     11.26     4     47.26     34.98     11.26     5     47.50     35.16     11.32     6     47.50     35.16     11.32     7     47.50     35.16     11.32     8     47.51     35.16     11.32     9     47.52     35.17     11.32    10     24.34     12.03     10.39    11     24.26     11.99     10.40    12     24.26     11.99     10.40    13     24.26     12.00     10.41    14     24.25     11.99     10.40    15     24.25     12.05     10.45    16     24.35     12.04     10.39    17     24.19     11.96     10.38    18     24.30     12.02     10.42    19     24.30     11.96     10.37
