         #Time  Core     P_PKG     P_PP0    P_DRAM
 1459082451.39     0     18.61      6.36     10.26
 1459082451.59     0     18.42      6.24     10.20
 1459082451.79     0     18.51      6.26     10.30
 1459082451.99     0     18.51      6.26     10.25
 1459082452.19     0     18.49      6.30     10.11
 1459082452.39     0     18.48      6.23     10.30
 1459082452.59     0     21.06      8.87     10.25
 1459082452.79     0     21.57      9.32     10.20
 1459082452.99     0     18.51      6.26     10.15
 1459082453.19     0     18.65      6.46     10.25
 1459082453.39     0     18.50      6.26     10.20
 1459082453.59     0     18.40      6.21     10.10
 1459082453.79     0     18.47      6.23      9.96
 1459082453.99     0     18.55      6.35     10.19
 1459082454.19     0     18.56      6.31     10.15
 1459082454.40     0     18.49      6.24     10.25
 1459082454.60     0     18.46      6.28     10.20
 1459082454.80     0     18.51      6.26     10.16
 1459082455.00     0     18.40      6.21     10.15
 1459082455.20     0     18.66      6.41     10.16
 1459082455.40     0     18.50      6.25     10.20
 1459082455.60     0     20.29      8.10     10.23
 1459082455.80     0     18.50      6.25     10.20
 1459082456.00     0     18.38      6.20     10.20
 1459082456.20     0     25.82     13.57     10.13
 1459082456.40     0     25.70     13.51     10.15
 1459082456.60     0     25.83     13.58     10.30
 1459082456.80     0     25.84     13.59     10.25
 1459082457.00     0     25.70     13.51     10.16
 1459082457.20     0     22.98     10.73     10.21
 1459082457.40     0     18.41      6.23     10.15
 1459082457.60     0     18.52      6.28     10.16
 1459082457.80     0     18.49      6.24     10.25
 1459082458.00     0     18.40      6.22     10.15
 1459082458.20     0     18.58      6.33     10.16
 1459082458.40     0     18.50      6.31     10.11
 1459082458.60     0     20.34      8.09     10.18
 1459082458.80     0     18.53      6.29     10.25
 1459082459.00     0     19.93      7.74     10.24
 1459082459.20     0     18.57      6.32     10.21
 1459082459.40     0     18.42      6.23     10.20
 1459082459.60     0     18.50      6.25     10.15
 1459082459.80     0     18.49      6.24     10.11
 1459082460.00     0     18.38      6.19     10.20
 1459082460.20     0     18.57      6.32     10.25
 1459082460.40     0     18.39      6.21     10.20
 1459082460.60     0     18.55      6.30     10.20
 1459082460.80     0     18.46      6.22     10.15
 1459082461.00     0     18.38      6.20     10.15
 1459082461.20     0     18.65      6.40     10.16
 1459082461.40     0     18.41      6.22     10.10
 1459082461.60     0     20.18      7.93     10.28
 1459082461.80     0     18.39      6.20     10.20
 1459082462.00     0     18.58      6.33     10.30
 1459082462.20     0     18.52      6.28     10.20
 1459082462.40     0     18.41      6.22     10.15
 1459082462.60     0     18.57      6.32     10.11
 1459082462.80     0     18.50      6.25     10.30
 1459082463.00     0     18.43      6.24     10.20
 1459082463.20     0     18.71      6.46     10.31
 1459082463.40     0     18.40      6.21     10.10
 1459082463.60     0     18.57      6.32     10.16
 1459082463.80     0     18.59      6.40     10.21
 1459082464.00     0     18.69      6.45     10.07
 1459082464.20     0     18.75      6.50     10.31
 1459082464.40     0     18.62      6.43     10.07
 1459082464.60     0     20.65      8.40     10.29
 1459082464.80     0     25.95     13.76     10.11
 1459082465.00     0     26.17     13.91     10.23
 1459082465.20     0     21.67      9.48     10.30
 1459082465.40     0     18.69      6.44     10.26
 1459082465.60     0     18.46      6.27     10.25
 1459082465.80     0     18.48      6.23     10.11
 1459082466.00     0     18.51      6.26     10.25
 1459082466.20     0     18.47      6.28     10.20
