         #Time  Core     P_PKG     P_PP0    P_DRAM
 1459083275.65     0     18.44      6.25     10.10
 1459083275.85     0     18.45      6.21     10.25
 1459083276.05     0     18.96      6.71     10.30
 1459083276.25     0     19.63      7.45     10.26
 1459083276.45     0     18.46      6.21     10.34
 1459083276.65     0     18.39      6.20     10.15
 1459083276.85     0     18.50      6.26     10.25
 1459083277.05     0     18.50      6.26     10.25
 1459083277.25     0     18.46      6.27     10.29
 1459083277.45     0     19.01      6.76     10.16
 1459083277.65     0     18.37      6.19     10.29
 1459083277.85     0     18.45      6.20     10.25
 1459083278.05     0     18.56      6.31     10.11
 1459083278.25     0     18.37      6.18     10.24
 1459083278.45     0     18.45      6.21     10.20
 1459083278.65     0     18.77      6.59     10.13
 1459083278.85     0     18.52      6.27     10.29
 1459083279.05     0     18.89      6.64     10.35
 1459083279.25     0     20.20      8.01     10.21
 1459083279.45     0     25.74     13.49     10.25
 1459083279.65     0     21.75      9.56     10.25
 1459083279.85     0     18.48      6.23     10.29
 1459083280.05     0     18.50      6.25     10.11
 1459083280.25     0     18.48      6.30     10.20
 1459083280.45     0     18.53      6.28     10.25
 1459083280.65     0     18.53      6.28     10.30
 1459083280.85     0     18.43      6.25     10.33
 1459083281.05     0     18.53      6.26     10.17
 1459083281.25     0     18.44      6.26     10.20
 1459083281.45     0     18.46      6.22     10.20
 1459083281.65     0     18.35      6.16     10.20
 1459083281.85     0     18.53      6.29     10.25
 1459083282.05     0     18.73      6.48     10.21
 1459083282.25     0     19.83      7.64     10.17
 1459083282.45     0     18.48      6.23     10.16
 1459083282.65     0     18.48      6.29     10.16
 1459083282.85     0     18.51      6.26     10.11
 1459083283.05     0     18.62      6.37     10.30
 1459083283.25     0     18.38      6.20     10.10
 1459083283.46     0     18.49      6.25     10.20
 1459083283.66     0     18.41      6.22     10.01
 1459083283.86     0     18.45      6.20     10.20
 1459083284.06     0     18.50      6.25     10.16
 1459083284.26     0     18.36      6.18     10.10
 1459083284.46     0     18.50      6.27     10.24
 1459083284.66     0     18.46      6.24     10.23
 1459083284.86     0     18.46      6.21     10.20
 1459083285.06     0     18.40      6.21     10.20
 1459083285.26     0     20.24      7.99     10.27
 1459083285.46     0     18.49      6.25     10.35
 1459083285.66     0     18.37      6.18     10.24
 1459083285.86     0     18.45      6.21     10.20
 1459083286.06     0     18.49      6.24     10.25
 1459083286.26     0     18.45      6.26     10.29
 1459083286.46     0     18.44      6.19     10.30
 1459083286.66     0     18.43      6.25     10.25
 1459083286.86     0     18.47      6.23     10.34
 1459083287.06     0     18.53      6.28     10.30
