         #Time  Core     P_PKG     P_PP0    P_DRAM
 1459088236.48     0     27.57     15.31     10.16
 1459088236.68     0     27.33     15.14     10.15
 1459088236.88     0     27.47     15.22     10.06
 1459088237.08     0     27.48     15.23     10.30
 1459088237.28     0     27.37     15.18     10.15
 1459088237.48     0     27.49     15.23     10.25
 1459088237.68     0     27.35     15.16     10.15
 1459088237.88     0     27.48     15.23     10.25
 1459088238.08     0     27.35     15.16     10.20
 1459088238.28     0     27.47     15.22     10.21
 1459088238.48     0     27.36     15.16     10.25
 1459088238.68     0     27.54     15.29     10.26
