         #Time  Core     P_PKG     P_PP0    P_DRAM
 1459095473.82     0     53.65     41.41     10.17
 1459095474.02     0     53.80     41.54     10.14
 1459095474.22     0     53.41     41.21     10.25
 1459095474.42     0     53.65     41.39     10.11
 1459095474.62     0     53.33     41.14     10.23
 1459095474.82     0     53.48     41.22     10.29
 1459095475.02     0     53.19     41.00     10.09
 1459095475.22     0     53.45     41.19     10.28
 1459095475.42     0     53.16     40.97     10.23
 1459095475.62     0     53.42     41.17     10.10
 1459095475.82     0     53.47     41.21     10.29
 1459095476.02     0     53.17     40.98     10.09
 1459095476.22     0     53.44     41.18     10.19
 1459095476.42     0     53.16     40.97     10.28
 1459095476.62     0     30.63     18.37     10.22
 1459095476.82     0     18.33      6.14     10.15
 1459095477.02     0     18.43      6.17     10.30
 1459095477.22     0     18.44      6.25     10.20
 1459095477.42     0     18.89      6.64     10.26
 1459095477.62     0     18.44      6.18     10.25
 1459095477.82     0     18.36      6.17     10.19
