         #Time  Core     P_PKG     P_PP0    P_DRAM
 1459094799.57     0     27.92     15.66      9.92
 1459094799.77     0     27.69     15.49     10.20
 1459094799.97     0     27.76     15.50     10.21
 1459094800.17     0     27.68     15.49     10.25
 1459094800.37     0     27.75     15.48     10.25
 1459094800.57     0     27.61     15.40     10.01
 1459094800.77     0     27.75     15.48     10.20
 1459094800.97     0     27.65     15.45     10.11
 1459094801.17     0     27.96     15.70     10.26
 1459094801.37     0     27.62     15.42     10.20
 1459094801.57     0     27.77     15.51     10.16
 1459094801.77     0     27.76     15.49      9.92
 1459094801.97     0     27.59     15.40     10.25
 1459094802.17     0     27.76     15.50     10.20
