         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1459061695.94     0     47.17     34.86     11.16     1     47.16     34.86     11.16     2     47.16     34.86     11.16     3     47.16     34.86     11.16     4     47.16     34.86     11.16     5     47.17     34.86     11.16     6     47.17     34.87     11.16     7     47.18     34.87     11.16     8     47.18     34.87     11.16     9     47.18     34.87     11.16    10     23.62     11.35     10.63    11     23.63     11.36     10.58    12     23.54     11.32     10.59    13     23.55     11.38     10.64    14     23.67     11.38     10.64    15     23.67     11.39     10.65    16     23.68     11.39     10.65    17     23.68     11.39     10.65    18     23.69     11.39     10.65    19     23.59     11.35     10.60
 1459061696.14     0     55.30     42.93     11.19     1     55.21     42.85     11.18     2     55.20     42.85     11.17     3     55.15     42.81     11.16     4     55.13     42.79     11.16     5     55.10     42.77     11.15     6     55.07     42.75     11.15     7     55.03     42.72     11.14     8     55.25     42.88     11.19     9     55.22     42.85     11.18    10     24.05     11.75     10.50    11     24.01     11.79     10.54    12     24.06     11.75     10.51    13     24.14     11.73     10.49    14     23.98     11.71     10.47    15     23.96     11.70     10.46    16     24.05     11.74     10.50    17     24.03     11.74     10.49    18     24.00     11.72     10.48    19     24.09     11.77     10.52
 1459061696.35     0     47.33     35.04     11.25     1     47.37     35.07     11.26     2     47.38     35.07     11.26     3     47.41     35.10     11.27     4     47.42     35.11     11.27     5     47.44     35.12     11.27     6     47.46     35.13     11.28     7     47.48     35.15     11.28     8     47.26     34.99     11.23     9     47.29     35.01     11.24    10     24.03     11.83     10.57    11     24.18     11.79     10.53    12     24.12     11.82     10.56    13     24.03     11.78     10.52    14     24.06     11.79     10.53    15     24.07     11.80     10.54    16     23.98     11.81     10.55    17     24.10     11.81     10.55    18     24.12     11.82     10.56    19     24.03     11.78     10.52
 1459061696.55     0     47.34     34.97     11.56     1     47.34     34.97     11.56     2     47.33     34.97     11.56     3     47.33     34.96     11.56     4     47.33     34.96     11.56     5     47.33     34.96     11.56     6     47.33     34.96     11.56     7     47.33     34.96     11.56     8     47.33     34.96     11.56     9     47.33     34.96     11.56    10     24.07     11.70     10.59    11     23.95     11.70     10.59    12     24.04     11.75     10.62    13     24.05     11.75     10.63    14     24.06     11.76     10.63    15     24.07     11.76     10.64    16     24.07     11.70     10.58    17     23.96     11.71     10.59    18     23.95     11.70     10.64    19     24.07     11.76     10.63
 1459061696.75     0     47.12     34.83     11.15     1     47.13     34.84     11.15     2     47.13     34.84     11.15     3     47.14     34.85     11.15     4     47.14     34.85     11.15     5     47.14     34.85     11.15     6     47.14     34.85     11.15     7     47.14     34.85     11.15     8     47.14     34.86     11.16     9     47.15     34.86     11.16    10     23.97     11.71     10.57    11     24.09     11.77     10.62    12     24.01     11.73     10.59    13     24.00     11.73     10.59    14     24.00     11.73     10.59    15     24.00     11.73     10.59    16     24.00     11.73     10.58    17     23.99     11.78     10.63    18     24.09     11.77     10.57    19     23.97     11.71     10.57
 1459061696.96     0     47.04     34.73     11.18     1     47.03     34.72     11.18     2     47.04     34.72     11.18     3     47.04     34.72     11.18     4     47.03     34.72     11.18     5     47.03     34.72     11.18     6     47.03     34.71     11.18     7     47.02     34.71     11.18     8     47.02     34.71     11.18     9     47.02     34.71     11.18    10     24.01     11.72     10.70    11     24.00     11.72     10.70    12     23.97     11.70     10.69    13     23.96     11.70     10.68    14     23.94     11.69     10.73    15     24.06     11.75     10.73    16     24.04     11.74     10.72    17     24.04     11.68     10.67    18     23.94     11.75     10.73    19     24.05     11.74     10.72
 1459061697.16     0     46.93     34.62     11.31     1     46.93     34.62     11.31     2     46.92     34.62     11.30     3     47.13     34.77     11.36     4     47.13     34.78     11.36     5     47.13     34.77     11.36     6     47.13     34.77     11.36     7     47.13     34.78     11.36     8     47.12     34.77     11.35     9     47.11     34.76     11.35    10     24.19     11.88     10.58    11     24.15     11.86     10.56    12     24.14     11.85     10.55    13     24.21     11.89     10.58    14     24.21     11.89     10.53    15     24.04     11.87     10.56    16     24.13     11.85     10.55    17     24.12     11.91     10.60    18     24.19     11.82     10.52    19     24.05     11.87     10.57
 1459061697.37     0     47.43     35.05     11.57     1     47.40     35.03     11.57     2     47.41     35.03     11.57     3     47.19     34.87     11.52     4     47.14     34.83     11.51     5     47.10     34.80     11.50     6     47.09     34.97     11.49     7     47.32     34.97     11.55     8     47.32     34.97     11.55     9     47.32     34.97     11.55    10     24.23     11.94     10.46    11     24.20     11.93     10.45    12     24.18     11.92     10.44    13     24.20     11.93     10.44    14     24.18     11.92     10.44    15     24.20     11.93     10.45    16     24.20     11.93     10.45    17     24.20     11.93     10.44    18     24.21     11.93     10.45    19     24.20     11.87     10.45
 1459061697.57     0     47.48     35.15     11.15     1     47.51     35.17     11.16     2     47.51     35.17     11.21     3     47.52     35.18     11.22     4     47.55     35.21     11.23     5     47.60     35.24     11.24     6     47.61     35.07     11.24     7     47.37     35.07     11.18     8     47.37     35.07     11.18     9     47.38     35.08     11.18    10     24.12     11.85     10.38    11     24.04     11.81     10.34    12     24.10     11.90     10.42    13     24.13     11.86     10.38    14     24.15     11.87     10.39    15     24.16     11.81     10.34    16     24.08     11.89     10.41    17     24.22     11.84     10.37    18     24.14     11.86     10.38    19     24.18     11.88     10.35
 1459061697.78     0     47.29     34.99     11.20     1     47.26     34.97     11.19     2     47.26     34.97     11.14     3     47.26     34.97     11.14     4     47.26     34.97     11.14     5     47.26     34.97     11.14     6     47.26     34.97     11.14     7     47.26     34.97     11.14     8     47.27     34.97     11.14     9     47.26     34.97     11.14    10     24.09     11.85     10.31    11     24.21     11.91     10.31    12     24.17     11.83     10.24    13     24.15     11.88     10.28    14     24.15     11.88     10.28    15     24.13     11.92     10.32    16     24.22     11.85     10.26    17     24.09     11.85     10.26    18     24.19     11.89     10.30    19     24.16     11.88     10.29
