         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1459069228.05     0     27.40     15.11     10.73     1     27.40     15.11     10.73     2     27.40     15.11     10.73     3     27.40     15.11     10.73     4     27.39     15.11     10.73     5     27.39     15.11     10.78     6     27.39     15.11     10.78     7     27.39     15.11     10.78     8     27.39     15.11     10.78     9     27.38     15.10     10.78    10     23.45     11.10     10.63    11     23.46     11.16     10.68    12     23.45     11.16     10.68    13     23.44     11.16     10.68    14     23.45     11.16     10.68    15     23.44     11.16     10.68    16     23.44     11.15     10.67    17     23.43     11.15     10.67    18     23.43     11.15     10.67    19     23.43     11.09     10.62
 1459069228.25     0     49.55     37.24     11.15     1     49.56     37.25     11.16     2     49.56     37.25     11.16     3     49.57     37.25     11.16     4     49.57     37.26     11.16     5     49.58     37.26     11.11     6     49.58     37.26     11.11     7     49.59     37.27     11.11     8     49.59     37.27     11.11     9     49.59     37.27     11.11    10     23.70     11.40     10.74    11     23.58     11.35     10.68    12     23.59     11.35     10.69    13     23.59     11.35     10.69    14     23.71     11.41     10.74    15     23.71     11.41     10.74    16     23.72     11.41     10.74    17     23.72     11.42     10.75    18     23.73     11.42     10.75    19     23.72     11.42     10.75
 1459069228.45     0     50.85     38.51     11.34     1     50.83     38.50     11.33     2     50.82     38.49     11.33     3     50.97     38.60     11.37     4     50.96     38.59     11.37     5     50.96     38.59     11.37     6     50.95     38.58     11.37     7     50.94     38.58     11.36     8     50.94     38.57     11.36     9     50.93     38.57     11.36    10     23.93     11.66     10.74    11     24.02     11.71     10.73    12     23.99     11.70     10.71    13     23.97     11.68     10.70    14     23.96     11.68     10.70    15     23.96     11.68     10.70    16     23.96     11.68     10.70    17     23.94     11.67     10.69    18     23.93     11.67     10.68    19     23.92     11.66     10.68
 1459069228.66     0     47.05     34.74     11.28     1     47.03     34.73     11.28     2     47.02     34.72     11.28     3     46.86     34.61     11.24     4     46.87     34.61     11.24     5     46.86     34.60     11.24     6     46.86     34.60     11.24     7     46.86     34.60     11.24     8     46.86     34.60     11.29     9     46.85     34.60     11.29    10     23.98     11.68     10.68    11     23.96     11.67     10.72    12     23.98     11.68     10.73    13     23.98     11.68     10.73    14     23.86     11.62     10.68    15     23.96     11.67     10.72    16     23.95     11.67     10.72    17     23.97     11.67     10.73    18     23.96     11.67     10.72    19     23.97     11.68     10.73
 1459069228.86     0     47.17     34.86     11.24     1     47.19     34.87     11.24     2     47.20     34.87     11.25     3     47.19     34.87     11.25     4     47.20     34.88     11.25     5     47.20     34.88     11.25     6     47.20     34.88     11.25     7     47.20     34.88     11.25     8     47.21     34.88     11.19     9     47.21     34.88     11.19    10     24.18     11.87     10.71    11     24.07     11.81     10.66    12     24.06     11.81     10.66    13     24.17     11.86     10.71    14     24.16     11.86     10.70    15     24.04     11.80     10.65    16     24.05     11.80     10.65    17     24.05     11.80     10.65    18     24.18     11.87     10.71    19     24.18     11.87     10.71
 1459069229.06     0     47.22     34.86     11.51     1     47.24     34.87     11.52     2     47.24     34.87     11.52     3     47.24     34.88     11.52     4     47.24     34.88     11.52     5     47.25     34.88     11.52     6     47.25     34.89     11.52     7     47.26     34.89     11.52     8     47.26     34.89     11.52     9     47.27     34.90     11.53    10     23.68     11.43     10.65    11     23.70     11.45     10.66    12     23.73     11.46     10.68    13     23.63     11.41     10.63    14     23.76     11.48     10.69    15     23.79     11.49     10.70    16     23.79     11.49     10.70    17     23.79     11.49     10.70    18     23.67     11.43     10.65    19     23.67     11.43     10.65
 1459069229.27     0     46.67     34.41     11.29     1     46.89     34.57     11.34     2     46.88     34.57     11.34     3     46.86     34.56     11.34     4     46.86     34.55     11.33     5     46.85     34.55     11.33     6     46.84     34.54     11.33     7     46.84     34.54     11.33     8     46.84     34.54     11.33     9     46.83     34.54     11.33    10     24.11     11.92     10.76    11     24.18     11.90     10.74    12     24.26     11.93     10.78    13     24.20     11.91     10.75    14     24.05     11.89     10.74    15     24.12     11.87     10.71    16     24.18     11.90     10.74    17     24.13     11.87     10.72    18     24.10     11.92     10.76    19     24.20     11.91     10.75
 1459069229.47     0     47.25     34.91     11.29     1     47.02     34.74     11.24     2     47.02     34.74     11.24     3     47.02     34.74     11.24     4     47.02     34.74     11.24     5     47.02     34.74     11.23     6     47.02     34.74     11.23     7     47.01     34.73     11.23     8     47.01     34.73     11.23     9     47.00     34.72     11.23    10     24.36     12.01     10.69    11     24.25     12.07     10.75    12     24.25     12.01     10.70    13     24.28     12.03     10.76    14     24.40     12.03     10.71    15     24.30     12.04     10.72    16     24.19     12.04     10.72    17     24.34     12.06     10.74    18     24.31     12.04     10.72    19     24.30     12.04     10.72
 1459069229.68     0     47.31     35.00     11.46     1     47.29     34.99     11.46     2     47.29     34.99     11.46     3     47.30     34.99     11.46     4     47.30     34.99     11.46     5     47.30     34.99     11.52     6     47.29     34.99     11.51     7     47.29     34.99     11.51     8     47.30     34.99     11.51     9     47.31     35.00     11.52    10     24.28     12.03     10.61    11     24.40     12.03     10.56    12     24.29     12.04     10.61    13     24.37     12.08     10.54    14     24.25     12.01     10.59    15     24.35     12.07     10.58    16     24.37     12.02     10.54    17     24.25     12.02     10.59    18     24.39     12.03     10.55    19     24.27     12.02     10.60
 1459069229.88     0     47.39     35.06     11.34     1     47.37     35.04     11.34     2     47.37     35.04     11.34     3     47.37     35.04     11.34     4     47.37     35.04     11.34     5     47.37     35.04     11.28     6     47.38     35.05     11.29     7     47.39     35.05     11.29     8     47.39     35.05     11.29     9     47.39     35.05     11.29    10     24.39     12.10     10.54    11     24.24     12.08     10.58    12     24.32     12.06     10.51    13     24.25     12.08     10.58    14     24.36     12.08     10.53    15     24.25     12.02     10.58    16     24.35     12.07     10.57    17     24.32     12.06     10.56    18     24.31     12.05     10.56    19     24.29     12.10     10.55
 1459069230.09     0     47.08     34.79     11.29     1     47.11     34.81     11.30     2     47.11     34.82     11.30     3     47.12     34.82     11.30     4     47.12     34.82     11.30     5     47.11     34.82     11.30     6     47.11     34.82     11.30     7     47.11     34.82     11.30     8     47.12     34.82     11.30     9     47.12     34.82     11.30    10     24.19     11.94     10.64    11     24.21     11.95     10.65    12     24.25     11.97     10.66    13     24.26     11.92     10.62    14     24.23     11.96     10.66    15     24.24     11.97     10.61    16     24.24     11.97     10.66    17     24.27     11.98     10.62    18     24.14     11.98     10.67    19     24.29     11.93     10.63
 1459069230.30     0     46.94     34.65     11.37     1     46.94     34.65     11.38     2     46.94     34.65     11.38     3     46.93     34.64     11.37     4     46.93     34.64     11.37     5     46.94     34.65     11.38     6     46.94     34.65     11.38     7     46.93     34.64     11.37     8     46.93     34.64     11.37     9     46.93     34.64     11.37    10     24.24     11.98     10.60    11     24.26     11.99     10.61    12     24.23     11.98     10.60    13     24.22     11.97     10.65    14     24.25     11.99     10.61    15     24.26     11.99     10.61    16     24.25     11.99     10.61    17     24.23     11.98     10.60    18     24.36     11.99     10.60    19     24.22     11.98     10.59
 1459069230.50     0     47.08     34.79     11.33     1     47.28     34.94     11.33     2     47.28     34.94     11.38     3     47.29     34.94     11.38     4     47.29     34.94     11.38     5     47.28     34.94     11.38     6     47.28     34.94     11.38     7     47.29     34.94     11.38     8     47.29     34.94     11.38     9     47.29     34.94     11.38    10     24.30     12.11     10.64    11     24.40     12.05     10.58    12     24.29     12.11     10.64    13     24.40     12.10     10.58    14     24.29     12.05     10.58    15     24.30     12.11     10.64    16     24.30     12.05     10.59    17     24.32     12.06     10.60    18     24.33     12.06     10.60    19     24.36     12.08     10.62
 1459069230.71     0     47.12     34.81     11.30     1     46.89     34.64     11.30     2     46.89     34.64     11.24     3     46.89     34.64     11.24     4     46.89     34.64     11.24     5     47.12     34.81     11.30     6     47.12     34.81     11.30     7     47.11     34.81     11.30     8     47.11     34.81     11.30     9     47.12     34.81     11.30    10     24.20     11.87     10.67    11     24.21     11.94     10.72    12     24.25     11.90     10.69    13     24.16     11.91     10.70    14     24.17     11.92     10.71    15     24.19     11.87     10.66    16     24.10     11.94     10.68    17     24.25     11.96     10.69    18     24.14     11.90     10.64    19     24.15     11.90     10.64
 1459069230.91     0     47.35     34.95     12.07     1     47.37     34.96     12.07     2     47.37     34.96     12.07     3     47.38     34.96     12.07     4     47.38     34.96     12.08     5     47.14     34.79     12.02     6     47.15     34.79     12.02     7     47.13     34.78     12.02     8     47.13     34.78     12.02     9     47.13     34.78     12.02    10     24.16     11.88     10.57    11     24.04     11.82     10.51    12     24.14     11.87     10.56    13     24.13     11.86     10.55    14     24.14     11.86     10.56    15     24.13     11.86     10.55    16     24.13     11.80     10.61    17     24.12     11.86     10.60    18     24.12     11.86     10.60    19     24.13     11.86     10.61
 1459069231.12     0     47.15     34.81     11.28     1     47.12     34.79     11.28     2     47.11     34.78     11.27     3     47.11     34.78     11.27     4     47.11     34.78     11.27     5     47.11     34.78     11.27     6     47.11     34.78     11.27     7     47.13     34.79     11.28     8     47.12     34.79     11.28     9     47.12     34.79     11.28    10     24.20     11.91     10.71    11     24.21     11.92     10.72    12     24.08     11.85     10.71    13     24.18     11.91     10.70    14     24.17     11.90     10.70    15     24.15     11.89     10.69    16     24.26     11.94     10.68    17     24.12     11.87     10.67    18     24.11     11.87     10.67    19     24.11     11.93     10.72
 1459069231.32     0     47.72     35.43     11.34     1     47.76     35.46     11.35     2     47.78     35.48     11.36     3     47.78     35.48     11.36     4     47.78     35.48     11.36     5     47.78     35.48     11.36     6     47.77     35.47     11.36     7     47.77     35.47     11.35     8     47.77     35.47     11.35     9     47.75     35.46     11.35    10     24.16     11.91     10.65    11     24.16     11.91     10.65    12     24.16     11.91     10.65    13     24.15     11.91     10.65    14     24.17     11.91     10.66    15     24.17     11.91     10.66    16     24.06     11.86     10.61    17     24.21     11.93     10.68    18     24.22     11.94     10.68    19     24.19     11.86     10.67
 1459069231.52     0     47.02     34.75     11.20     1     47.01     34.74     11.20     2     47.01     34.74     11.20     3     47.23     34.91     11.20     4     47.23     34.90     11.25     5     47.23     34.90     11.25     6     47.23     34.91     11.25     7     47.23     34.90     11.25     8     47.22     34.90     11.25     9     47.24     34.91     11.26    10     24.14     11.92     10.66    11     24.24     11.97     10.65    12     24.24     11.97     10.60    13     24.23     11.97     10.65    14     24.21     11.96     10.64    15     24.21     12.02     10.69    16     24.31     12.01     10.68    17     24.15     11.93     10.66    18     24.26     11.99     10.66    19     24.26     11.99     10.61
 1459069231.73     0     47.20     34.86     11.26     1     47.18     34.85     11.26     2     47.19     34.85     11.26     3     46.96     34.68     11.26     4     46.95     34.68     11.20     5     46.96     34.68     11.20     6     46.95     34.67     11.20     7     46.95     34.67     11.20     8     46.95     34.67     11.20     9     46.95     34.68     11.20    10     24.28     11.98     10.68    11     24.17     11.93     10.69    12     24.19     11.99     10.75    13     24.22     11.95     10.71    14     24.24     11.96     10.72    15     24.24     11.90     10.72    16     24.22     11.95     10.71    17     24.25     11.97     10.67    18     24.14     11.91     10.67    19     24.23     11.95     10.71
