         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1459068549.26     0     38.63     26.33     11.02     1     38.63     26.33     11.02     2     38.63     26.33     11.02     3     38.63     26.33     11.02     4     38.63     26.33     11.02     5     38.63     26.33     11.02     6     38.63     26.33     11.02     7     38.63     26.33     11.02     8     38.63     26.33     11.02     9     38.63     26.33     11.02    10     23.67     11.40     10.47    11     23.67     11.40     10.47    12     23.66     11.40     10.47    13     23.66     11.40     10.47    14     23.65     11.39     10.47    15     23.64     11.39     10.52    16     23.67     11.40     10.47    17     23.67     11.40     10.48    18     23.67     11.40     10.48    19     23.68     11.40     10.48
 1459068549.47     0     56.13     43.81     11.19     1     56.13     43.81     11.19     2     56.14     43.82     11.19     3     56.14     43.82     11.19     4     56.14     43.82     11.19     5     56.15     43.82     11.19     6     56.15     43.82     11.19     7     56.15     43.83     11.19     8     56.16     43.84     11.19     9     56.17     43.84     11.20    10     24.02     11.74     10.65    11     24.02     11.74     10.65    12     24.01     11.74     10.65    13     24.01     11.74     10.65    14     24.02     11.74     10.65    15     24.04     11.75     10.60    16     23.92     11.70     10.60    17     23.93     11.70     10.61    18     24.04     11.76     10.66    19     24.04     11.75     10.66
 1459068549.67     0     48.75     36.42     11.18     1     48.74     36.41     11.18     2     48.73     36.41     11.18     3     48.73     36.40     11.18     4     48.73     36.40     11.18     5     48.72     36.40     11.18     6     48.72     36.40     11.18     7     48.72     36.40     11.18     8     48.71     36.39     11.17     9     48.71     36.39     11.17    10     24.14     11.86     10.64    11     24.11     11.85     10.63    12     24.10     11.84     10.63    13     24.08     11.89     10.67    14     24.18     11.88     10.66    15     24.15     11.86     10.65    16     24.24     11.91     10.69    17     24.20     11.89     10.67    18     24.06     11.82     10.61    19     24.03     11.87     10.65
 1459068549.87     0     47.59     35.23     11.29     1     47.58     35.22     11.34     2     47.58     35.22     11.34     3     47.58     35.22     11.34     4     47.58     35.22     11.34     5     47.58     35.22     11.34     6     47.58     35.22     11.34     7     47.57     35.22     11.34     8     47.58     35.22     11.34     9     47.57     35.22     11.34    10     24.14     11.88     10.71    11     24.16     11.89     10.72    12     24.16     11.88     10.71    13     24.18     11.84     10.73    14     24.20     11.90     10.73    15     24.20     11.90     10.74    16     24.09     11.85     10.69    17     24.12     11.86     10.70    18     24.13     11.87     10.76    19     24.28     11.88     10.72
 1459068550.07     0     47.33     35.02     11.34     1     47.35     35.04     11.29     2     47.35     35.04     11.29     3     47.34     35.04     11.29     4     47.34     35.03     11.29     5     47.34     35.03     11.29     6     47.34     35.03     11.29     7     47.34     35.03     11.29     8     47.34     35.03     11.28     9     47.34     35.03     11.28    10     23.98     11.71     10.62    11     23.97     11.70     10.67    12     24.07     11.75     10.66    13     24.05     11.74     10.59    14     23.90     11.67     10.64    15     24.04     11.74     10.64    16     24.04     11.74     10.64    17     24.05     11.74     10.65    18     24.03     11.73     10.58    19     23.90     11.73     10.63
 1459068550.28     0     47.47     35.13     11.20     1     47.45     35.12     11.20     2     47.45     35.12     11.20     3     47.46     35.13     11.20     4     47.46     35.13     11.20     5     47.46     35.13     11.20     6     47.46     35.13     11.20     7     47.46     35.13     11.20     8     47.47     35.13     11.20     9     47.47     35.14     11.20    10     23.97     11.68     10.68    11     23.97     11.68     10.63    12     23.89     11.64     10.64    13     23.90     11.71     10.70    14     24.00     11.69     10.64    15     23.86     11.68     10.68    16     23.94     11.67     10.66    17     23.92     11.66     10.66    18     23.92     11.72     10.71    19     23.98     11.68     10.68
 1459068550.48     0     47.15     34.85     11.25     1     47.14     34.85     11.25     2     47.14     34.84     11.25     3     47.13     34.84     11.25     4     47.13     34.84     11.25     5     47.12     34.83     11.25     6     47.12     34.83     11.25     7     47.12     34.83     11.25     8     47.12     34.83     11.25     9     47.11     34.82     11.24    10     24.07     11.88     10.50    11     24.18     11.88     10.49    12     24.16     11.87     10.49    13     24.14     11.86     10.47    14     24.16     11.87     10.48    15     24.18     11.82     10.44    16     24.07     11.82     10.44    17     24.19     11.88     10.49    18     24.19     11.83     10.44    19     24.12     11.79     10.46
 1459068550.69     0     47.40     35.06     11.29     1     47.39     35.05     11.29     2     47.39     35.05     11.29     3     47.39     35.05     11.29     4     47.38     35.05     11.29     5     47.37     35.04     11.29     6     47.37     35.04     11.29     7     47.37     35.04     11.29     8     47.36     35.03     11.28     9     47.36     35.03     11.29    10     24.24     11.97     10.42    11     24.21     11.95     10.40    12     24.20     11.95     10.45    13     24.31     11.94     10.39    14     24.18     11.94     10.44    15     24.27     11.98     10.43    16     24.27     11.98     10.43    17     24.24     11.97     10.42    18     24.24     11.97     10.42    19     24.24     11.97     10.42
 1459068550.89     0     47.31     35.03     11.29     1     47.32     35.03     11.29     2     47.32     35.03     11.29     3     47.32     35.03     11.29     4     47.32     35.03     11.29     5     47.56     35.21     11.29     6     47.56     35.21     11.35     7     47.56     35.21     11.35     8     47.56     35.21     11.35     9     47.56     35.21     11.35    10     24.24     11.88     10.50    11     24.13     11.95     10.56    12     24.24     11.95     10.51    13     24.14     11.89     10.51    14     24.26     11.96     10.51    15     24.14     11.89     10.51    16     24.15     11.96     10.57    17     24.17     11.91     10.52    18     24.16     11.91     10.57    19     24.27     11.96     10.52
 1459068551.10     0     47.66     35.33     11.20     1     47.66     35.33     11.20     2     47.66     35.33     11.20     3     47.66     35.33     11.20     4     47.67     35.34     11.20     5     47.43     35.16     11.20     6     47.67     35.33     11.20     7     47.64     35.32     11.20     8     47.65     35.33     11.20     9     47.66     35.33     11.20    10     24.18     11.90     10.29    11     24.18     11.91     10.29    12     24.18     11.90     10.29    13     24.17     11.90     10.29    14     24.16     11.89     10.28    15     24.19     11.91     10.30    16     24.19     11.85     10.30    17     24.17     11.90     10.29    18     24.17     11.90     10.29    19     24.16     11.89     10.28
 1459068551.30     0     47.65     35.33     11.25     1     47.64     35.32     11.24     2     47.63     35.31     11.24     3     47.62     35.31     11.24     4     47.62     35.31     11.24     5     47.62     35.30     11.24     6     47.38     35.13     11.18     7     47.40     35.14     11.19     8     47.40     35.32     11.24     9     47.62     35.31     11.24    10     24.15     11.88     10.36    11     24.16     11.83     10.31    12     24.06     11.89     10.37    13     24.18     11.90     10.37    14     24.08     11.85     10.38    15     24.17     11.89     10.37    16     24.17     11.89     10.37    17     24.17     11.89     10.37    18     24.17     11.89     10.32    19     24.06     11.89     10.37
