         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1459069640.04     0     31.25     19.01     10.65     1     31.24     19.01     10.65     2     31.24     19.01     10.65     3     31.24     19.01     10.65     4     31.24     19.00     10.64     5     31.23     19.00     10.64     6     31.23     19.00     10.64     7     31.23     19.00     10.64     8     31.23     19.00     10.64     9     31.23     19.15     10.64    10     23.53     11.15     10.74    11     23.42     11.15     10.74    12     23.42     11.15     10.74    13     23.42     11.15     10.74    14     23.42     11.15     10.74    15     23.40     11.14     10.74    16     23.40     11.14     10.74    17     23.41     11.15     10.74    18     23.53     11.21     10.79    19     23.54     11.21     10.80
 1459069640.24     0     53.10     40.73     11.24     1     53.10     40.73     11.25     2     53.10     40.73     11.25     3     53.11     40.74     11.25     4     53.12     40.74     11.25     5     53.12     40.75     11.25     6     53.13     40.75     11.25     7     53.13     40.75     11.25     8     53.13     40.75     11.25     9     53.13     40.61     11.25    10     23.80     11.53     10.79    11     23.79     11.59     10.84    12     23.90     11.58     10.84    13     23.90     11.58     10.84    14     23.89     11.58     10.83    15     23.88     11.57     10.83    16     23.88     11.57     10.83    17     23.87     11.57     10.82    18     23.74     11.50     10.77    19     23.73     11.50     10.76
 1459069640.44     0     51.45     39.13     11.39     1     51.42     39.11     11.38     2     51.42     39.11     11.38     3     51.41     39.10     11.38     4     51.41     39.10     11.38     5     51.40     39.09     11.37     6     51.40     39.09     11.37     7     51.39     39.09     11.37     8     51.37     39.08     11.37     9     51.37     39.07     11.37    10     24.14     11.83     10.80    11     24.12     11.76     10.74    12     23.98     11.75     10.73    13     23.98     11.81     10.78    14     24.10     11.81     10.78    15     24.08     11.80     10.77    16     24.06     11.79     10.76    17     24.05     11.79     10.81    18     24.15     11.83     10.80    19     24.15     11.83     10.80
 1459069640.64     0     47.11     34.82     11.17     1     47.10     34.81     11.17     2     47.10     34.81     11.17     3     47.10     34.81     11.17     4     47.09     34.81     11.17     5     47.09     34.80     11.17     6     47.08     34.80     11.16     7     47.28     34.95     11.21     8     47.29     34.95     11.21     9     47.29     34.95     11.21    10     24.03     11.77     10.83    11     24.03     11.77     10.88    12     24.13     11.82     10.87    13     24.10     11.74     10.80    14     24.08     11.79     10.85    15     24.07     11.79     10.85    16     24.05     11.78     10.89    17     24.17     11.84     10.84    18     24.06     11.79     10.84    19     24.01     11.76     10.87
 1459069640.85     0     47.39     35.06     11.51     1     47.39     35.05     11.51     2     47.39     35.05     11.51     3     47.39     35.06     11.51     4     47.39     35.06     11.51     5     47.40     35.06     11.51     6     47.40     35.06     11.51     7     47.20     34.91     11.46     8     47.20     34.92     11.46     9     47.20     34.92     11.46    10     24.01     11.70     10.68    11     24.04     11.71     10.64    12     23.94     11.67     10.65    13     23.97     11.68     10.66    14     23.88     11.63     10.62    15     23.89     11.64     10.62    16     24.05     11.72     10.64    17     23.93     11.66     10.64    18     23.95     11.67     10.65    19     24.00     11.69     10.62
 1459069641.05     0     47.11     34.81     11.28     1     47.11     34.82     11.29     2     47.11     34.82     11.29     3     47.11     34.81     11.28     4     47.11     34.81     11.29     5     47.11     34.81     11.28     6     47.11     34.81     11.28     7     47.11     34.81     11.28     8     47.10     34.81     11.28     9     47.10     34.81     11.28    10     23.86     11.59     10.79    11     23.86     11.59     10.79    12     23.83     11.58     10.78    13     23.95     11.63     10.83    14     23.92     11.62     10.81    15     23.92     11.62     10.81    16     23.78     11.55     10.75    17     23.89     11.61     10.80    18     23.88     11.60     10.80    19     23.87     11.60     10.79
 1459069641.25     0     46.95     34.66     11.31     1     46.95     34.66     11.31     2     46.94     34.65     11.31     3     46.94     34.65     11.31     4     46.94     34.65     11.31     5     46.94     34.65     11.31     6     46.94     34.65     11.31     7     46.94     34.65     11.31     8     46.95     34.66     11.31     9     46.95     34.66     11.31    10     24.12     11.85     10.68    11     24.07     11.88     10.71    12     24.20     11.89     10.72    13     24.08     11.83     10.66    14     24.08     11.89     10.71    15     24.18     11.88     10.71    16     24.18     11.88     10.71    17     24.04     11.87     10.70    18     24.15     11.86     10.69    19     24.12     11.85     10.68
 1459069641.46     0     47.24     34.95     11.27     1     47.23     34.94     11.26     2     47.23     34.94     11.27     3     47.23     34.94     11.26     4     47.45     35.10     11.32     5     47.44     35.10     11.32     6     47.43     35.09     11.31     7     47.43     35.09     11.31     8     47.42     35.08     11.31     9     47.42     35.08     11.31    10     24.11     11.92     10.85    11     24.23     11.86     10.80    12     24.11     11.86     10.79    13     24.12     11.86     10.85    14     24.24     11.86     10.80    15     24.13     11.87     10.80    16     24.12     11.92     10.85    17     24.22     11.86     10.79    18     24.12     11.86     10.80    19     24.23     11.92     10.85
 1459069641.66     0     47.42     35.11     11.34     1     47.41     35.10     11.33     2     47.41     35.10     11.33     3     47.42     35.11     11.34     4     47.19     34.94     11.28     5     47.20     34.94     11.28     6     47.21     34.95     11.29     7     47.22     34.96     11.29     8     47.45     35.13     11.34     9     47.45     35.13     11.34    10     24.23     11.88     10.68    11     24.13     11.94     10.74    12     24.23     11.93     10.73    13     24.19     11.97     10.71    14     24.20     11.92     10.72    15     24.18     11.91     10.71    16     24.30     11.91     10.71    17     24.20     11.92     10.72    18     24.17     11.90     10.76    19     24.19     11.92     10.72
 1459069641.87     0     47.46     35.13     11.31     1     47.49     35.16     11.32     2     47.49     35.15     11.32     3     47.48     35.15     11.32     4     47.48     35.15     11.32     5     47.47     35.14     11.32     6     47.47     35.14     11.32     7     47.48     35.15     11.32     8     47.23     34.96     11.26     9     47.23     34.96     11.26    10     24.25     11.94     10.79    11     24.25     11.89     10.74    12     24.15     11.90     10.80    13     24.28     11.90     10.75    14     24.17     11.91     10.75    15     24.27     11.96     10.80    16     24.17     11.90     10.75    17     24.18     11.91     10.76    18     24.21     11.98     10.77    19     24.18     11.91     10.76
