         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1459069126.13     0     29.70     17.50     10.48     1     29.70     17.50     10.48     2     29.70     17.50     10.47     3     29.70     17.50     10.47     4     29.82     17.57     10.47     5     29.82     17.57     10.47     6     29.83     17.57     10.47     7     29.82     17.57     10.52     8     29.82     17.57     10.52     9     29.82     17.57     10.52    10     23.38     11.08     10.75    11     23.35     11.07     10.74    12     23.34     11.06     10.73    13     23.43     11.10     10.77    14     23.42     11.10     10.77    15     23.41     11.09     10.76    16     23.40     11.09     10.76    17     23.38     11.08     10.75    18     23.36     11.07     10.74    19     23.36     11.07     10.74
 1459069126.33     0     32.43     20.09     10.76     1     32.43     20.09     10.76     2     32.43     20.09     10.76     3     32.43     20.09     10.77     4     32.30     20.02     10.77     5     32.29     20.02     10.76     6     32.29     20.02     10.76     7     32.29     20.02     10.71     8     32.29     20.02     10.71     9     32.29     20.02     10.71    10     23.54     11.26     10.65    11     23.57     11.28     10.67    12     23.59     11.28     10.67    13     23.49     11.24     10.63    14     23.50     11.25     10.64    15     23.51     11.25     10.64    16     23.52     11.25     10.64    17     23.42     11.21     10.59    18     23.57     11.28     10.66    19     23.57     11.28     10.66
 1459069126.53     0     50.40     38.15     11.06     1     50.40     38.15     11.06     2     50.41     38.16     11.06     3     50.41     38.16     11.06     4     50.41     38.16     11.06     5     50.42     38.17     11.06     6     50.42     38.17     11.06     7     50.43     38.17     11.07     8     50.43     38.18     11.07     9     50.44     38.18     11.07    10     23.77     11.53     10.66    11     23.77     11.54     10.66    12     23.89     11.60     10.72    13     23.90     11.60     10.72    14     23.90     11.60     10.72    15     23.90     11.60     10.72    16     23.90     11.60     10.72    17     23.91     11.60     10.72    18     23.78     11.54     10.67    19     23.78     11.54     10.67
 1459069126.73     0     50.36     37.98     11.65     1     50.34     37.97     11.65     2     50.33     37.96     11.65     3     50.33     37.96     11.64     4     50.32     37.95     11.64     5     50.32     37.95     11.64     6     50.44     38.04     11.67     7     50.44     38.04     11.67     8     50.43     38.03     11.67     9     50.43     38.03     11.67    10     24.04     11.71     10.69    11     24.02     11.70     10.68    12     23.89     11.64     10.62    13     23.88     11.63     10.62    14     23.87     11.63     10.61    15     23.86     11.68     10.66    16     23.97     11.68     10.66    17     23.96     11.67     10.65    18     23.96     11.67     10.65    19     23.95     11.67     10.65
 1459069126.94     0     47.09     34.81     11.30     1     47.09     34.82     11.30     2     47.10     34.82     11.30     3     47.10     34.82     11.30     4     47.10     34.82     11.30     5     47.10     34.82     11.30     6     46.96     34.72     11.27     7     46.96     34.89     11.27     8     47.19     34.88     11.32     9     47.18     34.88     11.32    10     24.08     11.80     10.77    11     24.10     11.81     10.77    12     24.11     11.81     10.78    13     24.11     11.82     10.78    14     24.11     11.82     10.78    15     24.10     11.75     10.77    16     24.10     11.81     10.77    17     24.09     11.81     10.77    18     24.09     11.80     10.77    19     24.08     11.80     10.76
 1459069127.14     0     47.40     35.06     11.26     1     47.41     35.07     11.26     2     47.41     35.07     11.26     3     47.41     35.07     11.26     4     47.41     35.07     11.26     5     47.41     35.07     11.26     6     47.41     35.07     11.26     7     47.41     34.89     11.26     8     47.18     34.90     11.21     9     47.18     34.90     11.21    10     23.96     11.70     10.56    11     23.96     11.69     10.56    12     24.04     11.73     10.60    13     24.04     11.73     10.60    14     24.05     11.74     10.60    15     24.06     11.74     10.55    16     23.94     11.68     10.55    17     24.03     11.72     10.59    18     24.02     11.72     10.59    19     24.03     11.73     10.60
 1459069127.34     0     47.12     34.84     11.25     1     47.11     34.84     11.25     2     47.11     34.83     11.25     3     47.11     34.83     11.25     4     47.11     34.83     11.25     5     47.11     34.83     11.25     6     47.11     34.83     11.25     7     47.11     34.83     11.25     8     47.11     34.83     11.25     9     47.11     34.83     11.25    10     24.04     11.74     10.74    11     24.05     11.75     10.74    12     23.96     11.71     10.70    13     23.96     11.70     10.70    14     23.96     11.70     10.70    15     23.96     11.70     10.70    16     23.97     11.71     10.71    17     23.89     11.67     10.72    18     24.02     11.74     10.73    19     24.02     11.74     10.73
 1459069127.55     0     47.21     34.89     11.30     1     47.21     34.89     11.30     2     47.21     34.89     11.30     3     47.21     34.89     11.30     4     47.21     34.89     11.30     5     47.21     34.89     11.30     6     47.21     34.89     11.30     7     47.21     34.89     11.30     8     47.21     34.89     11.30     9     47.21     34.89     11.30    10     24.01     11.80     10.62    11     24.10     11.84     10.66    12     24.07     11.82     10.65    13     24.04     11.87     10.69    14     24.11     11.85     10.67    15     24.08     11.89     10.70    16     24.17     11.88     10.69    17     24.13     11.86     10.62    18     24.11     11.85     10.67    19     24.07     11.83     10.65
 1459069127.75     0     47.43     35.09     11.28     1     47.42     35.08     11.28     2     47.43     35.08     11.28     3     47.42     35.08     11.28     4     47.41     35.07     11.28     5     47.40     35.07     11.28     6     47.40     35.07     11.28     7     47.40     35.06     11.28     8     47.39     35.06     11.27     9     47.39     35.06     11.27    10     24.23     11.95     10.63    11     24.23     11.95     10.63    12     24.24     11.95     10.63    13     24.24     11.89     10.58    14     24.15     11.97     10.65    15     24.27     11.91     10.59    16     24.14     11.96     10.64    17     24.28     11.97     10.65    18     24.14     11.91     10.59    19     24.17     11.92     10.60
 1459069127.96     0     47.35     35.06     11.33     1     47.34     35.05     11.33     2     47.34     35.05     11.33     3     47.34     35.05     11.33     4     47.34     35.05     11.33     5     47.34     35.06     11.33     6     47.34     35.05     11.33     7     47.34     35.05     11.33     8     47.34     35.05     11.33     9     47.33     35.05     11.33    10     24.18     11.99     10.65    11     24.15     11.92     10.59    12     24.25     11.97     10.63    13     24.25     11.97     10.63    14     24.24     11.91     10.62    15     24.24     11.97     10.63    16     24.26     11.92     10.58    17     24.14     11.97     10.63    18     24.26     11.98     10.63    19     24.24     11.97     10.62
 1459069128.16     0     47.37     35.06     11.32     1     47.38     35.06     11.32     2     47.36     35.05     11.31     3     47.36     35.05     11.31     4     47.37     35.05     11.31     5     47.37     35.06     11.32     6     47.37     35.06     11.32     7     47.39     35.07     11.32     8     47.39     35.07     11.32     9     47.40     35.08     11.32    10     24.22     11.89     10.61    11     24.24     11.96     10.67    12     24.13     11.90     10.63    13     24.24     11.95     10.68    14     24.25     11.96     10.63    15     24.12     11.89     10.67    16     24.24     11.96     10.67    17     24.23     11.89     10.62    18     24.11     11.95     10.67    19     24.24     11.96     10.67
 1459069128.37     0     47.35     35.03     11.23     1     47.35     35.03     11.23     2     47.37     35.04     11.24     3     47.36     35.04     11.23     4     47.37     35.04     11.24     5     47.36     35.04     11.23     6     47.36     35.04     11.23     7     47.36     35.03     11.23     8     47.36     35.03     11.23     9     47.35     35.03     11.23    10     24.17     11.90     10.65    11     24.06     11.84     10.65    12     24.20     11.91     10.66    13     24.07     11.85     10.61    14     24.18     11.90     10.65    15     24.18     11.90     10.60    16     24.15     11.88     10.64    17     24.15     11.88     10.69    18     24.22     11.86     10.62    19     24.06     11.90     10.66
 1459069128.57     0     46.97     34.69     11.23     1     46.97     34.69     11.23     2     46.97     34.69     11.23     3     46.98     34.70     11.24     4     46.98     34.70     11.24     5     46.99     34.70     11.24     6     46.99     34.70     11.24     7     47.00     34.71     11.24     8     46.99     34.71     11.24     9     47.00     34.71     11.24    10     24.08     11.83     10.56    11     24.09     11.83     10.51    12     24.11     11.85     10.57    13     24.12     11.85     10.57    14     24.01     11.86     10.58    15     24.13     11.86     10.58    16     24.04     11.81     10.54    17     24.18     11.88     10.55    18     24.11     11.85     10.57    19     24.17     11.82     10.54
 1459069128.78     0     46.92     34.64     11.22     1     47.16     34.82     11.28     2     47.16     34.81     11.28     3     47.16     34.81     11.28     4     47.15     34.81     11.28     5     47.15     34.81     11.28     6     47.15     34.81     11.28     7     47.14     34.80     11.27     8     47.14     34.80     11.27     9     47.13     34.80     11.27    10     24.18     11.90     10.45    11     24.17     11.95     10.49    12     24.12     11.87     10.42    13     24.12     11.92     10.47    14     24.21     11.85     10.40    15     24.09     11.85     10.41    16     24.21     11.91     10.46    17     24.08     11.85     10.40    18     24.07     11.84     10.45    19     24.15     11.88     10.44
