         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1459069749.74     0     30.75     18.51     10.62     1     30.74     18.51     10.62     2     30.75     18.51     10.62     3     30.74     18.51     10.62     4     30.74     18.51     10.62     5     30.74     18.51     10.61     6     30.74     18.51     10.61     7     30.74     18.51     10.61     8     30.74     18.51     10.61     9     30.73     18.50     10.61    10     22.90     10.58     10.87    11     22.90     10.53     10.81    12     22.79     10.53     10.82    13     22.80     10.53     10.82    14     22.80     10.54     10.82    15     22.80     10.54     10.82    16     22.80     10.53     10.82    17     22.82     10.54     10.78    18     22.71     10.49     10.78    19     22.84     10.55     10.84
 1459069749.94     0     37.03     24.71     10.95     1     37.03     24.71     10.95     2     37.03     24.71     10.95     3     37.04     24.71     10.95     4     37.04     24.72     10.95     5     37.04     24.72     10.96     6     37.04     24.72     10.96     7     37.04     24.72     10.96     8     37.04     24.72     10.96     9     37.05     24.72     10.96    10     23.46     11.20     10.84    11     23.46     11.25     10.89    12     23.55     11.24     10.89    13     23.54     11.24     10.88    14     23.54     11.24     10.88    15     23.54     11.24     10.88    16     23.54     11.24     10.88    17     23.53     11.23     10.88    18     23.52     11.23     10.87    19     23.51     11.22     10.87
 1459069750.14     0     56.62     44.29     11.35     1     56.60     44.27     11.34     2     56.59     44.26     11.34     3     56.59     44.26     11.34     4     56.58     44.26     11.34     5     56.58     44.25     11.34     6     56.57     44.25     11.34     7     56.57     44.25     11.34     8     56.57     44.25     11.34     9     56.56     44.24     11.34    10     23.88     11.57     10.88    11     23.86     11.51     10.82    12     23.74     11.50     10.81    13     23.73     11.50     10.86    14     23.85     11.56     10.86    15     23.85     11.56     10.86    16     23.85     11.56     10.86    17     23.85     11.56     10.86    18     23.85     11.56     10.86    19     23.74     11.51     10.86
 1459069750.35     0     47.33     34.99     11.25     1     47.33     34.98     11.25     2     47.33     34.98     11.25     3     47.33     34.98     11.25     4     47.33     34.98     11.25     5     47.33     34.98     11.25     6     47.33     34.99     11.25     7     47.33     34.99     11.25     8     47.33     34.98     11.25     9     47.33     34.99     11.25    10     23.89     11.64     10.72    11     23.90     11.64     10.72    12     23.92     11.71     10.78    13     24.05     11.71     10.73    14     23.92     11.65     10.73    15     23.93     11.65     10.73    16     23.93     11.65     10.73    17     23.92     11.65     10.73    18     23.92     11.65     10.78    19     24.02     11.70     10.72
 1459069750.55     0     47.02     34.74     11.30     1     47.03     34.74     11.31     2     47.03     34.74     11.31     3     47.03     34.74     11.30     4     47.02     34.74     11.30     5     47.02     34.74     11.30     6     47.02     34.73     11.30     7     47.02     34.73     11.30     8     47.01     34.73     11.30     9     47.01     34.73     11.30    10     24.22     11.90     10.82    11     24.20     11.88     10.81    12     24.16     11.81     10.74    13     24.14     11.86     10.73    14     24.14     11.85     10.73    15     24.13     11.85     10.72    16     24.13     11.85     10.72    17     24.14     11.85     10.73    18     24.13     11.91     10.73    19     24.13     11.85     10.73
 1459069750.75     0     47.07     34.77     11.32     1     47.05     34.76     11.32     2     47.05     34.76     11.32     3     47.05     34.76     11.32     4     47.05     34.76     11.32     5     47.05     34.76     11.32     6     47.05     34.76     11.32     7     47.05     34.76     11.32     8     47.06     34.76     11.32     9     47.06     34.76     11.32    10     23.68     11.40     10.74    11     23.70     11.41     10.75    12     23.71     11.42     10.75    13     23.60     11.36     10.75    14     23.72     11.42     10.81    15     23.72     11.42     10.81    16     23.73     11.43     10.81    17     23.71     11.42     10.80    18     23.72     11.36     10.75    19     23.60     11.41     10.80
 1459069750.96     0     46.79     34.53     11.19     1     46.81     34.54     11.19     2     46.81     34.54     11.19     3     47.04     34.71     11.25     4     47.03     34.71     11.25     5     47.03     34.71     11.25     6     47.03     34.70     11.25     7     47.03     34.70     11.25     8     47.03     34.70     11.25     9     47.02     34.70     11.25    10     23.59     11.35     10.70    11     23.70     11.40     10.75    12     23.70     11.40     10.75    13     23.69     11.40     10.75    14     23.57     11.39     10.74    15     23.67     11.38     10.74    16     23.66     11.38     10.74    17     23.67     11.38     10.74    18     23.65     11.38     10.73    19     23.78     11.38     10.74
 1459069751.16     0     47.22     34.86     11.37     1     47.20     34.85     11.36     2     47.20     34.85     11.36     3     46.96     34.67     11.31     4     46.97     34.68     11.31     5     46.97     34.68     11.31     6     46.96     34.67     11.31     7     46.96     34.67     11.31     8     46.95     34.67     11.30     9     46.95     34.67     11.30    10     24.19     11.86     10.87    11     24.06     11.81     10.81    12     24.06     11.81     10.81    13     24.18     11.86     10.87    14     24.16     11.80     10.81    15     24.04     11.80     10.80    16     24.14     11.85     10.84    17     24.12     11.84     10.84    18     24.12     11.84     10.84    19     24.10     11.83     10.83
 1459069751.36     0     47.04     34.76     11.30     1     47.03     34.75     11.30     2     47.02     34.75     11.30     3     47.03     34.75     11.30     4     47.02     34.75     11.30     5     47.02     34.75     11.30     6     47.26     34.92     11.30     7     47.26     34.93     11.35     8     47.26     34.92     11.35     9     47.24     34.91     11.35    10     24.10     11.85     10.70    11     24.11     11.92     10.75    12     24.22     11.91     10.75    13     24.08     11.85     10.69    14     24.11     11.86     10.76    15     24.23     11.92     10.76    16     24.11     11.86     10.70    17     24.21     11.91     10.75    18     24.18     11.89     10.73    19     24.17     11.89     10.73
 1459069751.57     0     47.65     35.29     11.82     1     47.66     35.30     11.82     2     47.67     35.30     11.82     3     47.66     35.30     11.82     4     47.66     35.30     11.82     5     47.67     35.30     11.82     6     47.43     35.13     11.82     7     47.43     35.13     11.77     8     47.44     35.13     11.77     9     47.68     35.31     11.83    10     24.16     11.88     10.69    11     24.15     11.81     10.69    12     24.17     11.88     10.69    13     24.20     11.89     10.71    14     24.19     11.89     10.65    15     24.07     11.83     10.70    16     24.20     11.89     10.71    17     24.13     11.86     10.68    18     24.17     11.88     10.70    19     24.05     11.88     10.69
