         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1459069148.27     0     33.06     20.78     10.99     1     33.06     20.78     10.99     2     33.06     20.78     10.99     3     33.06     20.78     10.99     4     33.06     20.78     10.99     5     33.06     20.78     10.99     6     33.06     20.78     10.99     7     33.06     20.78     10.99     8     33.10     20.81     11.00     9     33.10     20.81     11.00    10     23.38     11.06     10.77    11     23.25     11.00     10.71    12     23.28     11.01     10.72    13     23.28     11.01     10.72    14     23.29     11.01     10.72    15     23.29     11.01     10.72    16     23.31     11.02     10.73    17     23.31     11.02     10.73    18     23.31     10.96     10.73    19     23.19     10.96     10.67
 1459069148.47     0     58.15     45.80     11.31     1     58.07     45.74     11.29     2     58.06     45.74     11.29     3     58.04     45.72     11.29     4     58.02     45.88     11.28     5     58.24     45.87     11.34     6     58.19     45.82     11.33     7     58.15     45.79     11.32     8     58.13     45.78     11.32     9     58.11     45.76     11.31    10     23.73     11.52     10.64    11     23.83     11.57     10.63    12     23.76     11.59     10.65    13     23.85     11.58     10.64    14     23.81     11.56     10.62    15     23.79     11.55     10.67    16     23.88     11.59     10.65    17     23.84     11.57     10.64    18     23.81     11.56     10.62    19     23.91     11.61     10.67
 1459069148.68     0     47.63     35.26     11.58     1     47.66     35.28     11.58     2     47.66     35.28     11.58     3     47.67     35.29     11.59     4     47.69     35.13     11.59     5     47.47     35.14     11.54     6     47.51     35.17     11.55     7     47.53     35.19     11.55     8     47.54     35.19     11.55     9     47.55     35.20     11.56    10     23.96     11.68     10.70    11     23.94     11.68     10.69    12     23.99     11.64     10.66    13     23.89     11.65     10.67    14     23.92     11.66     10.68    15     23.93     11.67     10.63    16     23.95     11.68     10.70    17     23.99     11.69     10.71    18     24.00     11.70     10.72    19     23.90     11.65     10.67
 1459069148.88     0     46.93     34.66     11.15     1     46.93     34.66     11.15     2     46.93     34.66     11.15     3     46.93     34.66     11.15     4     46.93     34.66     11.15     5     46.93     34.66     11.15     6     46.93     34.66     11.15     7     46.92     34.65     11.15     8     46.93     34.66     11.15     9     46.93     34.66     11.15    10     24.08     11.79     10.69    11     23.97     11.73     10.70    12     24.00     11.74     10.71    13     24.00     11.74     10.71    14     24.11     11.80     10.76    15     24.10     11.80     10.76    16     23.96     11.73     10.69    17     23.96     11.72     10.69    18     23.95     11.72     10.69    19     24.08     11.78     10.74
 1459069149.08     0     47.17     34.84     11.63     1     47.18     34.85     11.64     2     47.18     34.85     11.64     3     47.18     34.85     11.64     4     47.18     34.85     11.64     5     47.18     34.85     11.64     6     47.18     34.85     11.64     7     47.19     34.86     11.64     8     47.42     35.03     11.69     9     47.42     35.03     11.69    10     23.94     11.69     10.70    11     23.97     11.71     10.71    12     23.97     11.71     10.71    13     24.09     11.77     10.77    14     23.98     11.71     10.72    15     23.98     11.71     10.72    16     24.01     11.73     10.73    17     24.02     11.73     10.74    18     24.02     11.73     10.74    19     23.89     11.67     10.68
 1459069149.28     0     46.99     34.68     11.26     1     46.99     34.68     11.26     2     46.98     34.68     11.32     3     46.99     34.68     11.32     4     46.99     34.68     11.32     5     46.99     34.68     11.32     6     46.99     34.68     11.32     7     46.99     34.68     11.32     8     46.98     34.68     11.26     9     46.98     34.68     11.26    10     23.98     11.71     10.64    11     24.07     11.76     10.68    12     24.04     11.74     10.67    13     23.92     11.68     10.61    14     23.92     11.68     10.61    15     23.91     11.74     10.66    16     24.01     11.73     10.65    17     24.00     11.73     10.65    18     23.99     11.72     10.64    19     23.99     11.72     10.64
 1459069149.49     0     47.17     34.86     11.24     1     47.16     34.85     11.24     2     47.16     34.85     11.18     3     47.16     34.85     11.18     4     47.16     34.85     11.18     5     47.16     34.85     11.18     6     47.16     34.85     11.18     7     47.16     34.85     11.18     8     46.93     34.68     11.18     9     46.92     34.85     11.18    10     24.12     11.84     10.73    11     24.01     11.79     10.68    12     24.14     11.86     10.74    13     24.12     11.85     10.73    14     24.10     11.84     10.72    15     24.11     11.78     10.72    16     24.11     11.84     10.72    17     24.09     11.83     10.72    18     24.07     11.88     10.76    19     24.18     11.88     10.75
 1459069149.69     0     47.46     35.11     11.57     1     47.44     35.09     11.56     2     47.43     35.09     11.56     3     47.43     35.09     11.56     4     47.42     35.08     11.56     5     47.41     35.08     11.56     6     47.41     35.07     11.55     7     47.41     35.07     11.55     8     47.41     35.07     11.55     9     47.41     34.90     11.55    10     24.10     11.83     10.63    11     24.10     11.89     10.68    12     24.07     11.82     10.61    13     24.09     11.83     10.62    14     24.18     11.87     10.66    15     24.16     11.86     10.60    16     24.05     11.81     10.60    17     24.05     11.86     10.66    18     24.15     11.79     10.59    19     24.04     11.80     10.60
 1459069149.90     0     47.22     34.92     11.11     1     47.24     34.93     11.11     2     47.23     34.93     11.11     3     47.23     34.92     11.11     4     47.23     34.93     11.11     5     47.23     34.93     11.11     6     47.24     34.93     11.11     7     47.23     34.93     11.11     8     47.23     34.93     11.11     9     47.22     34.92     11.11    10     24.16     11.89     10.69    11     24.17     11.83     10.64    12     24.17     11.89     10.69    13     24.16     11.88     10.69    14     24.03     11.88     10.68    15     24.13     11.87     10.67    16     24.20     11.91     10.71    17     24.18     11.84     10.64    18     24.08     11.91     10.71    19     24.18     11.90     10.70
 1459069150.10     0     47.25     34.93     11.25     1     47.25     34.93     11.25     2     47.26     34.94     11.25     3     47.27     34.95     11.25     4     47.25     34.94     11.25     5     47.25     34.93     11.25     6     47.25     34.94     11.25     7     47.26     34.94     11.25     8     47.27     34.95     11.25     9     47.28     34.96     11.25    10     24.18     11.90     10.64    11     24.17     11.89     10.63    12     24.06     11.90     10.64    13     24.16     11.89     10.63    14     24.17     11.89     10.63    15     24.18     11.90     10.64    16     24.10     11.86     10.61    17     24.10     11.92     10.66    18     24.24     11.87     10.61    19     24.12     11.87     10.61
 1459069150.31     0     46.87     34.60     11.14     1     46.87     34.59     11.14     2     47.10     34.76     11.19     3     47.09     34.76     11.19     4     47.11     34.78     11.20     5     47.12     34.78     11.20     6     47.11     34.78     11.20     7     47.11     34.77     11.20     8     47.10     34.77     11.20     9     47.10     34.77     11.20    10     24.02     11.80     10.51    11     24.14     11.86     10.57    12     24.13     11.79     10.51    13     24.03     11.80     10.57    14     24.17     11.81     10.52    15     24.06     11.82     10.53    16     24.16     11.86     10.57    17     24.18     11.82     10.53    18     24.06     11.82     10.53    19     24.09     11.83     10.59
 1459069150.51     0     47.28     34.92     11.52     1     47.28     34.93     11.52     2     47.05     34.75     11.46     3     47.05     34.75     11.46     4     47.05     34.76     11.46     5     47.05     34.75     11.46     6     47.05     34.76     11.46     7     47.05     34.76     11.46     8     47.28     34.92     11.52     9     47.28     34.92     11.52    10     24.13     11.85     10.73    11     24.02     11.79     10.68    12     24.17     11.87     10.75    13     24.18     11.87     10.70    14     24.09     11.83     10.71    15     24.09     11.83     10.72    16     24.10     11.84     10.72    17     24.12     11.84     10.73    18     24.13     11.85     10.73    19     24.13     11.85     10.68
 1459069150.72     0     47.33     34.99     11.22     1     47.34     35.00     11.22     2     47.34     35.00     11.22     3     47.35     35.00     11.22     4     47.35     35.00     11.23     5     47.35     35.01     11.23     6     47.35     35.01     11.23     7     47.35     35.01     11.23     8     47.12     34.84     11.17     9     47.13     34.84     11.17    10     24.07     11.82     10.61    11     24.09     11.83     10.67    12     24.07     11.82     10.61    13     24.08     11.82     10.61    14     24.09     11.83     10.62    15     24.11     11.84     10.63    16     24.01     11.79     10.58    17     24.01     11.85     10.64    18     24.14     11.85     10.64    19     24.14     11.85     10.64
 1459069150.92     0     47.30     34.99     11.28     1     47.27     34.98     11.27     2     47.28     34.98     11.27     3     47.27     34.98     11.27     4     47.26     34.97     11.27     5     47.26     34.97     11.27     6     47.25     34.96     11.27     7     47.25     34.96     11.27     8     47.25     34.96     11.27     9     47.25     34.96     11.27    10     24.15     11.96     10.72    11     24.26     11.95     10.66    12     24.15     11.90     10.67    13     24.13     11.89     10.66    14     24.23     11.94     10.70    15     24.21     11.93     10.69    16     24.19     11.92     10.69    17     24.28     11.91     10.67    18     24.13     11.89     10.66    19     24.11     11.88     10.65
 1459069151.13     0     47.06     34.75     11.37     1     47.07     34.75     11.38     2     47.07     34.75     11.38     3     47.06     34.75     11.38     4     47.07     34.76     11.38     5     47.07     34.76     11.38     6     47.08     34.76     11.38     7     47.08     34.76     11.38     8     47.08     34.76     11.38     9     47.07     34.76     11.38    10     24.17     11.91     10.73    11     24.16     11.90     10.72    12     24.16     11.90     10.72    13     24.16     11.96     10.77    14     24.15     11.89     10.71    15     24.14     11.89     10.71    16     24.24     11.94     10.76    17     24.14     11.89     10.71    18     24.16     11.90     10.72    19     24.18     11.91     10.73
 1459069151.33     0     47.15     34.84     11.32     1     47.13     34.83     11.32     2     47.14     34.83     11.32     3     47.14     34.83     11.32     4     47.13     34.82     11.32     5     47.13     34.83     11.32     6     47.13     34.83     11.32     7     47.13     34.82     11.32     8     47.13     34.82     11.32     9     47.13     34.82     11.32    10     24.29     11.92     10.60    11     24.17     11.92     10.60    12     24.17     11.93     10.60    13     24.19     11.93     10.61    14     24.18     11.93     10.61    15     24.16     11.98     10.65    16     24.17     11.92     10.60    17     24.16     11.92     10.60    18     24.17     11.92     10.60    19     24.17     11.98     10.65
 1459069151.53     0     47.78     35.46     11.42     1     47.79     35.47     11.42     2     47.79     35.46     11.42     3     47.80     35.47     11.42     4     47.81     35.48     11.43     5     47.81     35.48     11.42     6     47.81     35.48     11.43     7     47.82     35.48     11.43     8     47.81     35.48     11.43     9     47.81     35.48     11.43    10     24.19     11.93     10.65    11     24.21     11.93     10.66    12     24.20     11.93     10.66    13     24.20     11.93     10.65    14     24.21     11.94     10.66    15     24.21     11.88     10.66    16     24.20     11.93     10.65    17     24.18     11.92     10.65    18     24.28     11.97     10.69    19     24.27     11.91     10.63
 1459069151.74     0     46.96     34.68     11.25     1     46.97     34.69     11.25     2     47.20     34.86     11.25     3     47.20     34.86     11.31     4     47.19     34.86     11.31     5     47.19     34.86     11.31     6     47.20     34.86     11.31     7     47.19     34.86     11.31     8     47.18     34.85     11.30     9     47.19     34.85     11.30    10     24.14     11.92     10.64    11     24.26     11.98     10.68    12     24.23     11.97     10.67    13     24.32     11.95     10.66    14     24.18     11.94     10.65    15     24.31     12.00     10.66    16     24.18     11.94     10.65    17     24.19     12.01     10.71    18     24.17     11.94     10.65    19     24.15     11.98     10.69
 1459069151.95     0     47.49     35.14     11.35     1     47.49     35.14     11.35     2     47.27     34.98     11.35     3     47.27     34.98     11.30     4     47.27     34.98     11.30     5     47.27     34.98     11.30     6     47.28     34.98     11.30     7     47.28     34.99     11.30     8     47.29     34.99     11.30     9     47.30     35.00     11.30    10     24.24     11.99     10.70    11     24.25     11.99     10.65    12     24.26     12.00     10.65    13     24.26     12.00     10.65    14     24.30     12.02     10.67    15     24.19     11.96     10.62    16     24.31     12.02     10.67    17     24.31     11.96     10.62    18     24.22     11.97     10.69    19     24.34     11.98     10.63
