         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1459069836.74     0     25.92     13.68     10.67     1     25.66     13.48     10.67     2     25.66     13.48     10.67     3     25.65     13.48     10.66     4     25.65     13.48     10.66     5     25.65     13.47     10.66     6     25.65     13.47     10.61     7     25.65     13.48     10.61     8     25.65     13.48     10.61     9     25.65     13.47     10.61    10     23.44     11.16     10.79    11     23.43     11.21     10.84    12     23.54     11.21     10.84    13     23.40     11.14     10.78    14     23.39     11.14     10.77    15     23.35     11.17     10.81    16     23.45     11.17     10.80    17     23.46     11.17     10.80    18     23.44     11.16     10.79    19     23.44     11.16     10.80
 1459069836.94     0     31.46     19.17     10.69     1     31.45     19.17     10.69     2     31.45     19.17     10.69     3     31.45     19.17     10.69     4     31.45     19.17     10.69     5     31.45     19.17     10.69     6     31.45     19.17     10.69     7     31.45     19.17     10.69     8     31.45     19.17     10.69     9     31.45     19.17     10.69    10     23.39     11.11     10.73    11     23.40     11.06     10.69    12     23.28     11.06     10.68    13     23.30     11.12     10.75    14     23.43     11.13     10.75    15     23.46     11.09     10.71    16     23.36     11.09     10.72    17     23.34     11.09     10.71    18     23.36     11.09     10.72    19     23.36     11.09     10.72
 1459069837.14     0     41.42     29.14     10.79     1     41.43     29.14     10.79     2     41.43     29.15     10.79     3     41.44     29.15     10.79     4     41.44     29.15     10.79     5     41.44     29.15     10.80     6     41.45     29.15     10.80     7     41.45     29.16     10.80     8     41.45     29.16     10.80     9     41.46     29.16     10.80    10     23.70     11.42     10.77    11     23.70     11.42     10.77    12     23.71     11.42     10.77    13     23.71     11.37     10.72    14     23.59     11.37     10.77    15     23.72     11.43     10.77    16     23.72     11.43     10.77    17     23.73     11.44     10.78    18     23.74     11.44     10.78    19     23.74     11.44     10.78
 1459069837.34     0     54.18     41.80     11.57     1     54.16     41.78     11.57     2     54.15     41.78     11.57     3     54.15     41.77     11.57     4     54.14     41.77     11.57     5     54.14     41.77     11.56     6     54.14     41.76     11.56     7     54.13     41.76     11.56     8     54.13     41.76     11.56     9     54.12     41.75     11.56    10     23.92     11.63     10.71    11     23.88     11.62     10.75    12     23.98     11.66     10.74    13     23.94     11.65     10.73    14     23.93     11.64     10.67    15     23.81     11.58     10.67    16     23.93     11.64     10.72    17     23.92     11.64     10.72    18     23.92     11.64     10.71    19     23.91     11.63     10.71
 1459069837.55     0     46.94     34.66     11.30     1     46.95     34.67     11.30     2     46.94     34.66     11.30     3     47.18     34.84     11.36     4     47.17     34.83     11.36     5     47.17     34.83     11.36     6     47.17     34.83     11.36     7     47.16     34.82     11.35     8     47.16     34.82     11.35     9     47.16     34.82     11.35    10     24.05     11.80     10.79    11     24.18     11.87     10.74    12     24.08     11.82     10.75    13     24.11     11.84     10.76    14     24.11     11.83     10.76    15     24.11     11.83     10.76    16     23.99     11.77     10.71    17     24.11     11.83     10.76    18     24.11     11.83     10.76    19     24.10     11.83     10.76
 1459069837.75     0     46.90     34.61     11.27     1     46.90     34.61     11.27     2     46.91     34.61     11.27     3     46.67     34.44     11.21     4     46.91     34.61     11.21     5     46.91     34.61     11.27     6     46.91     34.62     11.27     7     46.92     34.62     11.27     8     46.92     34.62     11.27     9     46.92     34.62     11.27    10     24.00     11.73     10.62    11     24.01     11.73     10.68    12     24.00     11.73     10.67    13     24.00     11.73     10.67    14     24.00     11.72     10.67    15     24.09     11.77     10.71    16     24.08     11.77     10.71    17     23.96     11.71     10.66    18     23.94     11.70     10.65    19     23.93     11.69     10.69
 1459069837.95     0     47.21     34.86     11.43     1     47.20     34.85     11.43     2     47.20     34.86     11.43     3     47.20     34.86     11.43     4     46.97     34.68     11.43     5     46.97     34.68     11.37     6     46.96     34.68     11.37     7     46.96     34.68     11.37     8     46.96     34.67     11.37     9     46.95     34.67     11.37    10     23.85     11.56     10.65    11     23.73     11.50     10.59    12     23.85     11.55     10.64    13     23.81     11.54     10.63    14     23.81     11.54     10.63    15     23.83     11.55     10.64    16     23.82     11.54     10.63    17     23.77     11.52     10.66    18     23.87     11.57     10.65    19     23.84     11.55     10.59
 1459069838.16     0     46.90     34.61     11.26     1     46.91     34.61     11.26     2     46.91     34.62     11.27     3     46.91     34.62     11.27     4     46.91     34.62     11.27     5     46.91     34.62     11.27     6     46.91     34.62     11.27     7     46.91     34.62     11.27     8     46.91     34.62     11.27     9     46.91     34.62     11.27    10     24.15     11.88     10.71    11     24.25     11.93     10.76    12     24.12     11.87     10.70    13     24.13     11.87     10.70    14     24.23     11.92     10.75    15     24.10     11.86     10.69    16     24.09     11.85     10.74    17     24.22     11.92     10.70    18     24.14     11.88     10.71    19     24.17     11.89     10.72
 1459069838.36     0     47.16     34.84     11.34     1     47.15     34.82     11.34     2     47.14     34.82     11.34     3     47.14     34.82     11.34     4     47.13     34.81     11.33     5     47.13     34.81     11.33     6     47.12     34.81     11.33     7     47.13     34.81     11.33     8     47.13     34.81     11.33     9     47.12     34.80     11.33    10     23.87     11.59     10.73    11     23.75     11.59     10.73    12     23.87     11.59     10.73    13     23.87     11.59     10.73    14     23.74     11.59     10.72    15     23.84     11.58     10.71    16     23.85     11.64     10.72    17     23.84     11.58     10.71    18     23.82     11.57     10.76    19     23.92     11.62     10.75
 1459069838.57     0     47.24     34.92     11.25     1     47.25     34.92     11.25     2     47.25     34.92     11.25     3     47.24     34.92     11.25     4     47.24     34.92     11.25     5     47.24     34.92     11.25     6     47.25     34.92     11.25     7     47.25     34.92     11.25     8     47.24     34.92     11.25     9     47.25     34.93     11.25    10     24.27     11.98     10.72    11     24.25     11.91     10.66    12     24.26     11.97     10.72    13     24.26     11.97     10.72    14     24.26     11.91     10.67    15     24.28     11.98     10.73    16     24.29     11.93     10.68    17     24.20     11.94     10.69    18     24.20     12.00     10.69    19     24.22     11.95     10.70
