         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1459069168.55     0     29.40     17.09     10.65     1     29.40     17.09     10.65     2     29.39     17.09     10.65     3     29.40     17.09     10.65     4     29.40     17.09     10.65     5     29.40     17.09     10.65     6     29.40     17.09     10.65     7     29.40     17.10     10.65     8     29.40     17.10     10.65     9     29.40     17.10     10.65    10     23.31     10.99     10.73    11     23.20     10.94     10.68    12     23.20     10.94     10.68    13     23.24     10.96     10.69    14     23.23     10.96     10.64    15     23.18     10.93     10.67    16     23.30     10.99     10.72    17     23.31     10.99     10.73    18     23.30     10.99     10.72    19     23.30     10.99     10.72
 1459069168.75     0     46.02     33.75     11.03     1     46.02     33.75     11.03     2     46.02     33.75     11.03     3     46.32     33.98     11.03     4     46.32     33.98     11.03     5     46.32     33.98     11.03     6     46.32     33.98     11.03     7     46.32     33.98     11.08     8     46.32     33.98     11.08     9     46.32     33.98     11.08    10     23.75     11.44     10.74    11     23.75     11.44     10.75    12     23.76     11.44     10.75    13     23.76     11.45     10.75    14     23.76     11.44     10.75    15     23.76     11.45     10.75    16     23.64     11.39     10.70    17     23.64     11.39     10.70    18     23.65     11.39     10.70    19     23.64     11.39     10.70
 1459069168.95     0     52.56     40.19     11.59     1     52.55     40.18     11.59     2     52.53     40.17     11.58     3     52.23     39.93     11.58     4     52.23     39.93     11.58     5     52.22     39.92     11.58     6     52.21     39.92     11.58     7     52.20     39.91     11.52     8     52.20     39.91     11.52     9     52.20     39.91     11.52    10     23.87     11.64     10.68    11     23.98     11.69     10.72    12     23.98     11.69     10.72    13     23.97     11.69     10.72    14     23.93     11.67     10.70    15     23.91     11.66     10.69    16     24.02     11.71     10.69    17     24.01     11.71     10.69    18     23.99     11.70     10.67    19     23.97     11.69     10.67
 1459069169.15     0     47.76     35.35     11.93     1     47.76     35.35     12.00     2     47.77     35.36     12.00     3     47.78     35.36     12.00     4     47.78     35.36     12.00     5     47.79     35.37     12.01     6     47.79     35.37     12.01     7     47.80     35.38     12.01     8     47.80     35.38     12.01     9     47.80     35.38     12.01    10     24.19     11.87     10.65    11     24.08     11.81     10.60    12     24.07     11.81     10.60    13     24.08     11.81     10.60    14     24.12     11.83     10.62    15     24.13     11.84     10.62    16     24.02     11.78     10.62    17     24.14     11.84     10.68    18     24.16     11.85     10.68    19     24.17     11.85     10.69
 1459069169.36     0     46.97     34.68     11.41     1     46.96     34.67     11.35     2     46.95     34.67     11.34     3     46.95     34.66     11.34     4     46.94     34.66     11.34     5     46.93     34.65     11.34     6     46.92     34.65     11.34     7     46.92     34.64     11.34     8     46.91     34.64     11.34     9     46.90     34.63     11.33    10     23.99     11.76     10.59    11     24.09     11.81     10.64    12     24.07     11.80     10.63    13     24.04     11.78     10.62    14     24.13     11.83     10.66    15     24.11     11.82     10.65    16     24.10     11.81     10.65    17     23.96     11.75     10.58    18     23.96     11.80     10.63    19     24.04     11.78     10.62
 1459069169.56     0     46.97     34.68     11.21     1     46.96     34.68     11.20     2     46.96     34.67     11.20     3     46.95     34.67     11.20     4     46.95     34.66     11.20     5     46.95     34.67     11.20     6     46.95     34.67     11.20     7     46.95     34.66     11.20     8     46.95     34.66     11.20     9     46.96     34.67     11.20    10     24.09     11.78     10.63    11     23.98     11.72     10.59    12     23.98     11.72     10.59    13     24.00     11.73     10.59    14     23.91     11.69     10.55    15     24.03     11.75     10.60    16     23.99     11.73     10.59    17     24.09     11.78     10.63    18     24.07     11.71     10.57    19     23.97     11.72     10.58
 1459069169.77     0     47.20     34.86     11.52     1     47.21     34.88     11.52     2     47.22     34.88     11.53     3     47.23     34.89     11.53     4     47.24     34.90     11.53     5     47.25     34.90     11.53     6     47.25     34.91     11.53     7     47.26     34.91     11.53     8     47.26     34.91     11.54     9     47.26     34.91     11.54    10     24.14     11.89     10.67    11     24.15     11.90     10.67    12     24.16     11.90     10.68    13     24.16     11.90     10.73    14     24.15     11.96     10.73    15     24.17     11.91     10.68    16     24.21     11.93     10.70    17     24.13     11.89     10.67    18     24.15     11.90     10.68    19     24.17     11.91     10.68
 1459069169.97     0     46.99     34.73     11.17     1     46.98     34.72     11.17     2     46.97     34.72     11.17     3     47.20     34.88     11.22     4     47.19     34.87     11.22     5     47.18     34.87     11.22     6     47.18     34.87     11.22     7     47.17     34.87     11.22     8     47.17     34.86     11.21     9     47.16     34.86     11.21    10     24.24     11.96     10.48    11     24.21     11.95     10.52    12     24.30     11.99     10.51    13     24.25     11.97     10.44    14     24.36     11.97     10.48    15     24.22     11.96     10.48    16     24.21     11.95     10.47    17     24.30     12.00     10.51    18     24.27     11.98     10.50    19     24.25     11.97     10.49
 1459069170.17     0     47.29     34.97     11.21     1     47.29     34.96     11.21     2     47.28     34.96     11.21     3     47.05     34.79     11.15     4     47.06     34.79     11.15     5     47.06     34.79     11.15     6     47.06     34.79     11.15     7     47.05     34.96     11.15     8     47.28     34.96     11.21     9     47.29     34.96     11.21    10     24.27     11.98     10.70    11     24.27     11.98     10.65    12     24.18     11.94     10.66    13     24.22     11.96     10.68    14     24.13     11.91     10.69    15     24.24     11.96     10.69    16     24.23     11.96     10.69    17     24.14     11.91     10.65    18     24.16     11.98     10.71    19     24.27     11.98     10.70
 1459069170.38     0     47.26     34.95     11.39     1     47.24     34.93     11.38     2     47.25     34.94     11.38     3     47.25     34.93     11.38     4     47.24     34.93     11.38     5     47.23     34.92     11.38     6     47.23     34.92     11.38     7     47.23     34.75     11.38     8     47.00     34.75     11.32     9     47.21     34.91     11.38    10     24.12     11.97     10.67    11     24.21     11.96     10.66    12     24.19     12.00     10.70    13     24.28     11.99     10.69    14     24.23     12.02     10.67    15     24.22     11.96     10.66    16     24.20     11.95     10.71    17     24.29     12.00     10.69    18     24.25     11.92     10.68    19     24.23     11.97     10.67
