         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1459070159.84     0     27.04     14.78     10.60     1     27.04     14.78     10.59     2     27.04     14.78     10.59     3     27.04     14.78     10.59     4     27.03     14.78     10.59     5     27.03     14.78     10.59     6     27.03     14.78     10.59     7     27.03     14.78     10.59     8     27.03     14.78     10.59     9     27.03     14.78     10.59    10     23.39     11.09     10.63    11     23.39     11.09     10.63    12     23.37     11.08     10.62    13     23.33     11.07     10.61    14     23.45     11.12     10.66    15     23.44     11.11     10.65    16     23.30     11.05     10.59    17     23.29     11.05     10.59    18     23.37     11.08     10.62    19     23.35     11.07     10.61
 1459070160.05     0     35.13     22.86     10.85     1     35.13     22.86     10.86     2     35.14     22.87     10.86     3     35.14     22.87     10.86     4     35.14     22.87     10.86     5     35.15     22.87     10.86     6     35.15     22.87     10.86     7     35.15     22.88     10.86     8     35.16     22.88     10.86     9     35.15     22.88     10.86    10     23.55     11.26     10.73    11     23.55     11.26     10.74    12     23.57     11.28     10.75    13     23.60     11.29     10.76    14     23.49     11.24     10.71    15     23.51     11.24     10.72    16     23.53     11.26     10.73    17     23.55     11.26     10.73    18     23.47     11.23     10.70    19     23.49     11.24     10.71
 1459070160.25     0     50.25     37.99     11.08     1     50.25     37.99     11.08     2     50.25     37.99     11.08     3     50.26     37.99     11.08     4     50.25     37.99     11.08     5     50.25     37.99     11.08     6     50.25     37.99     11.08     7     50.25     37.99     11.08     8     50.25     37.99     11.08     9     50.26     37.99     11.08    10     23.69     11.44     10.46    11     23.69     11.43     10.45    12     23.68     11.43     10.45    13     23.68     11.43     10.45    14     23.80     11.48     10.51    15     23.80     11.48     10.51    16     23.80     11.48     10.51    17     23.78     11.48     10.50    18     23.78     11.48     10.50    19     23.77     11.47     10.50
 1459070160.45     0     50.90     38.57     11.46     1     50.87     38.55     11.46     2     50.86     38.54     11.45     3     50.85     38.54     11.45     4     50.85     38.53     11.45     5     50.84     38.53     11.45     6     50.84     38.52     11.45     7     50.83     38.52     11.45     8     50.83     38.51     11.45     9     50.82     38.51     11.45    10     23.70     11.43     10.69    11     23.69     11.49     10.74    12     23.81     11.49     10.74    13     23.81     11.48     10.74    14     23.68     11.43     10.68    15     23.67     11.42     10.68    16     23.66     11.42     10.67    17     23.67     11.48     10.73    18     23.77     11.47     10.72    19     23.75     11.46     10.71
 1459070160.65     0     47.42     35.08     11.31     1     47.39     35.06     11.30     2     47.38     35.06     11.30     3     47.38     35.05     11.30     4     47.39     35.06     11.30     5     47.38     35.05     11.30     6     47.34     35.03     11.29     7     47.34     35.02     11.29     8     47.33     35.02     11.29     9     47.33     35.02     11.29    10     24.02     11.72     10.68    11     24.00     11.65     10.62    12     23.89     11.72     10.68    13     23.98     11.71     10.67    14     23.95     11.69     10.66    15     24.05     11.74     10.70    16     24.05     11.74     10.70    17     24.02     11.66     10.63    18     24.00     11.71     10.68    19     23.99     11.71     10.67
 1459070160.86     0     47.09     34.80     11.31     1     47.14     34.84     11.32     2     47.14     34.84     11.32     3     47.15     34.84     11.32     4     47.15     34.84     11.32     5     47.15     34.84     11.32     6     47.18     34.87     11.33     7     47.18     34.87     11.33     8     47.19     34.88     11.33     9     47.19     34.87     11.33    10     23.96     11.65     10.66    11     23.95     11.65     10.66    12     23.95     11.58     10.60    13     23.84     11.65     10.66    14     23.98     11.66     10.67    15     23.87     11.60     10.62    16     23.87     11.61     10.62    17     23.88     11.67     10.68    18     23.90     11.62     10.63    19     23.92     11.63     10.64
 1459070161.06     0     47.22     34.94     11.34     1     47.21     34.94     11.34     2     47.21     34.94     11.34     3     47.21     34.94     11.34     4     47.21     34.94     11.34     5     47.22     34.94     11.34     6     47.21     34.93     11.34     7     47.44     35.10     11.34     8     47.44     35.10     11.40     9     47.44     35.10     11.40    10     24.00     11.75     10.63    11     24.14     11.82     10.64    12     24.11     11.80     10.63    13     24.12     11.75     10.58    14     24.01     11.75     10.58    15     24.03     11.76     10.59    16     24.03     11.82     10.65    17     24.16     11.77     10.60    18     24.05     11.77     10.60    19     24.03     11.76     10.59
 1459070161.26     0     47.11     34.77     11.21     1     47.11     34.77     11.21     2     47.11     34.77     11.21     3     47.11     34.76     11.21     4     47.11     34.76     11.21     5     47.10     34.76     11.21     6     47.11     34.77     11.21     7     46.88     34.60     11.21     8     46.88     34.59     11.16     9     46.88     34.60     11.16    10     24.16     11.84     10.66    11     24.02     11.77     10.65    12     24.04     11.78     10.66    13     24.04     11.84     10.72    14     24.15     11.83     10.71    15     24.15     11.83     10.71    16     24.14     11.77     10.66    17     24.01     11.77     10.65    18     24.13     11.82     10.70    19     24.13     11.82     10.70
 1459070161.47     0     46.91     34.62     11.45     1     47.13     34.79     11.50     2     47.11     34.77     11.50     3     47.11     34.77     11.50     4     47.10     34.77     11.50     5     47.11     34.77     11.50     6     47.09     34.76     11.49     7     47.09     34.75     11.49     8     47.09     34.76     11.49     9     47.09     34.76     11.49    10     24.11     11.84     10.66    11     24.11     11.83     10.71    12     24.18     11.87     10.68    13     24.15     11.80     10.62    14     24.03     11.80     10.67    15     24.13     11.85     10.67    16     24.10     11.83     10.65    17     24.11     11.84     10.71    18     24.10     11.83     10.65    19     24.11     11.83     10.65
 1459070161.67     0     47.41     35.06     11.27     1     47.19     34.89     11.22     2     47.20     34.90     11.22     3     47.20     34.90     11.22     4     47.21     34.90     11.22     5     47.21     34.91     11.23     6     47.22     34.91     11.23     7     47.22     34.91     11.23     8     47.21     34.91     11.23     9     47.20     34.90     11.22    10     24.15     11.88     10.70    11     24.17     11.89     10.65    12     24.19     11.90     10.72    13     24.16     11.88     10.70    14     24.27     11.94     10.70    15     24.15     11.88     10.69    16     24.13     11.93     10.74    17     24.23     11.92     10.68    18     24.10     11.86     10.73    19     24.19     11.90     10.71
 1459070161.88     0     47.47     35.15     11.21     1     47.44     35.13     11.20     2     47.44     35.12     11.20     3     47.45     35.13     11.20     4     47.45     35.13     11.20     5     47.44     35.12     11.20     6     47.44     35.13     11.20     7     47.44     35.13     11.20     8     47.44     35.13     11.20     9     47.45     35.13     11.20    10     24.15     11.86     10.72    11     24.13     11.85     10.76    12     24.12     11.85     10.70    13     24.17     11.87     10.72    14     24.06     11.82     10.67    15     24.17     11.87     10.73    16     24.22     11.84     10.70    17     24.10     11.84     10.70    18     24.13     11.85     10.71    19     24.14     11.85     10.71
 1459070162.08     0     47.40     35.10     11.24     1     47.43     35.11     11.25     2     47.42     35.11     11.25     3     47.41     35.10     11.24     4     47.41     35.10     11.24     5     47.41     35.10     11.24     6     47.39     35.09     11.24     7     47.40     35.09     11.24     8     47.39     35.08     11.24     9     47.39     35.08     11.24    10     24.16     11.89     10.70    11     24.15     11.94     10.69    12     24.15     11.88     10.69    13     24.13     11.87     10.68    14     24.23     11.92     10.72    15     24.11     11.86     10.67    16     24.09     11.85     10.71    17     24.22     11.91     10.72    18     24.18     11.89     10.70    19     24.18     11.90     10.70
 1459070162.29     0     46.87     34.61     11.23     1     47.10     34.78     11.28     2     47.11     34.79     11.29     3     47.13     34.80     11.29     4     47.13     34.80     11.29     5     47.13     34.81     11.29     6     47.14     34.81     11.29     7     47.15     34.82     11.30     8     47.16     34.83     11.30     9     47.16     34.83     11.30    10     24.21     11.90     10.74    11     24.23     11.86     10.70    12     24.13     11.86     10.70    13     24.25     11.92     10.75    14     24.15     11.87     10.71    15     24.15     11.87     10.71    16     24.17     11.88     10.72    17     24.17     11.88     10.72    18     24.20     11.90     10.68    19     24.08     11.90     10.74
 1459070162.49     0     47.12     34.78     11.25     1     46.90     34.62     11.20     2     46.90     34.62     11.20     3     46.90     34.62     11.19     4     46.89     34.61     11.19     5     46.89     34.61     11.19     6     46.89     34.61     11.19     7     46.89     34.61     11.19     8     46.88     34.61     11.19     9     46.88     34.61     11.19    10     24.07     11.82     10.73    11     24.17     11.87     10.77    12     24.15     11.87     10.76    13     24.04     11.87     10.77    14     24.13     11.85     10.75    15     24.12     11.85     10.75    16     24.24     11.91     10.75    17     24.11     11.84     10.74    18     24.09     11.84     10.74    19     24.23     11.85     10.74
 1459070162.70     0     47.23     34.89     11.62     1     47.45     35.06     11.67     2     47.45     35.06     11.67     3     47.45     35.06     11.68     4     47.46     35.06     11.68     5     47.46     35.07     11.68     6     47.47     35.07     11.68     7     47.47     35.07     11.68     8     47.47     35.08     11.68     9     47.47     35.08     11.68    10     24.06     11.80     10.65    11     24.09     11.82     10.61    12     24.12     11.83     10.62    13     24.13     11.78     10.58    14     24.06     11.80     10.60    15     24.08     11.81     10.66    16     24.09     11.82     10.61    17     24.11     11.83     10.62    18     24.15     11.84     10.64    19     24.03     11.79     10.59
