         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1459069203.49     0     28.15     15.90     10.59     1     28.15     15.90     10.59     2     28.15     15.90     10.59     3     28.14     15.90     10.59     4     28.14     15.90     10.59     5     28.14     15.90     10.59     6     28.13     15.89     10.59     7     28.13     15.89     10.59     8     28.13     15.89     10.58     9     28.13     15.89     10.58    10     23.38     11.11     10.67    11     23.37     11.10     10.66    12     23.35     11.10     10.66    13     23.48     11.16     10.72    14     23.48     11.16     10.66    15     23.48     11.16     10.66    16     23.37     11.11     10.66    17     23.45     11.14     10.70    18     23.45     11.15     10.70    19     23.44     11.08     10.64
 1459069203.70     0     43.23     30.98     10.87     1     43.23     30.98     10.87     2     43.23     30.99     10.87     3     43.24     30.99     10.87     4     43.24     30.99     10.87     5     43.25     31.00     10.87     6     43.25     31.00     10.87     7     43.25     31.00     10.88     8     43.26     31.00     10.88     9     43.55     31.23     10.88    10     23.70     11.43     10.65    11     23.71     11.43     10.65    12     23.72     11.44     10.66    13     23.64     11.40     10.62    14     23.64     11.40     10.62    15     23.64     11.40     10.62    16     23.64     11.40     10.62    17     23.57     11.37     10.59    18     23.60     11.44     10.60    19     23.74     11.45     10.66
 1459069203.90     0     54.77     42.42     11.33     1     54.96     42.56     11.38     2     54.94     42.55     11.38     3     54.92     42.53     11.37     4     54.91     42.52     11.37     5     54.90     42.52     11.37     6     54.88     42.50     11.36     7     54.87     42.49     11.36     8     54.86     42.48     11.36     9     54.55     42.24     11.36    10     23.84     11.59     10.52    11     23.93     11.64     10.56    12     23.88     11.62     10.54    13     23.86     11.61     10.53    14     23.95     11.65     10.57    15     23.89     11.62     10.60    16     23.95     11.65     10.57    17     23.89     11.68     10.60    18     23.96     11.60     10.58    19     23.81     11.64     10.56
 1459069204.10     0     47.16     34.86     11.33     1     46.95     34.70     11.28     2     46.96     34.71     11.28     3     46.97     34.72     11.28     4     46.97     34.72     11.28     5     46.98     34.73     11.29     6     47.22     34.90     11.34     7     47.23     34.91     11.34     8     47.23     34.91     11.34     9     47.22     34.91     11.34    10     23.97     11.69     10.73    11     23.89     11.65     10.69    12     23.93     11.67     10.71    13     23.95     11.68     10.72    14     23.85     11.63     10.68    15     23.90     11.65     10.65    16     23.96     11.68     10.73    17     24.00     11.64     10.70    18     23.92     11.66     10.71    19     23.95     11.62     10.67
 1459069204.31     0     47.17     34.80     11.60     1     47.16     34.80     11.60     2     47.16     34.80     11.59     3     47.16     34.79     11.59     4     47.15     34.79     11.59     5     47.15     34.79     11.59     6     46.92     34.62     11.54     7     46.92     34.62     11.54     8     46.93     34.62     11.54     9     46.94     34.64     11.54    10     24.02     11.77     10.55    11     24.01     11.76     10.54    12     24.00     11.76     10.59    13     24.11     11.81     10.59    14     24.12     11.82     10.59    15     24.11     11.82     10.59    16     23.99     11.76     10.54    17     23.99     11.75     10.54    18     24.00     11.76     10.59    19     24.10     11.81     10.58
 1459069204.51     0     46.90     34.64     11.19     1     46.90     34.64     11.19     2     46.91     34.64     11.19     3     46.90     34.64     11.19     4     46.90     34.64     11.19     5     46.90     34.64     11.19     6     46.90     34.63     11.19     7     46.90     34.63     11.19     8     47.12     34.80     11.19     9     47.12     34.80     11.25    10     23.97     11.68     10.71    11     23.98     11.68     10.71    12     23.99     11.69     10.66    13     23.87     11.63     10.66    14     23.86     11.62     10.66    15     23.86     11.62     10.66    16     23.98     11.68     10.71    17     23.99     11.69     10.72    18     23.99     11.69     10.67    19     23.89     11.64     10.67
 1459069204.71     0     47.19     34.81     11.69     1     47.20     34.82     11.69     2     47.20     34.82     11.69     3     47.20     34.82     11.69     4     47.20     34.82     11.69     5     47.20     34.83     11.69     6     47.20     34.82     11.69     7     47.20     34.82     11.69     8     46.97     34.65     11.70     9     46.97     34.82     11.63    10     24.09     11.82     10.68    11     24.08     11.82     10.68    12     24.08     11.82     10.67    13     24.08     11.81     10.67    14     24.08     11.82     10.68    15     24.19     11.87     10.72    16     24.05     11.80     10.66    17     24.02     11.79     10.65    18     24.11     11.83     10.69    19     24.09     11.82     10.68
 1459069204.92     0     47.39     35.04     11.25     1     47.36     35.02     11.24     2     47.36     35.01     11.24     3     47.35     35.01     11.24     4     47.35     35.01     11.24     5     47.34     35.00     11.24     6     47.35     35.01     11.24     7     47.35     35.01     11.24     8     47.34     35.00     11.24     9     47.34     34.83     11.24    10     24.10     11.85     10.69    11     24.09     11.85     10.69    12     24.18     11.89     10.73    13     24.16     11.88     10.72    14     24.13     11.93     10.76    15     24.12     11.87     10.70    16     24.13     11.87     10.70    17     24.14     11.87     10.76    18     24.14     11.88     10.71    19     24.12     11.87     10.70
 1459069205.12     0     47.21     35.10     11.30     1     47.26     34.96     11.31     2     47.27     34.96     11.31     3     47.27     34.96     11.31     4     47.27     34.97     11.31     5     47.27     34.97     11.31     6     47.27     34.97     11.31     7     47.27     34.97     11.31     8     47.28     34.97     11.31     9     47.28     34.97     11.32    10     24.15     11.89     10.61    11     24.14     11.95     10.66    12     24.14     11.89     10.61    13     24.12     11.88     10.65    14     24.24     11.88     10.60    15     24.12     11.88     10.60    16     24.10     11.93     10.64    17     24.22     11.93     10.59    18     24.12     11.87     10.60    19     24.22     11.93     10.65
 1459069205.33     0     47.26     34.79     11.66     1     47.24     34.94     11.65     2     47.24     34.94     11.65     3     47.24     35.12     11.65     4     47.47     35.11     11.71     5     47.47     35.11     11.71     6     47.46     35.11     11.71     7     47.46     35.11     11.70     8     47.46     35.10     11.70     9     47.45     35.10     11.70    10     24.21     11.93     10.53    11     24.19     11.86     10.53    12     24.20     11.93     10.53    13     24.22     11.94     10.49    14     24.10     11.88     10.48    15     24.23     11.94     10.54    16     24.22     11.88     10.49    17     24.21     11.93     10.53    18     24.17     11.91     10.51    19     24.08     11.87     10.53
