         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1459070390.79     0     28.58     16.36     10.43     1     28.57     16.36     10.43     2     28.58     16.36     10.43     3     28.58     16.36     10.43     4     28.57     16.36     10.43     5     28.57     16.36     10.43     6     28.57     16.36     10.43     7     28.57     16.35     10.43     8     28.57     16.35     10.43     9     28.57     16.35     10.42    10     23.45     11.20     10.70    11     23.45     11.20     10.70    12     23.43     11.19     10.69    13     23.43     11.19     10.69    14     23.43     11.24     10.74    15     23.54     11.24     10.74    16     23.53     11.23     10.74    17     23.52     11.23     10.73    18     23.51     11.22     10.73    19     23.51     11.22     10.73
 1459070390.99     0     47.03     34.70     11.13     1     47.03     34.70     11.13     2     47.04     34.71     11.13     3     47.04     34.71     11.13     4     47.05     34.71     11.14     5     47.05     34.72     11.14     6     47.05     34.72     11.14     7     47.06     34.72     11.14     8     47.06     34.72     11.14     9     47.07     34.73     11.14    10     23.70     11.42     10.50    11     23.70     11.42     10.50    12     23.70     11.42     10.50    13     23.70     11.42     10.50    14     23.70     11.37     10.45    15     23.59     11.37     10.45    16     23.59     11.37     10.45    17     23.72     11.44     10.51    18     23.72     11.44     10.51    19     23.72     11.43     10.51
 1459070391.19     0     54.51     42.16     11.31     1     54.46     42.13     11.30     2     54.45     42.12     11.30     3     54.44     42.11     11.30     4     54.43     42.10     11.30     5     54.42     42.09     11.29     6     54.41     42.09     11.29     7     54.40     42.08     11.29     8     54.40     42.08     11.29     9     54.40     42.07     11.29    10     23.61     11.36     10.38    11     23.59     11.41     10.42    12     23.69     11.40     10.41    13     23.68     11.40     10.41    14     23.67     11.39     10.40    15     23.76     11.44     10.44    16     23.74     11.43     10.44    17     23.61     11.37     10.38    18     23.59     11.36     10.37    19     23.59     11.36     10.37
 1459070391.39     0     46.91     34.61     11.19     1     46.92     34.61     11.19     2     46.93     34.62     11.19     3     46.93     34.62     11.20     4     46.94     34.63     11.20     5     46.92     34.61     11.19     6     46.93     34.62     11.19     7     46.93     34.62     11.19     8     46.92     34.62     11.19     9     46.92     34.62     11.19    10     23.92     11.66     10.58    11     23.94     11.61     10.54    12     23.84     11.62     10.55    13     23.96     11.68     10.60    14     23.98     11.69     10.61    15     23.88     11.64     10.56    16     23.89     11.65     10.57    17     23.91     11.66     10.58    18     23.92     11.66     10.58    19     23.91     11.66     10.58
 1459070391.60     0     46.93     34.63     11.29     1     46.93     34.62     11.29     2     46.93     34.62     11.29     3     46.93     34.62     11.29     4     46.92     34.62     11.29     5     46.94     34.63     11.30     6     46.94     34.63     11.29     7     46.94     34.63     11.30     8     46.95     34.64     11.30     9     46.94     34.64     11.30    10     24.19     11.92     10.41    11     24.17     11.91     10.41    12     24.29     11.97     10.46    13     24.17     11.91     10.40    14     24.17     11.91     10.40    15     24.16     11.91     10.40    16     24.14     11.90     10.39    17     24.24     11.95     10.44    18     24.24     11.95     10.44    19     24.21     11.93     10.43
 1459070391.80     0     47.18     34.83     11.68     1     47.18     34.83     11.68     2     47.18     34.83     11.68     3     47.18     34.83     11.68     4     47.18     34.83     11.68     5     47.18     34.83     11.68     6     47.17     34.83     11.68     7     47.17     34.83     11.68     8     47.17     34.83     11.68     9     47.18     34.83     11.68    10     23.90     11.65     10.54    11     23.91     11.71     10.60    12     23.90     11.65     10.54    13     23.89     11.64     10.53    14     23.87     11.63     10.52    15     23.98     11.68     10.57    16     23.98     11.68     10.57    17     23.87     11.63     10.52    18     23.87     11.63     10.52    19     23.88     11.70     10.58
 1459070392.00     0     46.83     34.54     11.29     1     47.03     34.69     11.28     2     47.03     34.69     11.34     3     47.02     34.68     11.34     4     47.02     34.68     11.33     5     47.01     34.67     11.33     6     47.01     34.67     11.33     7     47.00     34.67     11.33     8     46.99     34.66     11.33     9     46.99     34.66     11.33    10     24.18     11.90     10.44    11     24.18     11.83     10.39    12     24.05     11.83     10.38    13     24.07     11.89     10.44    14     24.20     11.90     10.45    15     24.07     11.84     10.39    16     24.06     11.83     10.44    17     24.17     11.89     10.44    18     24.16     11.88     10.43    19     24.15     11.82     10.38
 1459070392.21     0     47.16     34.80     11.52     1     46.94     34.64     11.52     2     46.94     34.64     11.47     3     46.94     34.64     11.47     4     46.95     34.65     11.47     5     46.96     34.65     11.47     6     46.96     34.65     11.47     7     46.96     34.65     11.47     8     46.97     34.66     11.47     9     47.19     34.82     11.47    10     24.20     11.92     10.60    11     24.14     11.89     10.58    12     24.14     12.01     10.69    13     24.24     11.88     10.57    14     24.10     11.87     10.56    15     24.22     11.93     10.61    16     24.23     11.94     10.57    17     24.12     11.88     10.57    18     24.11     11.88     10.57    19     24.12     11.94     10.62
 1459070392.41     0     47.41     35.09     11.35     1     47.44     35.12     11.36     2     47.44     35.12     11.36     3     47.44     35.12     11.36     4     47.44     35.12     11.36     5     47.45     35.12     11.36     6     47.45     35.12     11.36     7     47.45     35.12     11.36     8     47.45     35.12     11.36     9     47.23     34.96     11.36    10     24.26     12.11     10.57    11     24.40     12.12     10.58    12     24.38     12.05     10.52    13     24.37     12.11     10.57    14     24.39     12.11     10.57    15     24.27     12.06     10.58    16     24.37     12.11     10.57    17     24.32     12.14     10.60    18     24.42     12.13     10.59    19     24.38     12.11     10.57
 1459070392.62     0     47.41     35.10     11.36     1     47.40     35.10     11.35     2     47.40     35.09     11.35     3     47.40     35.10     11.35     4     47.40     35.10     11.35     5     47.40     35.09     11.35     6     47.39     35.09     11.35     7     47.38     35.08     11.35     8     47.38     35.08     11.35     9     47.38     35.08     11.35    10     24.31     12.05     10.40    11     24.27     12.03     10.44    12     24.38     12.02     10.37    13     24.25     12.08     10.42    14     24.33     12.06     10.45    15     24.38     12.09     10.37    16     24.26     12.03     10.42    17     24.37     12.03     10.37    18     24.26     12.03     10.42    19     24.38     12.03     10.37
